一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,食用油,汇福大豆油,43.5,44.0,44.5,斤,2023-12-31,0
粮油,食用油,汇福大豆油,43.5,44.0,44.5,斤,2023-12-20,1
粮油,食用油,汇福大豆油,43.5,44.0,44.5,斤,2023-12-10,2
粮油,食用油,汇福大豆油,43.5,44.0,44.5,斤,2023-11-30,3
粮油,食用油,汇福大豆油,43.5,44.0,44.5,斤,2023-11-20,4
粮油,食用油,汇福大豆油,43.5,44.0,44.5,斤,2023-11-10,5
粮油,食用油,汇福大豆油,43.5,44.0,44.5,斤,2023-10-31,6
粮油,食用油,汇福大豆油,44.5,44.75,45.0,斤,2023-10-20,7
粮油,食用油,汇福大豆油,45.5,45.75,46.0,斤,2023-10-10,8
粮油,食用油,汇福大豆油,45.5,45.75,46.0,斤,2023-09-30,9
粮油,食用油,汇福大豆油,45.5,45.75,46.0,斤,2023-09-20,10
粮油,食用油,汇福大豆油,45.5,45.75,46.0,斤,2023-09-10,11
粮油,食用油,汇福大豆油,46.25,46.38,46.5,斤,2023-08-31,12
粮油,食用油,汇福大豆油,44.0,44.5,45.0,斤,2023-08-20,13
粮油,食用油,汇福大豆油,44.0,44.5,45.0,斤,2023-08-10,14
粮油,食用油,汇福大豆油,42.5,42.75,43.0,斤,2023-07-31,15
粮油,食用油,汇福大豆油,41.5,42.0,42.5,斤,2023-07-20,16
粮油,食用油,汇福大豆油,41.5,42.0,42.5,斤,2023-07-10,17
粮油,食用油,汇福大豆油,41.5,42.0,42.5,斤,2023-06-30,18
粮油,食用油,汇福大豆油,41.5,42.0,42.5,斤,2023-06-20,19
粮油,食用油,汇福大豆油,41.5,42.0,42.5,斤,2023-06-10,20
粮油,食用油,汇福大豆油,41.0,41.5,42.0,斤,2023-05-31,21
粮油,食用油,汇福大豆油,42.0,42.5,43.0,斤,2023-05-20,22
粮油,食用油,汇福大豆油,42.5,43.0,43.5,斤,2023-05-10,23
粮油,食用油,汇福大豆油,43.5,43.75,44.0,斤,2023-04-30,24
粮油,食用油,汇福大豆油,48.0,48.5,49.0,斤,2023-04-10,25
粮油,食用油,汇福大豆油,48.0,48.5,49.0,斤,2023-03-31,26
粮油,食用油,汇福大豆油,48.5,49.0,49.5,斤,2023-03-20,27
粮油,食用油,汇福大豆油,48.5,49.0,49.5,斤,2023-03-10,28
粮油,食用油,汇福大豆油,48.5,49.0,49.5,斤,2023-02-28,29
粮油,食用油,汇福大豆油,48.5,49.0,49.5,斤,2023-02-20,30
粮油,食用油,汇福大豆油,50.0,50.5,51.0,斤,2023-01-31,31
粮油,食用油,汇福大豆油,50.0,50.5,51.0,斤,2023-01-10,32
,,,,47.51613636363637,,,,33
,,,,47.65767379679145,,,,34
,,,,47.79921122994653,,,,35
,,,,47.94074866310161,,,,36
,,,,48.08228609625669,,,,37
,,,,48.22382352941177,,,,38
,,,,48.36536096256685,,,,39
