一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,澳柑,12.0,13.0,14.0,斤,2023-12-31,0
水果,进口果,澳柑,12.0,13.0,14.0,斤,2023-12-20,1
水果,进口果,澳柑,12.0,13.0,14.0,斤,2023-12-10,2
水果,进口果,澳柑,12.0,13.0,14.0,斤,2023-11-30,3
水果,进口果,澳柑,12.0,13.0,14.0,斤,2023-11-20,4
水果,进口果,澳柑,10.0,12.5,15.0,斤,2023-11-10,5
水果,进口果,澳柑,10.0,12.5,15.0,斤,2023-10-31,6
水果,进口果,澳柑,10.0,12.5,15.0,斤,2023-10-20,7
水果,进口果,澳柑,14.5,15.5,16.5,斤,2023-10-10,8
水果,进口果,澳柑,14.5,15.5,16.5,斤,2023-09-30,9
水果,进口果,澳柑,14.5,16.5,18.5,斤,2023-09-20,10
水果,进口果,澳柑,14.5,16.5,18.5,斤,2023-09-10,11
水果,进口果,澳柑,14.5,16.5,18.5,斤,2023-08-31,12
水果,进口果,澳柑,15.5,16.5,17.5,斤,2023-08-20,13
水果,进口果,澳柑,15.5,17.0,18.5,斤,2023-08-10,14
水果,进口果,澳柑,15.5,17.0,18.5,斤,2023-07-31,15
,,,,17.575,,,,16
,,,,17.925735294117647,,,,17
,,,,18.27647058823529,,,,18
,,,,18.62720588235294,,,,19
,,,,18.977941176470587,,,,20
,,,,19.328676470588235,,,,21
,,,,19.679411764705883,,,,22
