一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,金果,38.0,39.5,41.0,斤,2023-12-31,0
水果,进口果,金果,38.0,39.5,41.0,斤,2023-12-20,1
水果,进口果,金果,38.0,39.5,41.0,斤,2023-12-10,2
水果,进口果,金果,30.0,31.5,33.0,斤,2023-11-30,3
水果,进口果,金果,29.5,30.15,30.8,斤,2023-11-20,4
水果,进口果,金果,29.5,30.15,30.8,斤,2023-11-10,5
水果,进口果,金果,29.5,30.15,30.8,斤,2023-10-31,6
水果,进口果,金果,29.5,30.15,30.8,斤,2023-10-20,7
水果,进口果,金果,29.5,30.15,30.8,斤,2023-10-10,8
水果,进口果,金果,29.5,30.15,30.8,斤,2023-09-30,9
水果,进口果,金果,26.5,27.25,28.0,斤,2023-09-20,10
水果,进口果,金果,26.5,27.25,28.0,斤,2023-09-10,11
水果,进口果,金果,26.5,27.25,28.0,斤,2023-08-31,12
水果,进口果,金果,28.0,28.5,29.0,斤,2023-08-20,13
水果,进口果,金果,26.0,26.2,26.4,斤,2023-08-10,14
水果,进口果,金果,26.0,26.2,26.4,斤,2023-07-31,15
水果,进口果,金果,26.0,26.2,26.4,斤,2023-07-20,16
水果,进口果,金果,26.0,26.2,26.4,斤,2023-07-10,17
水果,进口果,金果,26.0,27.5,29.0,斤,2023-06-30,18
水果,进口果,金果,26.0,27.5,29.0,斤,2023-06-20,19
水果,进口果,金果,26.0,27.5,29.0,斤,2023-06-10,20
水果,进口果,金果,26.0,27.5,29.0,斤,2023-05-31,21
水果,进口果,金果,26.0,27.5,29.0,斤,2023-05-20,22
水果,进口果,金果,27.0,28.5,30.0,斤,2023-05-10,23
水果,进口果,金果,32.0,33.5,35.0,斤,2023-04-30,24
水果,进口果,金果,51.0,53.0,55.0,斤,2023-03-20,25
水果,进口果,金果,51.0,53.0,55.0,斤,2023-03-10,26
水果,进口果,金果,51.0,53.0,55.0,斤,2023-02-28,27
水果,进口果,金果,50.0,52.5,55.0,斤,2023-02-20,28
水果,进口果,金果,47.0,50.0,53.0,斤,2023-01-31,29
水果,进口果,金果,41.0,42.5,44.0,斤,2023-01-10,30
,,,,40.81935483870967,,,,31
,,,,41.2547379032258,,,,32
,,,,41.69012096774193,,,,33
,,,,42.125504032258064,,,,34
,,,,42.56088709677419,,,,35
,,,,42.99627016129032,,,,36
,,,,43.43165322580644,,,,37
