ID,平均价
0,9.0
1,9.0
2,9.0
3,9.0
4,9.0
5,9.0
6,9.0
7,9.0
8,9.0
9,9.0
10,9.0
11,9.0
12,9.0
13,8.75
14,8.5
15,8.5
16,8.5
17,8.5
18,8.5
19,8.25
20,8.25
21,8.25
22,8.25
23,8.25
24,8.25
25,8.25
26,8.25
27,8.0
28,8.0
29,8.25
30,8.25
31,8.25
32,8.25
33,8.25
34,8.25
35,8.25
36,8.25
37,8.25
38,8.25
39,8.75
40,9.0
41,8.75
42,8.75
43,8.75
44,8.75
45,8.75
46,8.75
47,8.75
48,9.0
49,9.0
50,9.0
51,9.0
52,9.0
53,9.0
54,9.0
55,8.75
56,8.75
57,9.0
58,9.0
59,9.0
60,8.5
61,8.25
62,8.25
63,8.25
64,8.25
65,8.5
66,8.5
67,8.5
68,8.5
69,8.5
70,9.0
71,9.0
72,9.0
73,9.0
74,9.0
75,9.0
76,9.0
77,9.0
78,8.75
79,8.5
80,8.5
81,8.5
82,9.0
83,9.0
84,9.0
85,9.0
86,9.25
87,9.25
88,9.25
89,9.5
90,9.5
91,9.5
92,9.5
93,9.5
94,9.5
95,9.5
96,10.0
97,10.0
98,10.0
99,9.5
100,9.5
101,9.5
102,9.5
103,9.5
104,9.5
105,9.5
106,9.5
107,9.5
108,9.5
109,9.5
110,9.5
111,9.5
112,9.5
113,9.75
114,10.0
115,10.0
116,10.0
117,10.0
118,10.5
119,10.5
120,10.5
121,10.5
122,10.5
123,10.5
124,10.5
125,10.5
126,10.75
127,10.75
128,10.25
129,10.25
130,10.25
131,10.5
132,10.75
133,10.75
134,10.75
135,10.75
136,10.75
137,10.75
138,10.75
139,10.75
140,10.5
141,10.25
142,10.25
143,10.25
144,10.5
145,10.75
146,11.0
147,11.0
148,11.0
149,11.0
150,11.0
151,11.0
152,10.75
153,9.75
154,10.25
155,10.25
156,8.75
157,8.75
158,9.0
159,9.25
160,8.5
161,8.25
162,8.25
163,8.25
164,8.25
165,8.25
166,8.25
167,8.25
168,8.25
169,8.0
170,8.0
171,8.0
172,8.25
173,8.25
174,8.25
175,8.25
176,8.25
177,8.25
178,8.25
179,8.25
180,8.25
181,8.25
182,8.25
183,8.25
184,8.25
185,8.25
186,8.25
187,8.25
188,8.25
189,8.25
190,8.25
191,8.25
192,8.25
193,8.25
194,8.25
195,8.25
196,8.25
197,8.25
198,8.25
199,8.25
200,8.5
201,8.5
202,8.25
203,8.25
204,8.0
205,8.25
206,8.25
207,8.25
208,8.25
209,8.25
210,8.25
211,8.25
212,8.25
213,8.25
214,8.25
215,8.25
216,8.25
217,8.25
218,8.25
219,8.25
220,8.25
221,8.0
222,8.0
223,8.0
224,8.0
225,7.75
226,7.75
227,7.5
228,7.5
229,8.0
230,7.75
231,8.0
232,8.0
233,8.0
234,7.75
235,7.75
236,7.75
237,7.75
238,7.75
239,8.0
240,7.75
241,8.0
242,8.0
243,8.0
244,7.75
245,8.0
246,8.0
247,8.25
248,8.75
249,8.75
250,9.0
251,9.0
252,8.75
253,8.75
254,8.25
255,8.0
256,8.0
257,8.25
258,8.25
259,8.25
260,8.25
261,8.25
262,8.25
263,7.75
264,8.0
265,8.0
266,8.0
267,8.0
268,8.0
269,8.0
270,8.0
271,8.0
272,8.0
273,8.0
274,8.0
275,8.0
276,8.0
277,8.0
278,8.0
279,8.25
280,8.5
281,8.5
282,8.5
283,8.5
284,8.5
285,8.5
286,8.5
287,8.5
288,8.5
289,8.5
290,8.5
291,8.5
292,8.5
293,8.5
294,8.5
295,8.5
296,8.5
297,8.5
298,8.5
299,9.0
300,9.0
301,9.0
302,9.0
303,9.25
304,9.5
305,9.5
306,9.5
307,9.5
308,9.5
309,9.5
310,9.5
311,9.5
312,9.5
313,9.5
314,9.5
315,9.5
316,9.5
317,9.0
318,9.0
319,9.0
320,9.0
321,9.0
322,9.0
323,8.5
324,8.25
325,8.0
326,8.5
327,8.5
328,8.5
329,8.5
330,8.5
331,8.5
332,8.5
333,8.5
334,9.0
335,9.0
336,9.0
337,9.5
338,9.5
339,10.5
340,9.5
341,9.5
342,9.5
343,9.75
344,9.25
345,9.25
346,9.0
347,9.0
348,9.25
349,9.75
350,9.75
351,9.75
352,10.0
353,10.0
354,9.5
355,9.5
356,9.5
357,11.5
358,11.0
359,11.25
360,393.3968505859375
361,394.49835205078125
362,395.599853515625
363,396.7012939453125
364,397.80279541015625
365,398.90423583984375
366,400.0057373046875
