ID,平均价
0,2.02
1,1.86
2,2.02
3,1.86
4,2.02
5,1.86
6,2.02
7,1.89
8,2.02
9,1.89
10,2.02
11,1.89
12,2.02
13,1.89
14,2.02
15,1.89
16,2.02
17,1.89
18,2.02
19,1.89
20,2.02
21,1.89
22,2.02
23,1.89
24,2.02
25,1.86
26,2.02
27,1.83
28,1.95
29,1.78
30,1.95
31,1.78
32,1.95
33,1.78
34,2.05
35,1.79
36,2.05
37,1.79
38,2.05
39,1.79
40,2.05
41,1.79
42,2.05
43,1.81
44,2.03
45,1.74
46,2.03
47,1.79
48,2.04
49,1.84
50,2.09
51,1.91
52,2.09
53,1.91
54,2.09
55,1.91
56,2.09
57,1.91
58,2.09
59,1.91
60,2.09
61,1.91
62,2.11
63,1.97
64,2.11
65,1.97
66,15.511735916137695
67,15.723274230957031
68,15.934816360473633
69,16.14635467529297
70,16.35789680480957
71,16.56943702697754
72,16.780977249145508
