ID,平均价
0,16.5
1,17.5
2,16.5
3,17.5
4,16.5
5,17.5
6,16.5
7,17.5
8,16.5
9,17.5
10,17.5
11,18.5
12,17.5
13,18.5
14,17.5
15,18.5
16,17.5
17,18.5
18,17.5
19,18.5
20,17.5
21,18.5
22,17.5
23,18.5
24,17.5
25,18.5
26,17.5
27,18.5
28,17.5
29,18.5
30,17.5
31,18.5
32,17.5
33,18.5
34,17.5
35,18.5
36,17.5
37,18.5
38,17.5
39,18.5
40,17.5
41,18.5
42,17.5
43,18.5
44,17.5
45,18.5
46,17.5
47,18.5
48,17.5
49,18.5
50,18.5
51,19.5
52,18.5
53,19.5
54,18.5
55,19.5
56,18.5
57,19.5
58,18.5
59,19.5
60,18.5
61,19.5
62,18.5
63,19.5
64,18.5
65,19.5
66,18.5
67,19.5
68,20.0
69,20.0
70,20.0
71,20.0
72,20.0
73,20.0
74,20.0
75,20.0
76,20.0
77,20.0
78,20.0
79,20.0
80,20.0
81,20.0
82,20.0
83,20.0
84,20.0
85,20.0
86,20.0
87,20.0
88,20.0
89,20.0
90,20.0
91,20.0
92,20.0
93,20.0
94,20.0
95,20.0
96,20.0
97,20.0
98,20.0
99,20.0
100,20.0
101,20.0
102,20.0
103,20.0
104,20.0
105,20.0
106,20.0
107,20.0
108,20.0
109,20.0
110,20.0
111,20.0
112,20.0
113,20.0
114,20.0
115,20.0
116,21.0
117,20.75
118,21.0
119,20.75
120,21.0
121,20.75
122,21.0
123,20.75
124,21.0
125,20.75
126,21.0
127,20.75
128,21.0
129,20.75
130,21.0
131,20.75
132,21.0
133,20.75
134,21.0
135,20.75
136,21.0
137,20.75
138,21.0
139,20.75
140,21.0
141,20.75
142,21.0
143,20.75
144,21.0
145,20.75
146,21.0
147,20.75
148,21.0
149,20.75
150,21.0
151,20.75
152,21.0
153,20.75
154,21.0
155,20.75
156,21.0
157,20.75
158,21.0
159,20.75
160,21.0
161,20.75
162,21.0
163,20.75
164,21.0
165,20.75
166,21.0
167,20.75
168,21.0
169,20.75
170,21.0
171,20.75
172,21.0
173,20.75
174,21.0
175,20.75
176,21.0
177,20.75
178,21.0
179,20.75
180,21.0
181,20.75
182,21.0
183,20.75
184,21.0
185,20.75
186,21.0
187,20.75
188,21.0
189,20.75
190,21.0
191,20.75
192,21.0
193,20.75
194,21.0
195,20.75
196,21.0
197,20.75
198,21.0
199,20.75
200,21.0
201,20.75
202,21.0
203,20.75
204,21.0
205,20.75
206,21.0
207,20.75
208,21.0
209,20.75
210,21.0
211,20.75
212,21.0
213,20.75
214,21.0
215,20.75
216,21.0
217,20.75
218,21.0
219,20.75
220,21.0
221,20.75
222,21.0
223,20.75
224,21.0
225,20.75
226,21.0
227,20.75
228,21.0
229,20.75
230,21.0
231,20.75
232,21.0
233,20.75
234,21.0
235,20.75
236,21.0
237,20.75
238,21.0
239,20.75
240,21.0
241,20.75
242,21.0
243,20.75
244,21.0
245,20.75
246,21.0
247,20.75
248,21.0
249,20.75
250,21.0
251,20.75
252,21.0
253,20.75
254,21.0
255,20.75
