ID,平均价
0,6.5
1,6.5
2,6.5
3,6.5
4,6.5
5,6.5
6,6.5
7,6.5
8,6.5
9,6.5
10,6.5
11,6.5
12,6.5
13,6.5
14,6.5
15,6.5
16,6.5
17,6.5
18,6.5
19,6.5
20,6.5
21,7.25
22,7.25
23,6.75
24,7.25
25,7.25
26,7.25
27,6.5
28,6.0
29,4.75
30,5.0
31,4.25
32,3.5
33,3.5
34,3.25
35,2.75
36,2.25
37,2.75
38,2.75
39,2.25
40,2.75
41,2.25
42,2.25
43,2.25
44,2.25
45,2.25
46,2.25
47,2.25
48,2.25
49,2.25
50,2.25
51,2.25
52,2.25
53,2.25
54,2.25
55,2.25
56,2.5
57,2.5
58,2.5
59,2.5
60,2.75
61,2.75
62,2.75
63,2.75
64,2.75
65,2.75
66,2.75
67,2.75
68,2.75
69,3.0
70,3.0
71,3.0
72,3.0
73,3.5
74,3.5
75,3.5
76,3.5
77,3.5
78,3.75
79,3.75
80,3.75
81,3.75
82,3.75
83,3.75
84,3.25
85,3.25
86,4.0
87,4.75
88,4.75
89,5.25
90,5.25
91,5.25
92,5.75
93,5.75
94,5.5
95,5.25
96,5.25
97,5.25
98,5.25
99,5.75
100,6.5
101,6.25
102,6.5
103,6.5
104,6.25
105,6.25
106,6.25
107,4.75
108,4.75
109,4.75
110,4.75
111,2.75
112,3.25
113,3.25
114,3.25
115,2.75
116,2.25
117,2.25
118,2.75
119,2.75
120,2.75
121,2.75
122,2.25
123,2.4
124,2.25
125,1.75
126,1.75
127,2.25
128,2.25
129,2.25
130,2.25
131,1.75
132,1.75
133,1.75
134,1.75
135,1.75
136,1.75
137,1.75
138,1.75
139,2.75
140,2.75
141,2.75
142,2.25
143,2.75
144,2.75
145,3.5
146,3.5
147,3.5
148,3.5
149,3.5
150,3.25
151,3.25
152,3.25
153,3.25
154,3.25
155,3.25
156,3.25
157,3.25
158,3.25
159,2.75
160,2.5
161,2.5
162,2.5
163,2.5
164,2.75
165,3.0
166,3.0
167,3.0
168,3.0
169,2.75
170,3.25
171,3.25
172,4.25
173,3.75
174,3.75
175,4.25
176,4.25
177,4.25
178,4.5
179,3.75
180,3.75
181,3.75
182,3.75
183,3.75
184,3.75
185,4.75
186,4.75
187,4.75
188,3.25
189,3.25
190,3.25
191,3.25
192,3.25
193,3.25
194,3.75
195,4.0
196,4.25
197,4.5
198,5.75
199,4.5
200,5.5
201,5.25
202,5.5
203,5.5
204,6.5
205,6.5
206,6.0
207,5.25
208,5.75
209,5.75
210,5.75
211,6.5
212,5.0
213,5.0
214,5.25
215,6.75
216,6.75
217,8.0
218,7.0
219,8.5
220,8.5
221,8.5
222,8.5
223,8.0
224,8.0
225,8.0
226,7.5
227,7.5
228,7.5
229,8.5
230,8.5
231,8.5
232,8.5
233,8.5
234,7.75
235,7.75
236,7.5
237,7.5
238,9.5
239,9.5
240,9.5
241,9.5
242,8.5
243,8.5
244,9.5
245,9.5
246,9.5
247,9.5
248,9.5
249,9.5
250,9.5
251,9.5
252,9.5
253,9.5
254,9.5
255,7.5
256,10.5
257,5.5
258,5.25
259,648.3411865234375
260,650.9088745117188
261,653.4765014648438
262,656.0442504882812
263,658.6119384765625
264,661.1796264648438
265,663.747314453125
