ID,平均价
0,34.6
1,28.5
2,35.9
3,28.5
4,35.9
5,28.5
6,37.0
7,28.5
8,36.5
9,28.5
10,39.5
11,28.5
12,26.5
13,23.5
14,25.0
15,19.75
16,22.65
17,20.0
18,22.65
19,20.0
20,23.4
21,20.0
22,24.5
23,20.0
24,27.25
25,21.75
26,25.0
27,27.15
28,23.7
29,19.5
30,20.5
31,18.1
32,23.4
33,15.15
34,25.25
35,15.15
36,39.0
37,24.0
38,31.0
39,25.5
40,25.5
41,29.5
42,33.5
43,33.0
44,36.5
45,36.5
46,36.5
47,36.0
48,33.5
49,26.745773315429688
50,26.903690338134766
51,27.061365127563477
52,27.219036102294922
53,27.376710891723633
54,27.534385681152344
55,27.69205665588379
