ID,平均价
0,5.25
1,4.75
2,4.75
3,4.5
4,4.5
5,4.5
6,4.25
7,4.25
8,4.25
9,4.25
10,4.0
11,4.0
12,3.5
13,3.5
14,3.25
15,3.25
16,3.25
17,3.25
18,3.25
19,3.25
20,3.25
21,3.25
22,3.75
23,4.0
24,4.0
25,4.25
26,4.25
27,4.25
28,3.75
29,3.75
30,3.9
31,2.75
32,2.4
33,2.4
34,2.4
35,2.25
36,1.75
37,2.0
38,2.2
39,1.65
40,1.65
41,1.25
42,1.25
43,1.25
44,1.25
45,1.25
46,1.5
47,1.75
48,1.75
49,1.75
50,1.75
51,1.75
52,1.75
53,1.75
54,1.75
55,1.75
56,1.75
57,1.25
58,1.75
59,1.75
60,1.75
61,2.25
62,2.25
63,2.25
64,2.5
65,2.5
66,2.5
67,2.5
68,2.5
69,3.25
70,3.25
71,3.25
72,2.75
73,2.75
74,2.75
75,2.75
76,3.0
77,3.0
78,3.0
79,3.0
80,3.0
81,3.0
82,2.5
83,2.75
84,3.0
85,3.0
86,3.0
87,3.0
88,2.75
89,4.75
90,4.5
91,4.5
92,3.75
93,3.75
94,3.75
95,3.75
96,3.75
97,3.75
98,3.75
99,4.75
100,4.75
101,5.5
102,6.5
103,7.5
104,7.5
105,7.5
106,5.5
107,3.75
108,3.75
109,3.75
110,4.75
111,3.25
112,2.25
113,2.25
114,2.25
115,2.25
116,2.25
117,2.75
118,2.75
119,3.25
120,3.25
121,3.75
122,2.25
123,2.0
124,2.25
125,2.25
126,1.9
127,2.25
128,2.15
129,2.75
130,2.75
131,3.15
132,1.75
133,2.75
134,2.25
135,2.75
136,2.5
137,2.25
138,2.25
139,2.25
140,2.25
141,2.25
142,1.75
143,1.75
144,1.75
145,1.75
146,1.75
147,2.0
148,2.35
149,2.35
150,2.35
151,2.75
152,3.0
153,1.75
154,1.75
155,1.75
156,1.55
157,1.75
158,1.75
159,1.75
160,1.75
161,1.65
162,1.65
163,1.65
164,1.65
165,1.25
166,1.25
167,1.35
168,1.5
169,1.75
170,2.0
171,2.25
172,2.25
173,2.25
174,1.9
175,2.25
176,2.25
177,2.75
178,2.5
179,2.25
180,2.25
181,2.25
182,1.75
183,1.75
184,1.75
185,1.85
186,1.85
187,1.85
188,1.85
189,2.5
190,2.25
191,2.25
192,2.25
193,2.25
194,2.25
195,2.1
196,2.25
197,2.25
198,2.25
199,1.65
200,1.65
201,1.75
202,1.8
203,2.05
204,1.75
205,1.75
206,2.15
207,2.0
208,2.0
209,2.0
210,2.0
211,1.75
212,1.75
213,2.0
214,1.9
215,2.0
216,1.9
217,2.25
218,2.25
219,2.5
220,2.75
221,2.9
222,3.0
223,3.5
224,3.5
225,3.5
226,3.5
227,3.75
228,3.75
229,3.75
230,4.25
231,4.25
232,4.25
233,4.25
234,4.25
235,4.25
236,3.75
237,3.5
238,3.5
239,3.5
240,3.9
241,3.9
242,5.25
243,5.25
244,6.5
245,7.0
246,5.0
247,5.0
248,4.0
249,4.0
250,3.5
251,3.5
252,4.0
253,4.0
254,4.0
255,4.0
256,4.0
257,3.5
258,3.0
259,354.2686767578125
260,355.6562805175781
261,357.04376220703125
262,358.4313049316406
263,359.8188781738281
264,361.2063293457031
265,362.5939025878906
