ID,平均价
0,66.5
1,69.0
2,75.0
3,66.5
4,69.0
5,75.0
6,66.5
7,69.0
8,75.0
9,66.5
10,69.0
11,75.0
12,66.5
13,71.5
14,77.5
15,66.5
16,71.5
17,77.5
18,64.0
19,69.0
20,74.0
21,64.0
22,69.0
23,74.0
24,59.0
25,64.0
26,69.0
27,59.0
28,64.0
29,69.0
30,59.0
31,64.0
32,69.0
33,55.5
34,60.5
35,65.5
36,55.5
37,60.5
38,65.5
39,55.5
40,60.5
41,65.5
42,55.5
43,60.5
44,65.5
45,55.5
46,60.5
47,65.5
48,55.5
49,60.5
50,65.5
51,55.5
52,60.5
53,65.5
54,55.5
55,60.5
56,65.5
57,55.5
58,60.5
59,65.5
60,55.5
61,60.5
62,65.5
63,55.5
64,60.5
65,65.5
66,55.5
67,60.5
68,65.5
69,55.5
70,60.5
71,65.5
72,52.5
73,57.5
74,61.5
75,52.5
76,57.5
77,61.5
78,52.5
79,57.5
80,61.5
81,52.5
82,57.5
83,61.5
84,52.5
85,57.5
86,61.5
87,51.5
88,57.5
89,62.5
90,51.5
91,57.5
92,62.5
93,51.5
94,57.5
95,62.5
96,50.0
97,57.0
98,61.5
99,50.0
100,57.0
101,61.5
102,50.0
103,57.0
104,61.5
105,50.0
106,57.0
107,61.5
108,50.0
109,57.0
110,61.5
111,50.0
112,57.0
113,61.5
114,50.0
115,57.0
116,61.5
117,47.5
118,57.5
119,62.5
120,47.5
121,57.5
122,62.5
123,47.5
124,57.5
125,62.5
126,47.5
127,57.5
128,62.5
129,47.5
130,57.5
131,62.5
132,47.5
133,52.5
134,61.5
135,47.5
136,52.5
137,61.5
138,47.5
139,52.5
140,61.5
141,47.5
142,52.5
143,61.5
144,47.5
145,52.5
146,61.5
147,47.5
148,52.5
149,62.5
150,47.5
151,52.5
152,62.5
153,47.5
154,52.5
155,62.5
156,47.5
157,52.5
158,62.5
159,47.5
160,52.5
161,62.5
162,47.5
163,52.5
164,62.5
165,47.5
166,52.5
167,62.5
168,47.5
169,52.5
170,62.5
171,47.5
172,52.5
173,62.5
174,51.5
175,56.5
176,65.5
177,51.5
178,56.5
179,65.5
180,51.5
181,56.5
182,67.5
183,47.5
184,54.0
185,65.0
186,47.5
187,54.0
188,65.0
189,47.5
190,54.0
191,65.0
192,47.5
193,54.0
194,65.0
195,47.5
196,54.0
197,65.0
198,47.5
199,54.0
200,65.0
201,47.5
202,54.0
203,65.0
204,42.5
205,50.0
206,60.0
207,42.5
208,50.0
209,60.0
210,42.5
211,50.0
212,60.0
213,42.5
214,50.0
215,60.0
216,45.0
217,55.0
218,65.0
219,45.0
220,55.0
221,65.0
222,45.0
223,55.0
224,65.0
225,45.0
226,55.0
227,65.0
228,45.0
229,55.0
230,65.0
231,52.5
232,57.5
233,72.5
234,52.5
235,57.5
236,67.5
237,52.5
238,57.5
239,67.5
240,52.5
241,57.5
242,67.5
243,52.5
244,57.5
245,67.5
246,52.5
247,57.5
248,67.5
249,51.0
250,56.5
251,66.5
252,51.0
253,56.5
254,66.5
255,51.0
256,56.5
257,66.5
258,47.5
259,52.5
260,57.5
261,47.5
262,51.5
263,57.5
264,47.5
265,51.5
266,57.5
267,47.5
268,51.5
269,57.5
270,47.5
271,54.0
272,57.5
273,47.5
274,54.0
275,57.5
276,47.5
277,54.0
278,57.5
279,47.5
280,54.0
281,57.5
282,47.5
283,54.0
284,57.5
285,47.5
286,55.5
287,66.5
288,47.5
289,55.0
290,47.5
291,57.5
292,57.5
293,57.5
294,57.5
295,57.5
296,57.5
297,57.5
298,57.5
299,57.5
300,57.5
301,57.5
302,57.5
303,57.5
304,57.5
305,57.5
306,57.5
307,57.5
308,57.5
309,60.0
310,60.0
311,60.0
312,60.0
313,60.0
314,60.0
315,60.0
316,60.0
317,60.0
318,60.0
319,60.0
320,60.0
321,60.0
322,60.0
323,62.5
324,62.5
325,62.5
326,62.5
327,59.0
328,59.0
329,59.0
330,57.5
331,57.5
332,57.5
333,56.0
334,59.0
335,59.0
336,59.0
337,59.0
338,59.0
339,60.0
340,70.0
341,60.0
342,70.0
343,60.0
344,70.0
345,60.0
346,70.0
347,60.0
348,70.0
349,60.0
350,70.0
351,60.0
352,70.0
353,60.0
354,70.0
355,60.0
356,70.0
357,60.0
358,70.0
359,60.0
360,70.0
361,60.0
362,70.0
363,60.0
364,70.0
365,60.0
366,70.0
367,60.0
368,70.0
369,60.0
370,70.0
371,60.0
372,70.0
373,60.0
374,70.0
375,60.0
376,70.0
377,60.0
378,70.0
379,60.0
380,70.0
381,47.5
382,55.0
383,65.0
384,47.5
385,55.0
386,65.0
387,47.5
388,55.0
389,65.0
390,47.5
391,55.0
392,65.0
393,47.5
394,55.0
395,65.0
396,47.5
397,55.0
398,65.0
399,47.5
400,55.0
401,65.0
402,47.5
403,55.0
404,65.0
405,47.5
406,55.0
407,65.0
408,47.5
409,55.0
410,65.0
411,47.5
412,55.0
413,65.0
414,47.5
415,55.0
416,65.0
417,47.5
418,55.0
419,65.0
420,47.5
421,55.0
422,65.0
423,47.5
424,55.0
425,65.0
426,47.5
427,55.0
428,65.0
429,47.5
430,55.0
431,65.0
432,46.0
433,55.0
434,65.0
435,46.0
436,55.0
437,65.0
438,46.0
439,55.0
440,65.0
441,46.0
442,55.0
443,65.0
444,46.0
445,55.0
446,65.0
447,46.0
448,55.0
449,65.0
450,46.0
451,52.5
452,62.5
453,46.0
454,52.5
455,62.5
456,46.0
457,52.5
458,62.5
459,46.0
460,52.5
461,57.5
462,46.0
463,52.5
464,57.5
465,46.0
466,52.5
467,57.5
468,46.0
469,52.5
470,57.5
471,42.5
472,52.5
473,57.5
474,42.5
475,47.5
476,55.0
477,42.5
478,47.5
479,55.0
480,42.5
481,47.5
482,55.0
483,42.5
484,47.5
485,55.0
486,42.5
487,47.5
488,55.0
489,42.5
490,47.5
491,55.0
492,42.5
493,47.5
494,55.0
495,42.5
496,47.5
497,52.5
498,42.5
499,47.5
500,52.5
501,42.5
502,47.5
503,52.5
504,42.5
505,47.5
506,52.5
507,-360.5030822753906
508,-361.4377136230469
509,-362.3723449707031
510,-363.3069763183594
511,-364.2416687011719
512,-365.17633056640625
513,-366.11090087890625
