ID,平均价
0,485.0
1,485.0
2,470.0
3,470.0
4,470.0
5,470.0
6,470.0
7,470.0
8,490.0
9,490.0
10,490.0
11,490.0
12,490.0
13,490.0
14,490.0
15,490.0
16,490.0
17,490.0
18,490.0
19,490.0
20,490.0
21,490.0
22,490.0
23,490.0
24,490.0
25,490.0
26,490.0
27,490.0
28,490.0
29,485.0
30,485.0
31,485.0
32,485.0
33,475.0
34,475.0
35,475.0
36,475.0
37,475.0
38,475.0
39,475.0
40,475.0
41,475.0
42,475.0
43,475.0
44,475.0
45,475.0
46,475.0
47,475.0
48,475.0
49,475.0
50,475.0
51,475.0
52,475.0
53,475.0
54,490.0
55,490.0
56,490.0
57,490.0
58,490.0
59,490.0
60,490.0
61,525.0
62,525.0
63,525.0
64,525.0
65,525.0
66,525.0
67,525.0
68,525.0
69,525.0
70,525.0
71,525.0
72,540.0
73,540.0
74,540.0
75,540.0
76,540.0
77,540.0
78,540.0
79,540.0
80,540.0
81,540.0
82,500.0
83,500.0
84,500.0
85,500.0
86,500.0
87,500.0
88,500.0
89,500.0
90,500.0
91,500.0
92,500.0
93,500.0
94,500.0
95,500.0
96,500.0
97,500.0
98,500.0
99,500.0
100,500.0
101,500.0
102,500.0
103,500.0
104,495.0
105,495.0
106,495.0
107,465.0
108,465.0
109,465.0
110,465.0
111,465.0
112,465.0
113,465.0
114,465.0
115,465.0
116,455.0
117,455.0
118,455.0
119,455.0
120,455.0
121,455.0
122,460.0
123,460.0
124,460.0
125,460.0
126,460.0
127,460.0
128,460.0
129,460.0
130,460.0
131,460.0
132,460.0
133,460.0
134,460.0
135,460.0
136,460.0
137,460.0
138,460.0
139,460.0
140,460.0
141,450.0
142,450.0
143,450.0
144,389.17767333984375
145,389.4598693847656
146,389.74212646484375
147,390.0243835449219
148,390.3066101074219
149,390.5888671875
150,390.8710632324219
