ID,平均价
0,30.0
1,30.0
2,30.0
3,30.0
4,30.0
5,30.0
6,30.0
7,30.0
8,30.0
9,30.0
10,30.0
11,30.0
12,30.0
13,30.0
14,30.0
15,30.0
16,30.0
17,30.0
18,30.0
19,30.0
20,30.0
21,30.0
22,30.0
23,30.0
24,30.0
25,30.0
26,30.0
27,30.0
28,30.0
29,30.0
30,30.0
31,30.0
32,30.0
33,30.0
34,30.0
35,30.0
36,30.0
37,30.0
38,30.0
39,30.0
40,30.0
41,30.0
42,30.0
43,30.0
44,30.0
45,30.0
46,30.0
47,30.0
48,30.0
49,30.0
50,30.0
51,30.0
52,30.0
53,30.0
54,30.0
55,30.0
56,30.0
57,30.0
58,30.0
59,30.0
60,30.5
61,30.5
62,31.0
63,31.0
64,31.0
65,31.5
66,31.5
67,31.5
68,31.5
69,31.5
70,31.5
71,32.0
72,32.0
73,32.0
74,32.0
75,32.0
76,32.0
77,32.0
78,32.5
79,32.5
80,32.5
81,32.5
82,32.5
83,32.5
84,32.5
85,32.5
86,32.5
87,32.5
88,32.5
89,32.5
90,32.5
91,32.5
92,32.5
93,32.5
94,32.5
95,32.0
96,32.0
97,32.0
98,32.0
99,32.0
100,32.0
101,32.0
102,32.0
103,32.0
104,32.0
105,31.0
106,31.0
107,29.5
108,29.5
109,29.5
110,29.5
111,29.5
112,29.5
113,29.5
114,29.5
115,29.5
116,29.5
117,29.5
118,29.5
119,29.5
120,29.5
121,29.5
122,29.5
123,29.5
124,29.5
125,29.5
126,29.5
127,29.5
128,29.5
129,29.5
130,29.5
131,29.5
132,29.5
133,29.5
134,29.5
135,29.5
136,29.5
137,30.0
138,30.0
139,30.0
140,30.0
141,30.0
142,30.0
143,30.0
144,30.0
145,30.0
146,30.0
147,30.0
148,30.0
149,30.0
150,30.0
151,29.5
152,29.5
153,28.0
154,28.0
155,28.0
156,28.0
157,28.0
158,28.0
159,28.0
160,28.0
161,28.0
162,28.0
163,28.0
164,28.0
165,28.0
166,28.0
167,28.0
168,28.0
169,28.0
170,28.0
171,28.0
172,28.0
173,28.0
174,28.0
175,28.0
176,28.0
177,28.0
178,28.0
179,28.5
180,28.5
181,29.5
182,29.5
183,29.5
184,29.5
185,29.5
186,29.5
187,29.5
188,29.5
189,29.5
190,29.5
191,29.5
192,29.5
193,29.5
194,29.5
195,29.5
196,29.5
197,29.5
198,29.5
199,29.5
200,29.5
201,29.5
202,29.5
203,29.5
204,29.5
205,29.5
206,29.5
207,29.5
208,29.5
209,29.5
210,29.5
211,29.5
212,29.5
213,29.5
214,29.5
215,29.5
216,29.5
217,29.5
218,29.5
219,29.5
220,29.5
221,29.5
222,29.5
223,29.5
224,29.5
225,29.5
226,29.5
227,29.5
228,29.5
229,29.5
230,29.5
231,29.5
232,29.5
233,29.5
234,29.5
235,29.5
236,29.5
237,29.5
238,30.0
239,30.0
240,30.0
241,30.0
242,30.0
243,30.0
244,30.0
245,30.0
246,30.0
247,30.0
248,30.0
249,30.0
250,30.0
251,30.0
252,30.0
253,30.0
254,30.0
255,30.0
256,30.0
257,30.0
258,29.5
259,29.5
260,29.5
261,29.5
262,29.5
263,29.5
264,29.5
265,29.5
266,29.5
267,30.0
268,30.0
269,30.0
270,30.0
271,30.0
272,30.0
273,30.0
274,30.0
275,30.0
276,30.0
277,30.0
278,30.0
279,30.0
280,30.0
281,30.0
282,30.0
283,30.0
284,30.0
285,30.0
286,30.0
287,30.0
288,30.0
289,30.0
290,30.0
291,30.0
292,30.0
293,30.0
294,30.0
295,30.0
296,30.0
297,30.0
298,30.0
299,30.0
300,30.0
301,30.0
302,30.0
303,30.0
304,30.0
305,30.0
306,30.0
307,30.0
308,30.0
309,30.0
310,30.0
311,30.0
312,30.0
313,30.0
314,30.0
315,30.0
316,30.0
317,30.0
318,30.0
319,30.0
320,30.0
321,30.0
322,30.0
323,30.0
324,30.0
325,30.0
326,30.0
327,30.0
328,30.0
329,30.0
330,30.0
331,30.0
332,30.0
333,30.0
334,30.0
335,30.0
336,30.0
337,30.0
338,30.0
339,30.0
340,30.0
341,30.0
342,30.0
343,30.0
344,30.0
345,30.0
346,30.0
347,30.0
348,30.0
349,30.0
350,30.0
351,30.0
352,30.0
353,30.0
354,30.0
355,30.0
356,30.0
357,30.0
358,30.0
359,30.0
360,173.9554443359375
361,174.39413452148438
362,174.83282470703125
363,175.2715301513672
364,175.710205078125
365,176.14891052246094
366,176.58763122558594
