ID,平均价
0,8.5
1,8.5
2,8.75
3,8.75
4,8.75
5,8.75
6,8.75
7,8.75
8,8.75
9,8.75
10,8.75
11,8.75
12,8.75
13,8.75
14,8.75
15,8.75
16,8.75
17,8.75
18,8.75
19,8.75
20,8.75
21,8.75
22,8.75
23,8.75
24,8.75
25,8.75
26,8.75
27,8.75
28,8.75
29,8.75
30,8.75
31,8.75
32,8.75
33,8.75
34,8.75
35,8.75
36,8.75
37,8.75
38,8.75
39,9.5
40,9.5
41,9.5
42,9.5
43,9.5
44,9.5
45,9.5
46,9.5
47,9.5
48,9.5
49,9.5
50,9.5
51,9.5
52,9.5
53,9.5
54,9.5
55,9.5
56,9.5
57,9.5
58,9.5
59,9.5
60,9.5
61,9.5
62,9.5
63,9.5
64,9.5
65,9.5
66,9.5
67,9.5
68,9.5
69,9.5
70,9.5
71,10.0
72,10.0
73,10.0
74,10.0
75,10.0
76,10.0
77,10.0
78,10.0
79,10.0
80,10.0
81,10.0
82,10.0
83,10.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,10.0
92,10.0
93,10.0
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,10.0
100,10.0
101,10.0
102,10.0
103,10.0
104,10.0
105,10.0
106,10.0
107,10.0
108,10.0
109,10.0
110,10.0
111,10.0
112,10.0
113,10.0
114,10.0
115,10.0
116,10.0
117,10.0
118,10.0
119,10.0
120,10.0
121,10.0
122,10.0
123,10.0
124,10.0
125,10.0
126,10.0
127,10.0
128,10.0
129,10.0
130,10.0
131,10.0
132,10.0
133,10.0
134,10.0
135,10.0
136,10.0
137,10.0
138,10.0
139,10.0
140,10.0
141,9.5
142,9.5
143,9.5
144,9.5
145,9.5
146,9.5
147,9.5
148,9.5
149,9.5
150,9.5
151,9.0
152,9.0
153,9.0
154,9.0
155,9.0
156,9.0
157,9.0
158,9.0
159,9.0
160,9.0
161,9.0
162,9.0
163,9.0
164,9.0
165,9.0
166,9.0
167,9.0
168,9.0
169,9.0
170,9.0
171,9.0
172,9.0
173,9.0
174,9.0
175,9.0
176,9.0
177,9.0
178,9.0
179,9.0
180,9.0
181,9.0
182,9.0
183,9.0
184,9.0
185,9.0
186,9.5
187,9.5
188,9.5
189,9.5
190,9.5
191,9.5
192,9.5
193,9.5
194,9.5
195,9.5
196,9.5
197,9.5
198,9.5
199,9.5
200,9.5
201,9.5
202,9.5
203,9.5
204,9.5
205,9.5
206,9.5
207,9.5
208,9.5
209,9.5
210,9.5
211,9.5
212,9.5
213,9.5
214,9.5
215,9.5
216,9.5
217,9.5
218,9.5
219,9.5
220,9.5
221,9.5
222,9.5
223,9.5
224,9.5
225,10.0
226,10.0
227,10.0
228,10.0
229,10.0
230,10.0
231,10.0
232,10.0
233,10.0
234,10.0
235,10.0
236,10.0
237,10.0
238,10.0
239,10.0
240,10.0
241,10.0
242,10.0
243,10.0
244,10.0
245,10.0
246,10.0
247,10.0
248,10.0
249,10.0
250,10.0
251,10.0
252,10.0
253,10.0
254,9.75
255,9.75
256,9.75
257,9.75
258,9.75
259,9.75
260,9.75
261,9.75
262,9.75
263,9.75
264,9.75
265,9.75
266,9.75
267,9.75
268,9.75
269,9.75
270,9.75
271,9.75
272,9.75
273,9.75
274,9.75
275,9.75
276,9.75
277,9.75
278,9.75
279,9.75
280,9.75
281,9.75
282,9.75
283,9.75
284,9.75
285,9.75
286,9.75
287,9.75
288,9.75
289,10.5
290,10.5
291,10.5
292,10.5
293,10.0
294,10.0
295,10.0
296,10.0
297,10.0
298,9.75
299,9.75
300,10.0
301,10.0
302,10.0
303,10.0
304,10.0
305,10.0
306,10.0
307,10.0
308,10.0
309,10.0
310,10.0
311,10.0
312,10.0
313,10.0
314,10.0
315,9.25
316,9.25
317,9.25
318,9.0
319,9.0
320,9.0
321,9.0
322,9.0
323,9.0
324,9.0
325,9.5
326,9.5
327,9.5
328,9.5
329,9.5
330,9.5
331,9.5
332,9.5
333,9.5
334,9.5
335,9.5
336,9.0
337,9.0
338,10.0
339,10.0
340,10.0
341,10.0
342,10.0
343,10.0
344,10.0
345,10.0
346,10.0
347,10.0
348,10.0
349,10.0
350,10.0
351,10.0
352,10.0
353,10.0
354,10.0
355,10.0
356,10.0
357,10.0
358,10.75
359,10.75
360,166.92544555664062
361,167.37506103515625
362,167.82470703125
363,168.2742919921875
364,168.72390747070312
365,169.17352294921875
366,169.62315368652344
