ID,平均价
0,2.25
1,2.25
2,2.25
3,2.25
4,2.25
5,2.75
6,2.75
7,2.75
8,2.75
9,2.75
10,2.75
11,2.75
12,2.75
13,2.75
14,2.75
15,2.75
16,2.75
17,2.75
18,2.75
19,2.75
20,2.75
21,2.75
22,2.75
23,2.75
24,2.75
25,2.75
26,2.75
27,2.75
28,2.75
29,2.75
30,2.75
31,2.75
32,2.75
33,2.75
34,2.75
35,2.75
36,2.75
37,2.75
38,2.75
39,2.75
40,2.75
41,2.75
42,2.75
43,2.75
44,2.75
45,2.75
46,2.75
47,2.75
48,2.75
49,2.75
50,2.75
51,2.75
52,2.75
53,2.75
54,2.75
55,2.75
56,2.75
57,2.75
58,2.75
59,2.75
60,2.75
61,3.0
62,3.0
63,3.0
64,3.0
65,3.0
66,3.0
67,3.0
68,3.0
69,3.0
70,3.0
71,3.0
72,3.0
73,3.0
74,3.0
75,3.0
76,3.0
77,3.0
78,3.0
79,3.0
80,3.0
81,3.0
82,3.0
83,3.0
84,3.0
85,3.0
86,3.0
87,3.0
88,3.0
89,3.0
90,3.0
91,3.0
92,3.0
93,3.0
94,3.0
95,3.0
96,3.0
97,3.0
98,3.0
99,3.0
100,3.0
101,3.0
102,3.0
103,4.0
104,4.0
105,4.0
106,4.0
107,4.0
108,4.0
109,4.0
110,4.0
111,4.0
112,4.0
113,4.0
114,4.0
115,4.0
116,4.0
117,4.0
118,4.0
119,4.0
120,4.0
121,4.0
122,4.0
123,4.0
124,4.0
125,4.0
126,4.0
127,4.0
128,3.0
129,3.0
130,3.0
131,3.0
132,3.0
133,3.0
134,3.0
135,3.0
136,3.0
137,3.0
138,3.0
139,3.0
140,3.0
141,3.0
142,3.0
143,3.0
144,3.0
145,3.0
146,3.0
147,3.0
148,3.0
149,3.0
150,3.0
151,3.0
152,3.0
153,3.0
154,3.0
155,3.0
156,3.0
157,3.0
158,3.0
159,3.0
160,3.0
161,3.0
162,3.0
163,3.0
164,3.0
165,3.0
166,3.0
167,3.0
168,3.0
169,3.0
170,3.0
171,3.0
172,3.0
173,3.0
174,3.0
175,3.0
176,3.0
177,3.0
178,3.0
179,3.0
180,3.0
181,3.0
182,3.0
183,3.0
184,3.0
185,2.5
186,2.5
187,2.5
188,2.5
189,2.5
190,2.5
191,2.5
192,2.5
193,2.5
194,2.5
195,2.5
196,2.5
197,2.5
198,2.5
199,2.5
200,2.5
201,2.5
202,2.5
203,2.5
204,2.5
205,2.5
206,2.5
207,2.5
208,2.5
209,2.0
210,2.0
211,2.0
212,2.0
213,2.0
214,2.0
215,2.0
216,2.0
217,2.0
218,2.0
219,2.0
220,2.0
221,3.0
222,3.0
223,3.0
224,3.0
225,3.0
226,3.0
227,3.0
228,3.0
229,3.0
230,3.0
231,3.0
232,3.0
233,3.0
234,3.0
235,3.0
236,3.0
237,3.0
238,3.0
239,3.0
240,3.0
241,3.0
242,3.0
243,3.0
244,3.0
245,3.0
246,3.0
247,3.0
248,3.0
249,3.0
250,3.0
251,3.0
252,3.0
253,3.0
254,3.0
255,3.0
256,3.0
257,3.0
258,3.0
259,3.0
260,3.0
261,3.0
262,3.0
263,3.0
264,3.0
265,3.0
266,3.0
267,3.0
268,3.0
269,3.0
270,3.0
271,3.0
272,3.0
273,3.0
274,3.0
275,3.0
276,3.0
277,3.0
278,3.0
279,3.0
280,3.0
281,3.0
282,3.0
283,3.0
284,3.0
285,3.0
286,3.0
287,3.0
288,3.0
289,3.0
290,3.0
291,3.0
292,3.0
293,3.0
294,3.0
295,3.0
296,3.0
297,3.0
298,3.0
299,3.0
300,3.0
301,3.0
302,3.0
303,3.0
304,3.0
305,3.0
306,3.0
307,3.0
308,3.0
309,3.0
310,3.0
311,3.0
312,3.0
313,3.0
314,3.0
315,3.0
316,3.0
317,3.0
318,3.0
319,3.0
320,3.0
321,3.0
322,3.0
323,3.0
324,3.0
325,3.0
326,3.0
327,3.0
328,3.0
329,3.0
330,3.0
331,3.0
332,3.0
333,3.0
334,3.0
335,3.0
336,3.5
337,3.5
338,3.5
339,3.5
340,3.5
341,3.5
342,3.5
343,3.5
344,3.5
345,3.5
346,3.5
347,3.5
348,3.5
349,3.5
350,3.5
351,3.5
352,3.5
353,3.5
354,3.5
355,3.5
356,3.5
357,3.5
358,3.0
359,3.0
360,298.8221740722656
361,299.6523742675781
362,300.4825134277344
363,301.3127136230469
364,302.14288330078125
365,302.97308349609375
366,303.80328369140625
