ID,平均价
0,42.5
1,21.0
2,42.5
3,21.0
4,42.5
5,21.0
6,42.5
7,21.0
8,42.5
9,21.0
10,42.5
11,21.0
12,42.5
13,21.0
14,42.5
15,21.0
16,42.5
17,21.0
18,42.5
19,21.0
20,42.5
21,21.0
22,42.5
23,21.0
24,42.5
25,21.0
26,42.5
27,21.0
28,42.5
29,21.0
30,42.5
31,21.0
32,42.5
33,21.0
34,42.5
35,21.0
36,42.5
37,21.0
38,42.5
39,21.0
40,42.5
41,21.0
42,42.5
43,21.0
44,42.5
45,21.0
46,42.5
47,21.0
48,42.5
49,21.0
50,42.5
51,21.0
52,42.5
53,21.0
54,42.5
55,21.0
56,42.5
57,21.0
58,42.5
59,21.0
60,42.5
61,21.0
62,42.5
63,21.0
64,42.5
65,21.0
66,42.5
67,21.0
68,42.5
69,21.0
70,42.5
71,21.0
72,42.5
73,21.0
74,42.5
75,21.0
76,42.5
77,21.0
78,44.0
79,21.0
80,44.0
81,21.0
82,44.0
83,21.0
84,44.0
85,21.0
86,44.0
87,21.0
88,44.0
89,21.0
90,44.0
91,21.0
92,44.0
93,21.0
94,45.0
95,21.0
96,45.0
97,21.0
98,45.0
99,21.0
100,45.0
101,21.0
102,45.0
103,21.0
104,45.0
105,21.0
106,45.0
107,21.0
108,45.0
109,21.0
110,45.0
111,21.0
112,45.0
113,21.0
114,45.0
115,21.0
116,45.0
117,21.0
118,45.0
119,21.0
120,45.0
121,21.0
122,45.0
123,21.0
124,45.0
125,21.0
126,45.0
127,21.0
128,45.0
129,21.0
130,45.0
131,21.0
132,45.0
133,21.0
134,45.0
135,21.0
136,45.0
137,21.0
138,45.0
139,21.0
140,45.0
141,21.0
142,45.0
143,21.0
144,45.0
145,21.0
146,45.0
147,21.0
148,45.0
149,21.0
150,45.0
151,21.0
152,45.0
153,21.0
154,45.0
155,21.0
156,45.0
157,21.0
158,45.0
159,21.0
160,45.0
161,21.0
162,45.0
163,21.0
164,45.0
165,21.0
166,45.0
167,21.0
168,45.0
169,21.0
170,45.0
171,21.0
172,45.0
173,20.0
174,46.5
175,20.0
176,46.5
177,20.0
178,46.5
179,20.0
180,46.5
181,20.0
182,46.5
183,20.0
184,46.5
185,20.0
186,46.5
187,20.0
