ID,平均价
0,13.5
1,13.5
2,13.5
3,13.5
4,13.5
5,13.5
6,13.5
7,13.5
8,13.5
9,13.5
10,13.5
11,13.5
12,13.5
13,13.5
14,13.5
15,13.5
16,13.5
17,13.5
18,13.5
19,13.5
20,13.5
21,13.5
22,13.5
23,13.5
24,13.5
25,13.5
26,13.5
27,13.5
28,13.5
29,13.5
30,13.5
31,13.5
32,13.5
33,13.5
34,13.5
35,13.5
36,13.5
37,13.5
38,13.5
39,13.5
40,13.5
41,13.5
42,13.5
43,13.5
44,13.5
45,13.5
46,13.5
47,13.5
48,13.5
49,12.5
50,12.5
51,12.5
52,12.5
53,12.5
54,12.5
55,12.5
56,12.5
57,12.5
58,12.5
59,12.5
60,12.5
61,12.5
62,12.5
63,12.5
64,12.5
65,12.5
66,12.5
67,12.5
68,12.5
69,12.5
70,12.5
71,12.0
72,12.0
73,12.0
74,12.0
75,12.0
76,12.0
77,12.0
78,12.0
79,12.0
80,12.0
81,12.0
82,12.0
83,12.0
84,12.0
85,12.0
86,12.0
87,12.0
88,12.0
89,12.0
90,12.0
91,12.0
92,12.0
93,12.0
94,12.0
95,12.0
96,12.0
97,12.0
98,12.0
99,12.0
100,12.0
101,12.0
102,12.0
103,12.0
104,12.0
105,12.0
106,12.0
107,12.0
108,12.0
109,12.0
110,12.0
111,12.0
112,12.0
113,12.0
114,12.0
115,12.0
116,12.0
117,12.0
118,12.25
119,12.25
120,12.25
121,12.25
122,12.25
123,12.25
124,12.25
125,12.25
126,12.25
127,12.25
128,12.25
129,12.25
130,12.25
131,12.25
132,12.25
133,12.25
134,12.25
135,12.25
136,12.25
137,12.25
138,12.25
139,12.25
140,12.25
141,12.25
142,12.25
143,12.25
144,12.25
145,12.25
146,12.25
147,12.25
148,12.25
149,12.25
150,12.25
151,12.25
152,12.25
153,12.25
154,12.25
155,12.25
156,12.25
157,12.25
158,12.25
159,12.25
160,12.25
161,12.25
162,12.25
163,12.25
164,12.25
165,12.25
166,12.25
167,12.25
168,12.25
169,13.0
170,13.0
171,13.0
172,13.0
173,13.0
174,13.0
175,13.0
176,13.75
177,13.75
178,13.75
179,13.75
180,14.0
181,14.0
182,14.0
183,14.0
184,14.0
185,14.0
186,14.0
187,14.0
188,14.0
189,14.0
190,14.0
191,14.0
192,14.0
193,14.0
194,14.0
195,14.0
196,14.0
197,14.0
198,14.0
199,14.0
200,14.0
201,14.0
202,14.0
203,14.0
204,14.0
205,14.0
206,14.0
207,14.0
208,14.0
209,14.0
210,14.0
211,14.0
212,14.0
213,14.0
214,14.0
215,14.0
216,14.0
217,14.0
218,14.0
219,14.0
220,14.0
221,14.0
222,14.0
223,14.0
224,14.0
225,14.0
226,14.0
227,14.0
228,14.0
229,14.0
230,14.0
231,14.0
232,14.0
233,14.0
234,14.0
235,14.0
236,14.0
237,14.0
238,14.0
239,14.0
240,14.0
241,14.0
242,14.0
243,14.0
244,14.0
245,14.0
246,14.0
247,14.0
248,14.0
249,14.0
250,14.0
251,14.0
252,14.0
253,14.0
254,14.0
255,14.0
256,14.0
257,14.0
258,14.0
259,14.0
260,14.0
261,14.0
262,14.0
263,14.0
264,14.0
265,14.0
266,14.0
267,14.0
268,14.0
269,14.0
270,14.0
271,14.0
272,14.0
273,14.0
274,14.0
275,14.0
276,14.0
277,14.0
278,14.0
279,14.0
280,14.0
281,14.0
282,14.0
283,14.0
284,14.0
285,14.0
286,14.0
287,14.0
288,14.0
289,14.0
290,14.0
291,14.0
292,14.0
293,14.0
294,14.0
295,14.0
296,14.0
297,14.0
298,14.0
299,14.0
300,14.0
301,14.0
302,14.0
303,14.0
304,14.0
305,14.0
306,14.0
307,13.0
308,13.0
309,13.0
310,13.0
311,13.0
312,13.0
313,13.0
314,13.0
315,13.0
316,13.0
317,13.0
318,13.0
319,13.0
320,13.0
321,13.0
322,13.0
323,13.0
324,13.0
325,13.0
326,13.0
327,13.0
328,13.0
329,13.0
330,13.0
331,13.0
332,13.0
333,13.0
334,13.0
335,13.0
336,13.0
337,13.0
338,13.0
339,13.0
340,13.0
341,13.0
342,13.0
343,13.0
344,13.0
345,13.0
346,13.0
347,13.0
348,13.0
349,13.0
350,13.0
351,13.0
352,13.0
353,13.0
354,13.0
355,13.0
356,13.0
357,13.0
358,13.0
359,13.0
360,10.744454383850098
361,10.740768432617188
362,10.737083435058594
363,10.7333984375
364,10.72971248626709
365,10.726028442382812
366,10.722342491149902
