ID,平均价
0,17.0
1,25.5
2,21.5
3,19.5
4,17.0
5,25.5
6,21.5
7,19.5
8,17.0
9,25.5
10,21.5
11,19.5
12,17.0
13,25.5
14,21.5
15,19.5
16,17.0
17,25.5
18,21.5
19,19.5
20,17.0
21,25.5
22,21.5
23,19.5
24,17.0
25,25.5
26,21.5
27,19.5
28,17.0
29,25.5
30,21.5
31,19.5
32,16.0
33,25.5
34,21.5
35,19.5
36,16.0
37,25.5
38,21.5
39,19.5
40,16.0
41,25.5
42,21.5
43,19.5
44,16.0
45,25.5
46,21.5
47,19.5
48,15.0
49,25.5
50,21.5
51,19.5
52,15.0
53,25.5
54,21.5
55,19.5
56,15.0
57,25.5
58,21.5
59,19.5
60,15.0
61,25.5
62,21.5
63,19.5
64,15.0
65,25.5
66,21.5
67,19.5
68,15.0
69,25.5
70,21.5
71,19.5
72,15.0
73,25.5
74,21.5
75,19.5
76,14.5
77,25.5
78,21.5
79,19.5
80,14.5
81,25.5
82,21.5
83,19.5
84,14.5
85,25.5
86,21.5
87,19.5
88,14.5
89,25.5
90,21.5
91,19.5
92,14.5
93,25.5
94,21.5
95,19.5
96,14.5
97,25.5
98,21.5
99,19.5
100,14.5
101,25.5
102,21.5
103,19.5
104,13.5
105,25.5
106,21.5
107,19.5
108,13.5
109,25.5
110,21.5
111,19.5
112,13.5
113,25.5
114,21.5
115,19.5
116,13.5
117,25.5
118,21.5
119,19.5
120,13.5
121,25.5
122,21.5
123,19.5
124,12.5
125,25.5
126,21.5
127,19.5
128,12.5
129,25.5
130,21.5
131,19.5
132,12.5
133,25.5
134,21.5
135,19.5
136,12.5
137,25.5
138,21.5
139,19.5
140,12.5
141,25.5
142,21.5
143,19.5
144,12.5
145,25.5
146,21.5
147,19.5
148,12.5
149,25.5
150,21.5
151,19.5
152,12.5
153,25.5
154,21.5
155,19.5
156,12.5
157,25.5
158,21.5
159,19.5
160,12.5
161,25.5
162,21.5
163,19.5
164,12.5
165,25.5
166,21.5
167,19.5
168,12.5
169,25.5
170,21.5
171,19.5
172,12.5
173,25.5
174,21.5
175,19.5
176,12.0
177,25.5
178,21.5
179,19.5
180,12.0
181,25.5
182,21.5
183,19.5
184,12.0
185,25.5
186,21.5
187,19.5
188,12.0
189,25.5
190,21.5
191,19.5
192,12.0
193,25.5
194,21.5
195,19.5
196,12.5
197,25.5
198,21.5
199,19.5
200,12.5
201,25.5
202,21.5
203,19.5
204,12.5
205,25.5
206,21.5
207,19.5
208,12.5
209,25.5
210,21.5
211,19.5
212,12.5
213,25.5
214,21.5
215,19.5
216,13.5
217,25.5
218,21.5
219,19.5
220,13.5
221,25.5
222,21.5
223,19.5
224,13.5
225,25.5
226,21.5
227,19.5
228,13.5
229,25.5
230,21.5
231,19.5
232,14.5
233,25.5
234,21.5
235,19.5
236,14.5
237,25.5
238,21.5
239,19.5
240,14.5
241,25.5
242,21.5
243,19.5
244,15.5
245,25.5
246,21.5
247,19.5
248,15.5
249,25.5
250,21.5
251,19.5
252,15.5
253,26.0
254,21.5
255,19.5
256,15.5
257,26.0
258,21.5
259,19.5
260,15.5
261,26.0
262,21.5
263,19.5
264,15.5
265,26.0
266,21.5
267,19.5
268,15.5
269,26.0
270,21.5
271,19.5
272,15.5
273,26.0
274,21.5
275,19.5
276,15.5
277,26.0
278,21.5
279,19.5
280,15.5
281,26.0
282,21.5
283,19.5
284,15.5
285,26.0
286,21.5
287,19.5
288,15.5
289,26.0
290,21.5
291,19.5
292,15.5
293,26.0
294,21.5
295,19.5
296,15.5
297,26.0
298,21.5
299,19.5
300,15.5
301,26.0
302,21.5
303,19.5
304,15.5
305,26.0
306,21.5
307,19.5
308,15.5
309,26.0
310,21.5
311,19.5
312,15.5
313,26.0
314,21.5
315,19.5
316,15.5
317,26.0
318,21.5
319,19.5
320,14.0
321,26.0
322,21.5
323,19.5
324,14.0
325,26.0
326,21.5
327,19.5
328,14.0
329,26.0
330,21.5
331,19.5
332,14.0
333,26.0
334,21.5
335,19.5
336,14.0
337,25.5
338,20.5
339,19.5
340,14.0
341,25.5
342,20.5
343,19.5
344,14.0
345,25.5
346,20.5
347,19.5
348,14.0
349,25.5
350,20.5
351,19.5
352,14.0
353,25.5
354,20.5
355,19.5
356,14.0
357,25.5
