ID,平均价
0,7.5
1,7.5
2,7.5
3,6.75
4,6.75
5,6.75
6,6.75
7,6.75
8,6.75
9,6.75
10,6.75
11,6.75
12,6.75
13,6.75
14,6.75
15,6.75
16,6.75
17,7.0
18,6.5
19,6.5
20,6.5
21,6.25
22,6.25
23,5.5
24,6.75
25,7.0
26,7.0
27,6.75
28,6.25
29,5.0
30,5.5
31,4.75
32,4.75
33,4.5
34,5.25
35,5.25
36,4.25
37,4.25
38,4.25
39,3.75
40,3.75
41,2.25
42,2.25
43,2.75
44,2.75
45,3.0
46,2.75
47,3.25
48,3.25
49,3.0
50,2.75
51,2.75
52,2.75
53,2.75
54,2.25
55,2.25
56,2.25
57,2.25
58,2.25
59,2.25
60,2.25
61,2.25
62,2.25
63,2.25
64,2.25
65,2.25
66,2.0
67,2.0
68,2.0
69,2.75
70,2.75
71,2.75
72,2.0
73,2.5
74,2.5
75,2.5
76,4.25
77,4.25
78,4.0
79,2.75
80,2.75
81,2.75
82,2.15
83,1.75
84,2.25
85,2.25
86,2.75
87,3.25
88,3.25
89,3.25
90,3.5
91,3.5
92,2.75
93,2.75
94,2.75
95,2.75
96,2.75
97,2.25
98,2.25
99,3.0
100,2.75
101,3.75
102,4.75
103,4.75
104,4.75
105,4.75
106,4.75
107,10.5
108,7.5
109,5.25
110,4.75
111,2.75
112,2.4
113,2.4
114,2.75
115,2.05
116,2.2
117,4.75
118,4.25
119,3.75
120,4.25
121,4.25
122,1.75
123,1.75
124,2.25
125,1.75
126,1.75
127,1.75
128,2.0
129,2.0
130,1.75
131,1.75
132,1.75
133,1.75
134,2.25
135,2.25
136,2.25
137,2.25
138,2.25
139,2.25
140,1.25
141,2.25
142,1.75
143,2.25
144,2.25
145,2.25
146,3.25
147,3.5
148,3.0
149,3.0
150,3.0
151,3.75
152,4.0
153,2.25
154,2.4
155,2.4
156,2.4
157,2.5
158,2.75
159,2.75
160,2.5
161,2.5
162,2.5
163,2.5
164,2.25
165,1.65
166,1.65
167,1.75
168,2.0
169,2.5
170,2.75
171,3.25
172,3.25
173,3.5
174,3.25
175,3.25
176,4.0
177,4.5
178,4.5
179,4.0
180,4.0
181,4.0
182,3.75
183,4.0
184,3.25
185,3.25
186,4.0
187,5.5
188,5.5
189,6.25
190,6.25
191,6.25
192,5.5
193,5.5
194,5.0
195,3.75
196,3.75
197,4.0
198,4.0
199,3.0
200,3.25
201,3.75
202,5.25
203,5.5
204,5.0
205,5.0
206,4.25
207,4.25
208,4.75
209,4.25
210,5.0
211,4.5
212,5.0
213,5.0
214,5.0
215,6.25
216,7.25
217,8.5
218,7.5
219,9.0
220,9.0
221,9.0
222,9.0
223,8.5
224,8.5
225,9.0
226,8.5
227,9.0
228,8.5
229,9.5
230,10.0
231,10.0
232,10.0
233,9.5
234,9.25
235,9.25
236,9.25
237,9.25
238,8.5
239,9.25
240,9.25
241,9.25
242,10.5
243,9.25
244,9.5
245,9.5
246,8.5
247,8.5
248,7.5
249,7.5
250,8.5
251,8.0
252,10.5
253,10.5
254,10.5
255,10.5
256,10.5
257,8.5
258,8.5
259,562.7962646484375
260,565.017578125
261,567.23876953125
262,569.4600830078125
263,571.6812744140625
264,573.902587890625
265,576.1238403320312
