ID,平均价
0,32.5
1,32.5
2,32.5
3,32.5
4,32.5
5,32.5
6,32.5
7,32.5
8,32.5
9,32.5
10,32.5
11,32.5
12,32.5
13,32.5
14,32.5
15,32.5
16,32.5
17,32.5
18,32.5
19,32.5
20,32.5
21,32.5
22,32.5
23,32.5
24,32.5
25,32.5
26,33.0
27,33.0
28,33.5
29,33.5
30,33.5
31,33.5
32,33.5
33,33.5
34,33.5
35,33.5
36,33.5
37,33.5
38,33.5
39,33.5
40,33.5
41,33.5
42,33.5
43,33.5
44,32.5
45,32.5
46,32.5
47,31.5
48,31.5
49,30.5
50,30.5
51,30.5
52,30.5
53,30.5
54,30.5
55,30.5
56,30.5
57,30.5
58,30.5
59,30.5
60,30.5
61,30.5
62,30.5
63,29.5
64,29.5
65,28.5
66,28.5
67,28.5
68,28.5
69,28.5
70,28.5
71,28.5
72,28.5
73,28.5
74,28.5
75,28.0
76,28.0
77,28.0
78,28.0
79,28.0
80,28.0
81,28.0
82,28.0
83,29.0
84,29.0
85,30.0
86,30.0
87,30.0
88,30.0
89,30.0
90,30.0
91,30.0
92,30.0
93,30.5
94,30.5
95,30.5
96,30.5
97,30.5
98,30.0
99,30.0
100,30.0
101,30.0
102,30.0
103,30.0
104,30.0
105,30.0
106,29.5
107,29.5
108,29.5
109,29.5
110,29.5
111,29.5
112,29.5
113,29.5
114,29.5
115,29.5
116,29.5
117,29.5
118,30.5
119,30.5
120,30.5
121,30.5
122,30.5
123,30.5
124,30.5
125,30.5
126,30.5
127,30.5
128,30.5
129,30.5
130,30.5
131,31.5
132,31.5
133,31.5
134,31.5
135,31.5
136,31.5
137,31.5
138,31.5
139,31.5
140,31.5
141,31.5
142,31.5
143,31.5
144,31.5
145,31.5
146,31.5
147,31.5
148,31.5
149,31.5
150,31.5
151,30.5
152,30.5
153,30.5
154,30.5
155,30.5
156,30.5
157,30.5
158,30.5
159,30.5
160,30.5
161,30.5
162,30.5
163,30.5
164,30.5
165,30.5
166,30.5
167,30.5
168,30.5
169,30.5
170,30.5
171,30.5
172,30.5
173,30.5
174,30.5
175,30.5
176,30.5
177,31.5
178,31.5
179,31.5
180,31.5
181,32.0
182,32.5
183,32.5
184,32.5
185,32.5
186,32.5
187,32.5
188,32.5
189,32.5
190,32.5
191,32.5
192,32.5
193,32.5
194,32.5
195,32.5
196,32.5
197,32.5
198,32.5
199,32.5
200,32.5
201,32.5
202,32.5
203,33.0
204,33.0
205,33.0
206,33.0
207,33.0
208,33.0
209,33.0
210,33.0
211,33.0
212,33.0
213,33.0
214,33.0
215,33.0
216,33.0
217,33.5
218,33.0
219,33.5
220,33.5
221,33.5
222,33.5
223,33.5
224,33.5
225,33.5
226,33.5
227,33.5
228,33.5
229,34.0
230,34.0
231,34.0
232,34.0
233,34.0
234,34.5
235,34.5
236,34.5
237,34.5
238,34.5
239,34.5
240,34.5
241,34.5
242,34.5
243,34.5
244,34.5
245,34.5
246,34.5
247,34.5
248,35.0
249,35.0
250,35.0
251,35.0
252,35.0
253,35.0
254,35.0
255,35.0
256,35.0
257,35.0
258,35.0
259,34.5
260,34.0
261,34.0
262,34.0
263,34.0
264,34.0
265,34.5
266,34.5
267,34.5
268,34.5
269,34.5
270,34.5
271,34.5
272,34.5
273,34.5
274,34.5
275,35.5
276,35.5
277,35.5
278,35.5
279,35.5
280,36.0
281,36.0
282,36.0
283,36.0
284,36.0
285,36.0
286,36.0
287,36.0
288,36.0
289,36.0
290,36.0
291,36.0
292,36.0
293,36.0
294,36.0
295,36.0
296,36.0
297,36.5
298,37.0
299,37.0
300,37.0
301,37.0
302,37.0
303,37.0
304,37.0
305,37.0
306,37.0
307,37.5
308,37.5
309,37.5
310,38.0
311,38.0
312,38.0
313,38.0
314,38.0
315,35.5
316,35.5
317,35.5
318,35.5
319,35.5
320,35.5
321,35.5
322,35.5
323,35.5
324,35.5
325,35.5
326,35.5
327,35.5
328,35.5
329,35.5
330,35.5
331,35.5
332,35.5
333,35.5
334,35.5
335,35.5
336,35.5
337,35.5
338,35.5
339,34.5
340,33.5
341,33.5
342,33.5
343,34.0
344,34.0
345,34.0
346,33.5
347,33.5
348,32.0
349,32.0
350,31.0
351,31.0
352,31.0
353,31.0
354,31.0
355,31.0
356,31.0
357,31.0
358,31.0
359,31.5
360,147.11595153808594
361,147.46432495117188
362,147.81268310546875
363,148.1610565185547
364,148.50938415527344
365,148.85777282714844
366,149.20616149902344
