ID,平均价
0,6.0
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,6.0
10,5.85
11,4.5
12,4.5
13,4.5
14,4.0
15,3.75
16,3.75
17,3.75
18,3.75
19,3.75
20,3.25
21,3.25
22,3.25
23,3.25
24,3.25
25,3.25
26,3.25
27,5.5
28,5.5
29,5.5
30,5.5
31,5.5
32,5.5
33,5.5
34,7.5
35,7.5
36,7.5
37,7.5
38,7.5
39,7.5
40,7.5
41,7.5
42,9.0
43,9.0
44,9.0
45,9.0
46,9.0
47,9.0
48,7.5
49,7.5
50,7.5
51,7.5
52,7.5
53,7.5
54,7.5
55,7.5
56,7.5
57,7.5
58,7.5
59,7.5
60,7.5
61,7.75
62,7.75
63,7.75
64,7.75
65,7.75
66,5.5
67,5.5
68,5.5
69,5.5
70,5.5
71,5.0
72,6.0
73,4.0
74,5.0
75,5.0
76,5.0
77,5.0
78,6.25
79,7.0
80,6.5
81,5.5
82,5.5
83,5.75
84,5.75
85,6.5
86,6.5
87,6.0
88,6.0
89,4.75
90,4.75
91,4.75
92,4.75
93,4.75
94,4.75
95,5.5
96,5.5
97,5.5
98,5.25
99,5.0
100,3.75
101,3.75
102,5.0
103,5.4
104,5.0
105,5.0
106,5.0
107,5.0
108,5.0
109,5.0
110,4.75
111,4.75
112,4.0
113,4.0
114,4.0
115,4.75
116,5.0
117,5.0
118,5.5
119,4.25
120,4.75
121,5.0
122,4.25
123,4.5
124,4.5
125,5.0
126,5.0
127,5.0
128,6.0
129,5.5
130,5.5
131,5.5
132,5.5
133,5.5
134,5.5
135,5.5
136,5.5
137,5.5
138,6.0
139,6.0
140,6.0
141,6.0
142,5.0
143,-50.07256317138672
144,-50.4818115234375
145,-50.891056060791016
146,-51.300315856933594
147,-51.70955276489258
148,-52.118812561035156
149,-52.528045654296875
