ID,平均价
0,16.0
1,16.0
2,16.0
3,16.0
4,16.0
5,16.0
6,16.0
7,16.0
8,16.0
9,16.0
10,16.0
11,16.0
12,16.0
13,14.0
14,14.0
15,14.0
16,14.0
17,14.0
18,16.5
19,16.5
20,16.5
21,16.5
22,16.5
23,16.5
24,16.5
25,16.5
26,16.5
27,16.5
28,18.0
29,18.0
30,18.0
31,18.0
32,18.0
33,18.0
34,18.0
35,18.0
36,18.0
37,18.0
38,18.0
39,18.0
40,18.0
41,18.0
42,18.0
43,18.0
44,18.0
45,18.0
46,18.0
47,18.0
48,18.0
49,18.0
50,18.0
51,18.0
52,18.0
53,18.0
54,18.0
55,18.0
56,18.0
57,18.0
58,18.0
59,18.0
60,18.0
61,18.0
62,18.0
63,18.0
64,18.0
65,18.0
66,18.0
67,18.0
68,18.0
69,18.0
70,18.0
71,18.0
72,18.0
73,18.0
74,18.0
75,18.0
76,18.0
77,18.0
78,18.0
79,18.0
80,18.0
81,18.0
82,18.0
83,18.0
84,18.0
85,18.0
86,18.0
87,18.0
88,18.0
89,18.0
90,18.0
91,18.0
92,18.0
93,18.0
94,18.0
95,18.0
96,18.0
97,18.0
98,18.0
99,18.0
100,18.0
101,18.0
102,18.0
103,18.0
104,18.0
105,18.0
106,18.0
107,18.0
108,18.0
109,18.0
110,18.0
111,18.0
112,18.0
113,18.0
114,18.0
115,18.0
116,18.0
117,18.0
118,18.0
119,18.0
120,18.0
121,18.0
122,18.0
123,18.0
124,18.0
125,18.0
126,18.0
127,18.0
128,18.0
129,18.0
130,18.0
131,18.0
132,18.0
133,18.0
134,18.0
135,18.0
136,18.0
137,18.0
138,18.0
139,18.0
140,18.0
141,19.0
142,19.0
143,19.0
144,19.0
145,19.0
146,19.0
147,19.0
148,19.0
149,19.0
150,19.0
151,19.0
152,19.0
153,19.0
154,19.0
155,19.0
156,19.0
157,19.0
158,19.0
159,19.0
160,19.0
161,19.0
162,19.0
163,19.0
164,19.0
165,19.0
166,18.5
167,18.5
168,18.5
169,18.5
170,18.5
171,18.5
172,18.5
173,18.5
174,18.5
175,18.5
176,18.5
177,18.5
178,18.0
179,18.0
180,18.0
181,18.0
182,18.0
183,17.0
184,17.0
185,17.5
186,17.5
187,17.5
188,17.5
189,17.5
190,17.5
191,17.0
192,17.0
193,17.0
194,17.5
195,17.0
196,17.0
197,17.0
198,17.0
199,17.0
200,17.5
201,17.5
202,17.5
203,17.0
204,17.0
205,19.0
206,19.0
207,19.0
208,19.0
209,19.0
210,19.0
211,19.0
212,16.0
213,16.0
214,16.0
215,16.0
216,16.0
217,16.0
218,16.0
219,16.0
220,16.0
221,16.0
222,16.0
223,16.0
224,16.0
225,16.0
226,16.0
227,16.0
228,16.0
229,16.0
230,16.0
231,16.0
232,16.0
233,16.0
234,16.0
235,16.0
236,16.0
237,16.0
238,16.0
239,16.0
240,16.0
241,16.0
242,16.0
243,16.0
244,16.0
245,16.0
246,16.0
247,13.5
248,13.5
249,13.5
250,13.5
251,13.5
252,13.5
253,13.5
254,13.5
255,13.5
256,13.5
257,13.5
258,13.5
259,13.5
260,13.5
261,13.5
262,13.5
263,13.5
264,13.5
265,13.5
266,13.5
267,13.5
268,13.5
269,13.5
270,13.5
271,13.5
272,13.5
273,13.5
274,13.5
275,13.5
276,13.5
277,13.5
278,15.5
279,15.5
280,15.5
281,15.5
282,15.5
283,15.5
284,15.5
285,15.5
286,15.5
287,15.5
288,15.5
289,15.5
290,15.5
291,15.5
292,15.5
293,15.5
294,14.5
295,14.5
296,14.5
297,14.5
298,14.5
299,14.5
300,14.5
301,14.5
302,14.5
303,14.5
304,14.5
305,14.5
306,14.5
307,14.5
308,14.5
309,14.5
310,-34.5856819152832
311,-34.75188064575195
312,-34.9180793762207
313,-35.08428192138672
314,-35.2504997253418
315,-35.41670227050781
316,-35.58291244506836
