ID,平均价
0,3.5
1,3.5
2,3.3
3,3.3
4,3.5
5,3.5
6,3.5
7,3.5
8,3.5
9,3.5
10,3.5
11,3.5
12,3.75
13,3.75
14,3.75
15,3.25
16,2.4
17,2.4
18,2.4
19,2.4
20,2.2
21,2.2
22,2.2
23,2.5
24,2.35
25,2.6
26,2.75
27,2.75
28,2.55
29,2.25
30,2.25
31,2.25
32,2.05
33,2.05
34,2.1
35,1.95
36,1.75
37,1.95
38,2.4
39,1.25
40,1.35
41,1.25
42,1.25
43,1.75
44,1.5
45,1.75
46,2.0
47,2.0
48,2.25
49,2.5
50,2.15
51,2.15
52,2.15
53,2.15
54,2.5
55,2.75
56,2.75
57,2.75
58,3.0
59,3.0
60,3.0
61,3.25
62,3.25
63,3.25
64,3.25
65,3.25
66,3.25
67,3.25
68,3.25
69,3.25
70,3.25
71,2.75
72,2.75
73,2.5
74,2.5
75,2.5
76,2.5
77,2.5
78,2.9
79,3.0
80,3.0
81,3.0
82,2.5
83,2.75
84,3.15
85,3.25
86,3.75
87,3.5
88,3.5
89,3.75
90,4.25
91,4.25
92,4.5
93,4.5
94,4.5
95,4.5
96,4.5
97,4.5
98,4.5
99,4.25
100,4.25
101,4.25
102,3.75
103,3.75
104,3.5
105,3.25
106,3.25
107,4.5
108,4.5
109,2.5
110,4.25
111,5.5
112,2.65
113,2.65
114,3.25
115,2.65
116,3.5
117,4.25
118,3.25
119,3.75
120,3.75
121,4.25
122,4.25
123,4.75
124,5.15
125,4.0
126,3.75
127,3.75
128,4.25
129,4.25
130,4.25
131,4.25
132,3.75
133,3.75
134,3.75
135,3.75
136,3.75
137,3.25
138,3.25
139,4.25
140,4.25
141,4.25
142,4.25
143,4.25
144,4.25
145,4.75
146,4.75
147,4.75
148,4.75
149,4.75
150,3.75
151,3.75
152,3.75
153,3.25
154,3.25
155,3.25
156,3.25
157,3.4
158,2.5
159,2.5
160,3.0
161,3.0
162,3.0
163,3.0
164,2.75
165,2.75
166,2.5
167,2.5
168,2.75
169,2.75
170,3.0
171,3.25
172,2.9
173,3.0
174,3.25
175,3.75
176,3.75
177,3.25
178,3.5
179,3.25
180,3.25
181,3.25
182,3.25
183,3.5
184,2.25
185,2.25
186,2.25
187,2.25
188,2.15
189,2.0
190,1.5
191,1.65
192,1.55
193,1.55
194,1.55
195,1.6
196,1.6
197,1.6
198,1.35
199,2.0
200,1.75
201,2.15
202,2.25
203,2.15
204,2.4
205,2.5
206,2.65
207,2.55
208,2.75
209,2.75
210,2.75
211,2.75
212,2.75
213,3.15
214,2.9
215,3.0
216,3.0
217,2.5
218,2.75
219,3.0
220,3.25
221,3.9
222,2.75
223,2.5
224,3.0
225,3.0
226,2.75
227,2.75
228,2.75
229,2.25
230,2.25
231,2.25
232,2.0
233,1.75
234,2.0
235,2.0
236,2.0
237,1.75
238,1.35
239,1.35
240,1.85
241,1.85
242,2.75
243,2.15
244,3.5
245,3.5
246,2.5
247,2.15
248,2.25
249,2.15
250,1.85
251,1.85
252,2.25
253,2.25
254,2.25
255,2.25
256,2.05
257,1.75
258,1.5
259,-80.79314422607422
260,-81.12027740478516
261,-81.44740295410156
262,-81.77454376220703
263,-82.10169219970703
264,-82.4288330078125
265,-82.75596618652344
