ID,平均价
0,4.5
1,3.5
2,4.5
3,3.5
4,4.5
5,3.5
6,4.5
7,3.5
8,4.5
9,3.5
10,4.5
11,3.5
12,4.5
13,3.5
14,4.5
15,3.5
16,4.5
17,3.5
18,4.5
19,3.5
20,4.5
21,3.5
22,4.5
23,3.5
24,4.5
25,3.5
26,4.5
27,3.5
28,4.5
29,3.5
30,4.5
31,3.5
32,4.5
33,3.5
34,4.5
35,3.5
36,4.5
37,3.5
38,4.5
39,3.5
40,4.5
41,3.5
42,4.5
43,3.5
44,4.5
45,3.5
46,4.5
47,3.5
48,4.5
49,3.5
50,4.5
51,3.5
52,4.5
53,3.5
54,4.5
55,3.5
56,4.5
57,3.5
58,4.5
59,3.5
60,4.5
61,3.5
62,4.5
63,3.5
64,4.5
65,3.5
66,4.5
67,3.5
68,4.5
69,3.5
70,4.5
71,3.5
72,4.5
73,3.5
74,4.5
75,3.5
76,4.5
77,3.5
78,4.5
79,3.5
80,4.5
81,3.5
82,4.5
83,3.5
84,4.5
85,3.5
86,4.5
87,3.5
88,4.5
89,3.5
90,4.5
91,3.5
92,4.5
93,3.5
94,4.5
95,3.5
96,4.5
97,3.5
98,4.5
99,3.5
100,4.5
101,3.5
102,4.5
103,3.5
104,4.5
105,3.5
106,4.5
107,3.5
108,4.5
109,3.5
110,4.5
111,3.5
112,4.5
113,3.5
114,4.5
115,3.5
116,4.5
117,3.5
118,4.5
119,3.5
120,4.5
121,3.5
122,4.5
123,3.5
124,4.5
125,3.5
126,4.5
127,3.5
128,4.5
129,3.5
130,4.5
131,3.5
132,4.5
133,3.5
134,4.5
135,3.5
136,4.5
137,3.5
138,4.5
139,3.5
140,4.5
141,3.5
142,4.5
143,3.5
144,4.5
145,3.5
146,4.5
147,3.5
148,4.5
149,3.5
150,4.5
151,3.5
152,4.5
153,3.5
154,4.5
155,3.5
156,4.5
157,3.5
158,4.5
159,3.5
160,4.5
161,3.5
162,4.5
163,3.5
164,4.5
165,3.5
166,4.5
167,3.5
168,4.5
169,3.5
170,4.5
171,3.5
172,4.5
173,3.5
174,4.5
175,3.75
176,4.5
177,3.75
178,4.5
179,3.75
180,4.5
181,3.75
182,4.5
183,3.75
184,4.5
185,3.75
186,4.5
187,3.75
188,4.5
189,3.75
190,4.5
191,3.75
192,4.5
193,4.0
194,4.5
195,4.0
196,4.5
197,4.0
198,4.5
199,4.0
200,4.5
201,4.0
202,4.5
203,4.0
204,4.5
205,4.0
206,4.5
207,4.0
208,4.5
209,4.0
210,4.5
211,4.0
212,4.5
213,4.0
214,4.5
215,4.0
216,4.5
217,4.0
218,4.5
219,4.0
220,4.5
221,4.0
222,4.5
223,4.0
224,4.5
225,4.0
226,4.5
227,4.0
228,4.5
229,4.0
230,4.5
231,4.0
232,4.5
233,4.0
234,4.5
235,4.0
236,4.5
237,4.0
238,4.5
239,4.0
240,4.5
241,4.0
242,4.5
243,4.0
244,4.5
245,4.0
246,4.5
247,4.0
248,4.5
249,4.0
250,4.5
251,4.0
252,4.5
253,4.0
254,4.5
255,4.0
256,4.5
257,4.0
258,4.5
259,4.0
260,4.5
261,4.0
262,4.5
263,4.0
264,4.5
265,4.0
266,4.5
267,4.0
268,4.5
269,4.0
270,4.5
271,4.0
272,4.5
273,4.0
274,4.5
275,4.0
276,4.5
277,4.0
278,4.5
279,4.0
280,4.5
281,4.0
282,4.5
283,4.0
284,4.5
285,4.0
286,4.5
287,4.0
288,4.5
289,4.0
290,4.5
291,4.0
292,4.5
293,4.0
294,4.5
295,4.0
296,4.5
297,4.0
298,4.5
299,4.0
300,4.5
301,4.0
302,4.5
303,4.0
304,4.5
305,4.0
306,4.5
307,4.0
308,4.5
309,4.0
310,4.5
311,4.0
312,4.5
313,4.0
314,4.5
315,4.0
316,4.5
317,4.0
318,4.5
319,4.0
320,4.5
321,4.0
322,4.5
323,4.0
324,4.5
325,4.0
326,4.5
327,4.0
328,4.5
329,4.0
330,4.5
331,4.0
332,4.5
333,4.0
334,4.5
335,4.0
336,4.5
337,4.0
338,4.5
339,4.0
340,4.5
341,4.0
342,4.5
343,4.0
344,4.5
345,4.0
346,4.5
347,4.0
348,4.5
