ID,平均价
0,6.25
1,6.25
2,6.25
3,6.25
4,6.25
5,6.25
6,6.25
7,6.25
8,6.25
9,6.25
10,6.25
11,6.25
12,6.25
13,6.25
14,6.25
15,6.25
16,6.25
17,6.25
18,6.25
19,6.25
20,6.25
21,6.4
22,6.4
23,6.4
24,6.4
25,6.4
26,6.4
27,6.4
28,6.4
29,6.4
30,6.4
31,6.4
32,6.4
33,6.4
34,6.4
35,6.4
36,6.4
37,6.4
38,6.4
39,6.4
40,6.4
41,6.4
42,6.4
43,6.4
44,6.4
45,6.4
46,6.4
47,6.4
48,6.4
49,6.4
50,6.4
51,6.4
52,6.4
53,6.4
54,6.4
55,6.4
56,6.4
57,6.4
58,6.4
59,6.4
60,6.4
61,6.4
62,6.4
63,6.4
64,6.4
65,6.4
66,6.4
67,6.4
68,6.4
69,6.65
70,6.65
71,6.65
72,6.65
73,6.65
74,6.65
75,6.65
76,6.65
77,6.65
78,6.65
79,6.65
80,6.65
81,6.65
82,6.65
83,6.65
84,6.65
85,6.65
86,6.75
87,6.75
88,6.75
89,6.75
90,7.0
91,7.0
92,7.0
93,7.0
94,6.75
95,6.75
96,6.75
97,6.75
98,6.75
99,6.75
100,6.75
101,6.75
102,6.75
103,6.75
104,6.75
105,6.75
106,6.75
107,6.75
108,6.75
109,6.75
110,6.75
111,6.75
112,6.75
113,6.75
114,6.75
115,6.75
116,6.75
117,6.75
118,6.75
119,6.75
120,6.75
121,6.75
122,6.75
123,6.75
124,6.75
125,6.75
126,6.75
127,6.75
128,6.75
129,6.75
130,6.75
131,6.75
132,6.75
133,6.75
134,6.75
135,6.75
136,6.75
137,6.75
138,6.75
139,6.75
140,6.75
141,6.75
142,6.75
143,6.75
144,6.75
145,6.75
146,6.75
147,6.75
148,6.75
149,6.75
150,6.75
151,6.75
152,6.75
153,6.75
154,6.65
155,6.65
156,6.65
157,6.65
158,6.65
159,6.65
160,6.65
161,6.65
162,6.65
163,6.65
164,6.65
165,6.65
166,6.65
167,6.65
168,6.65
169,6.65
170,6.65
171,6.65
172,6.65
173,6.65
174,6.65
175,6.65
176,6.65
177,6.65
178,6.65
179,6.65
180,6.65
181,6.65
182,6.65
183,6.65
184,6.65
185,6.65
186,6.65
187,6.65
188,6.65
189,6.65
190,6.65
191,6.65
192,6.65
193,6.65
194,6.65
195,6.65
196,6.65
197,6.65
198,6.65
199,6.65
200,6.65
201,6.65
202,6.65
203,6.65
204,6.65
205,6.65
206,6.65
207,6.65
208,6.65
209,6.65
210,6.65
211,6.65
212,6.65
213,6.65
214,6.65
215,6.65
216,6.65
217,6.65
218,6.65
219,6.65
220,6.65
221,6.65
222,6.65
223,6.65
224,6.65
225,6.65
226,6.65
227,6.65
228,6.65
229,6.65
230,6.65
231,6.65
232,6.65
233,6.75
234,6.75
235,6.75
236,6.75
237,6.75
238,6.75
239,6.75
240,6.75
241,6.75
242,6.75
243,6.75
244,6.75
245,6.75
246,6.75
247,6.75
248,6.75
249,6.75
250,6.75
251,6.75
252,6.75
253,6.65
254,6.8
255,6.9
256,6.9
257,6.9
258,6.9
259,6.9
260,6.9
261,7.0
262,7.0
263,7.0
264,7.0
265,7.0
266,7.0
267,6.9
268,6.9
269,6.9
270,6.9
271,6.9
272,6.9
273,6.9
274,6.9
275,6.9
276,6.9
277,6.9
278,6.9
279,6.9
280,6.9
281,6.9
282,6.9
283,6.9
284,6.9
285,6.9
286,6.9
287,6.9
288,6.9
289,6.9
290,6.9
291,6.9
292,6.9
293,6.9
294,6.9
295,6.9
296,6.9
297,6.9
298,6.9
299,6.9
300,6.9
301,6.9
302,6.9
303,6.9
304,6.9
305,6.9
306,6.9
307,6.9
308,6.9
309,6.9
310,6.9
311,6.9
312,6.9
313,6.9
314,6.9
315,6.9
316,6.9
317,6.9
318,6.9
319,6.9
320,6.9
321,6.9
322,6.9
323,6.9
324,6.9
325,6.9
326,6.9
327,6.9
328,6.9
329,6.9
330,6.9
331,6.9
332,6.9
333,6.9
334,6.9
335,6.9
336,6.9
337,6.9
338,6.9
339,6.9
340,6.9
341,6.9
342,6.9
343,6.9
344,6.9
345,6.9
346,6.9
347,6.9
348,6.9
349,6.9
350,6.9
351,6.9
352,6.9
353,6.9
354,6.9
355,6.9
356,6.9
357,6.9
358,6.9
359,6.9
360,334.1731872558594
361,335.09991455078125
362,336.0267028808594
363,336.9534606933594
364,337.8802490234375
365,338.8070373535156
366,339.7337646484375
