ID,平均价
0,6.25
1,6.25
2,6.25
3,6.25
4,6.25
5,6.25
6,6.25
7,6.25
8,6.25
9,6.25
10,6.25
11,6.25
12,6.25
13,6.25
14,6.25
15,6.25
16,6.25
17,6.25
18,6.25
19,6.25
20,6.25
21,6.25
22,6.25
23,6.25
24,6.25
25,6.25
26,6.25
27,6.25
28,6.25
29,6.25
30,6.25
31,6.25
32,6.25
33,6.25
34,6.25
35,6.25
36,6.25
37,6.25
38,6.25
39,6.25
40,6.25
41,6.25
42,6.25
43,6.25
44,6.25
45,6.25
46,6.25
47,6.25
48,6.25
49,6.25
50,6.25
51,6.25
52,6.25
53,6.25
54,6.25
55,6.25
56,6.25
57,6.25
58,6.25
59,6.25
60,6.25
61,6.25
62,6.25
63,6.25
64,6.25
65,6.25
66,6.25
67,6.25
68,6.25
69,6.25
70,6.25
71,6.25
72,6.25
73,6.25
74,6.25
75,6.25
76,6.25
77,6.25
78,6.25
79,6.25
80,6.25
81,6.25
82,6.25
83,6.25
84,6.25
85,6.25
86,6.5
87,6.5
88,6.5
89,6.5
90,6.5
91,6.5
92,6.5
93,6.5
94,6.5
95,6.5
96,6.5
97,6.5
98,6.0
99,6.0
100,6.0
101,6.0
102,6.0
103,6.0
104,6.0
105,6.0
106,6.0
107,6.0
108,6.0
109,6.0
110,6.0
111,6.0
112,6.0
113,6.0
114,6.0
115,6.0
116,6.0
117,6.0
118,5.75
119,5.75
120,5.75
121,5.75
122,5.75
123,5.75
124,5.75
125,5.75
126,5.75
127,5.75
128,5.75
129,5.75
130,5.75
131,5.75
132,5.75
133,5.75
134,5.75
135,5.75
136,5.75
137,5.75
138,5.75
139,5.75
140,5.75
141,5.75
142,5.75
143,5.75
144,5.75
145,5.75
146,5.75
147,5.75
148,5.75
149,5.75
150,5.75
151,5.75
152,5.75
153,5.75
154,5.75
155,5.75
156,5.75
157,5.75
158,5.75
159,5.75
160,5.75
161,5.75
162,5.75
163,5.75
164,5.75
165,5.75
166,5.75
167,5.75
168,5.75
169,5.75
170,5.75
171,5.75
172,5.75
173,5.75
174,5.75
175,5.75
176,5.75
177,5.75
178,5.75
179,5.75
180,5.75
181,5.75
182,5.75
183,5.75
184,5.75
185,5.75
186,5.75
187,5.75
188,5.75
189,5.75
190,5.75
191,5.75
192,5.75
193,5.75
194,5.75
195,5.75
196,5.75
197,5.75
198,5.75
199,5.75
200,5.75
201,5.75
202,5.75
203,5.75
204,5.75
205,5.75
206,5.75
207,5.75
208,5.75
209,5.75
210,5.75
211,5.75
212,5.75
213,5.75
214,5.75
215,5.75
216,5.75
217,5.75
218,5.75
219,5.75
220,5.75
221,5.75
222,5.75
223,5.75
224,5.75
225,5.75
226,5.75
227,5.75
228,5.75
229,5.75
230,5.75
231,5.75
232,5.75
233,5.75
234,6.25
235,6.25
236,6.25
237,6.25
238,6.25
239,6.25
240,6.25
241,6.25
242,6.25
243,6.25
244,6.25
245,6.25
246,6.25
247,6.25
248,6.25
249,6.25
250,6.25
251,6.25
252,6.25
253,6.25
254,6.25
255,6.25
256,6.25
257,6.25
258,6.25
259,6.25
260,6.25
261,6.35
262,6.35
263,6.35
264,6.35
265,6.35
266,6.35
267,6.25
268,6.25
269,6.25
270,6.25
271,6.25
272,6.25
273,6.25
274,6.25
275,6.25
276,6.25
277,6.25
278,6.25
279,6.25
280,6.25
281,6.25
282,6.25
283,6.25
284,6.25
285,6.25
286,6.25
287,6.25
288,6.25
289,6.25
290,6.25
291,6.25
292,6.25
293,6.25
294,6.25
295,6.25
296,6.25
297,6.25
298,6.25
299,6.25
300,6.25
301,6.25
302,6.25
303,6.25
304,6.25
305,6.25
306,6.25
307,6.25
308,6.15
309,6.15
310,6.15
311,6.15
312,6.15
313,6.15
314,6.15
315,6.15
316,6.15
317,6.15
318,6.15
319,6.15
320,6.15
321,6.15
322,6.15
323,6.15
324,6.15
325,6.15
326,6.15
327,6.15
328,6.15
329,6.15
330,6.15
331,6.15
332,6.0
333,6.0
334,6.0
335,6.0
336,6.0
337,6.0
338,6.0
339,6.0
340,6.0
341,6.0
342,6.0
343,6.0
344,6.0
345,6.0
346,6.0
347,6.0
348,6.0
349,6.0
350,6.0
351,6.0
352,6.0
353,6.0
354,6.0
355,6.0
356,6.0
357,6.0
358,6.0
359,6.0
360,-48.45353698730469
361,-48.60697937011719
362,-48.76042556762695
363,-48.91387176513672
364,-49.06731414794922
365,-49.22076416015625
366,-49.37421417236328
