ID,平均价
0,19.0
1,19.0
2,18.5
3,18.5
4,18.5
5,18.5
6,18.5
7,18.5
8,18.5
9,18.5
10,18.5
11,18.5
12,18.5
13,18.5
14,18.5
15,18.5
16,18.5
17,18.5
18,18.5
19,18.5
20,18.5
21,18.5
22,18.5
23,18.5
24,18.5
25,18.0
26,18.0
27,18.0
28,18.0
29,18.0
30,18.0
31,18.0
32,18.0
33,18.0
34,18.0
35,18.0
36,18.0
37,18.0
38,18.0
39,18.5
40,18.5
41,18.5
42,18.5
43,18.5
44,18.5
45,18.5
46,18.5
47,19.0
48,19.0
49,19.0
50,19.0
51,19.0
52,19.0
53,19.0
54,19.0
55,19.0
56,19.0
57,19.0
58,19.0
59,19.0
60,19.0
61,19.0
62,19.0
63,19.0
64,19.0
65,19.0
66,19.0
67,18.5
68,18.5
69,18.5
70,18.5
71,18.5
72,18.5
73,18.5
74,18.5
75,18.5
76,18.5
77,18.5
78,19.0
79,19.0
80,19.0
81,19.0
82,19.0
83,19.0
84,19.0
85,19.0
86,19.5
87,19.5
88,19.5
89,19.5
90,19.5
91,19.5
92,19.5
93,19.5
94,19.5
95,19.5
96,19.5
97,19.5
98,19.0
99,19.0
100,19.0
101,19.0
102,19.0
103,19.0
104,19.0
105,19.0
106,17.75
107,17.75
108,17.75
109,17.75
110,17.75
111,17.75
112,17.75
113,17.75
114,17.75
115,17.75
116,17.75
117,17.75
118,17.75
119,17.5
120,17.5
121,17.5
122,17.5
123,17.5
124,17.5
125,17.5
126,17.5
127,17.5
128,17.0
129,17.0
130,17.0
131,17.0
132,17.0
133,17.0
134,17.0
135,17.5
136,17.5
137,17.5
138,17.5
139,17.5
140,17.75
141,17.75
142,17.75
143,17.75
144,17.5
145,17.5
146,17.5
147,17.5
148,16.0
149,16.0
150,16.0
151,16.0
152,15.0
153,15.0
154,15.0
155,15.0
156,15.0
157,15.0
158,15.0
159,15.0
160,15.0
161,15.0
162,15.0
163,15.0
164,15.0
165,15.0
166,17.0
167,17.0
168,17.75
169,17.75
170,17.75
171,17.75
172,17.75
173,17.75
174,17.75
175,17.75
176,17.75
177,17.75
178,17.75
179,17.75
180,17.5
181,17.5
182,17.5
183,17.5
184,17.5
185,18.25
186,18.25
187,18.25
188,18.25
189,18.25
190,18.25
191,18.25
192,18.25
193,18.25
194,18.25
195,18.25
196,18.25
197,18.25
198,18.25
199,18.25
200,18.25
201,18.25
202,18.25
203,18.25
204,18.25
205,18.25
206,18.25
207,18.25
208,18.25
209,18.25
210,18.25
211,18.25
212,18.25
213,18.25
214,18.25
215,18.25
216,18.25
217,18.25
218,18.25
219,18.25
220,18.25
221,18.25
222,18.25
223,18.25
224,18.25
225,18.25
226,18.25
227,18.25
228,18.25
229,18.25
230,18.25
231,18.25
232,18.25
233,18.25
234,18.25
235,18.25
236,18.25
237,18.25
238,18.25
239,18.5
240,18.5
241,18.5
242,18.5
243,18.5
244,18.5
245,18.5
246,18.5
247,18.15
248,18.15
249,18.15
250,18.15
251,18.15
252,18.15
253,18.5
254,18.5
255,18.5
256,18.5
257,18.5
258,18.5
259,18.5
260,19.0
261,19.0
262,19.0
263,19.0
264,19.0
265,19.0
266,19.0
267,19.0
268,19.0
269,19.0
270,19.0
271,19.0
272,19.0
273,19.0
274,19.0
275,19.0
276,19.0
277,19.0
278,19.0
279,19.0
280,19.0
281,19.0
282,19.0
283,19.0
284,19.0
285,19.0
286,19.0
287,19.0
288,19.0
289,19.0
290,19.0
291,19.0
292,19.0
293,19.0
294,19.0
295,19.0
296,19.0
297,19.0
298,18.5
299,18.5
300,18.5
301,18.5
302,18.5
303,18.5
304,18.0
305,18.0
306,18.0
307,18.0
308,18.0
309,18.0
310,18.0
311,18.0
312,18.0
313,18.0
314,18.0
315,18.0
316,18.0
317,18.0
318,18.0
319,18.0
320,18.0
321,18.0
322,18.0
323,18.0
324,18.0
325,18.0
326,18.0
327,18.0
328,18.0
329,18.0
330,17.75
331,17.75
332,17.75
333,17.75
334,17.75
335,17.75
336,17.75
337,17.75
338,17.75
339,17.75
340,17.75
341,17.75
342,17.75
343,17.75
344,17.75
345,17.75
346,17.75
347,17.75
348,18.0
349,19.0
350,19.0
351,19.0
352,19.0
353,19.0
354,19.0
355,19.0
356,19.0
357,19.0
358,19.0
359,19.0
360,-300.837158203125
361,-301.768310546875
362,-302.69952392578125
363,-303.6307067871094
364,-304.5617980957031
365,-305.49298095703125
366,-306.4241638183594
