数据集名称,所使用数据量条数,平均绝对误差,均方根误差,决定系数
三文鱼肉,193,0.0,0.0,1.0
东北大米,26,0.0,0.0,1.0
东北盘锦大米,26,8.881784197001252e-16,8.881784197001252e-16,0.0
东北长粒香米,26,4.099285014000578e-16,6.033984161095752e-16,1.0
乌鸡蛋,353,6.743110948431545e-16,1.3370814313428909e-15,1.0
乐初非转基因大豆油,26,0.0,0.0,1.0
乔府大院稻花香,26,8.540177112501204e-16,8.709305949236425e-16,1.0
五得利富强粉,59,0.0,0.0,1.0
五得利标准粉,26,4.270088556250602e-17,9.737300069667988e-17,1.0
五得利特精粉,26,4.270088556250602e-17,9.737300069667988e-17,1.0
五得利雪花粉,26,2.903660218250409e-16,3.590938835452206e-16,1.0
五花头,353,0.0,0.0,1.0
五花肉,713,0.0,0.0,1.0
五香花生米,26,0.0,0.0,1.0
京丽圆长粒香米,16,2.7755575615628914e-16,3.510833468576701e-16,1.0
亮珠河珍珠米,26,0.0,0.0,1.0
亮珠河稻花香米,26,2.562053133750361e-16,3.373099689841785e-16,1.0
亮珠河长粒香米,26,1.5372318802502167e-16,2.612791784770928e-16,1.0
亿田粮田稻花香,21,1.7763568394002505e-15,1.7763568394002505e-15,-3.0
仔鸡,353,7.221167321641245e-16,1.429958425946532e-15,1.0
仙人掌,27,0.0,0.0,1.0
元宝富强粉,26,9.394194823751323e-17,1.4442750009013647e-16,1.0
元宝牌大豆油,26,0.0,0.0,1.0
元宝特精粉,26,0.0,0.0,1.0
八爪鱼,271,0.0,0.0,1.0
公梭子蟹,303,0.0,0.0,1.0
公河蟹,409,0.0,0.0,1.0
兰花,27,0.0,0.0,1.0
兰花蟹,171,0.0,0.0,1.0
兴安盟魏佳大米,26,3.4160708450004823e-16,3.8949200278671956e-16,0.2307692307692307
兴安盟魏佳稻花香,26,5.807320436500819e-16,7.181877670904412e-16,1.0
兴安盟魏佳长粒香,26,1.5372318802502167e-16,2.612791784770928e-16,1.0
农禾香长粒香米,16,4.440892098500626e-16,4.440892098500626e-16,0.0
冬春笋,25,0.0,0.0,1.0
冰草,27,0.0,0.0,1.0
凉瓜,27,0.0,0.0,1.0
凤梨,26,0.0,0.0,1.0
前肘,353,0.0,0.0,1.0
前臀尖,713,0.0,0.0,1.0
北大荒精洁米,26,8.881784197001252e-16,8.881784197001252e-16,0.0
北方江米,26,2.220446049250313e-16,3.1401849173675503e-16,1.0
南姜,27,0.0,0.0,1.0
南方江米,26,2.049642507000289e-16,3.0169920805478753e-16,1.0
去骨羊前腿,353,0.0,0.0,1.0
去骨羊后腿,353,0.0,0.0,1.0
变蛋,314,7.1881637231303935e-16,8.97258638603748e-16,1.0
古币香油,26,0.0,0.0,1.0
古船东北粳米,26,0.0,0.0,1.0
古船大米,26,0.0,0.0,1.0
古船大豆油,26,0.0,0.0,1.0
古船富强粉,59,0.0,0.0,1.0
古船标准粉,26,0.0,0.0,1.0
古船非转基因大豆油,26,0.0,0.0,1.0
古船龙粳长粒大米,26,5.807320436500819e-16,7.181877670904412e-16,1.0
后肘,47,1.5117930548087238e-16,3.664344370189075e-16,1.0
后肘（去骨）,299,0.0,0.0,1.0
后肘（带骨）,299,3.624005592087468e-16,8.837114420787676e-16,1.0
后臀尖,713,0.0,0.0,1.0
啤梨,26,0.0,0.0,1.0
嘎嘎纯长粒香米,13,0.0,0.0,1.0
嘎鱼,613,0.0,0.0,1.0
国产杏仁,26,0.0,0.0,1.0
基围虾,303,0.0,0.0,1.0
墨鱼,303,0.0,0.0,1.0
夏威夷果,26,0.0,0.0,1.0
多力葵花籽油,26,0.0,0.0,1.0
多宝鱼,303,0.0,0.0,1.0
多春鱼,241,0.0,0.0,1.0
大榛,26,0.0,0.0,1.0
大豆油,26,0.0,0.0,1.0
大雁蛋,258,0.0,0.0,1.0
大麦,26,0.0,0.0,1.0
夹豆,27,0.0,0.0,1.0
奶白菜,252,0.0,0.0,1.0
奶花豆,26,0.0,0.0,1.0
好面缘面粉,26,0.0,0.0,1.0
姬娜果,26,6.832141690000965e-16,1.1016497455536765e-15,1.0
孢子甘蓝,27,0.0,0.0,1.0
宏盛鑫源长粒香大米,6,0.0,0.0,1.0
小公鱼,249,0.0,0.0,1.0
小河虾,459,0.0,0.0,1.0
小海白虾,268,0.0,0.0,1.0
小玉米,26,0.0,0.0,1.0
小白菜,252,0.0,0.0,1.0
小米,26,8.198570028001156e-16,1.2067968322191501e-15,1.0
小米面,26,0.0,0.0,1.0
小红扇贝,303,0.0,0.0,1.0
小里脊,353,0.0,0.0,1.0
小青龙虾,271,0.0,0.0,1.0
小黄花鱼,303,0.0,0.0,1.0
小龙虾,336,0.0,0.0,1.0
山楂干,26,0.0,0.0,1.0
山竹,26,0.0,0.0,1.0
山鸡蛋,318,5.655853144316835e-16,8.904448517794825e-16,1.0
巴旦木,26,0.0,0.0,1.0
帝王蟹,303,0.0,0.0,1.0
带子,303,0.0,0.0,1.0
带鱼,1853,0.0,0.0,1.0
平鱼,1233,0.0,0.0,1.0
