数据集名称,所使用数据量条数,平均绝对误差,均方根误差,决定系数
三文鱼肉,200,1.0364481608072915,1.2752715497432898,0.9966339064593334
东北大米,33,0.0,0.0,1.0
东北盘锦大米,33,4.7683715642676816e-08,2.2737367374916617e-15,0.0
东北长粒香米,33,0.0554170608520507,0.0031266826426872,0.0
乌鸡蛋,360,0.1265259686638327,0.0307486346259953,-2.4014757538421705
乐初非转基因大豆油,33,2.684185028076172,7.204873293434503,0.0
乔府大院稻花香,33,0.0005940437316898,3.617121001302295e-07,0.0
五得利富强粉,66,0.0980196504592894,0.0160452479373733,-1.3133287106939604
五得利标准粉,33,0.1224364376068114,0.0149909556261723,0.0
五得利特精粉,33,0.1326468062400816,0.0175960937038281,0.0
五得利雪花粉,33,0.2018493938446046,0.0407437386058404,0.0
五花头,360,0.650565455941593,0.6332414556664202,-0.0639929109743921
五花肉,720,0.6433221135820661,0.6798467746124648,0.3325487486273137
五香花生米,33,0.9812312126159668,0.9628864021947264,0.0
亮珠河珍珠米,33,9.536743172944284e-08,9.09494703466994e-15,0.0
亮珠河稻花香米,33,5.459785461425781e-05,3.42112116413773e-09,0.0
亮珠河长粒香米,33,0.0003727912902831,1.4352587868409244e-07,0.0
仔鸡,360,0.3390682949739343,0.1644774675517424,-0.0225524153424543
仙人掌,34,4.8498735427856445,34.267713285235004,-0.69223275482642
元宝富强粉,33,0.4099738359451295,0.1680791629354423,0.0
元宝牌大豆油,33,10.41692733764647,108.51320004535926,0.0
元宝特精粉,33,0.0837532567977903,0.0070155032507997,0.0
八爪鱼,278,7.153720415555513,75.1672659436506,-2.013823948867604
公梭子蟹,310,3.2488163915173702,24.96010291428457,-0.0601740682279483
公河蟹,416,1.8840576171875,5.248477307668509,0.6287508176584793
兰花,34,2.367459297180176,5.606138751814797,0.0
兰花蟹,178,10.350476741790771,145.76098944156183,-0.0631000939327586
兴安盟魏佳大米,33,0.1002619266510009,0.0100524539357707,0.0
兴安盟魏佳稻花香,33,0.000309944152832,1.0027088137576357e-07,0.0
兴安盟魏佳长粒香,33,0.083039951324463,0.0068961738063558,0.0
冬春笋,32,11.594575881958008,175.1071773463309,-3.1445485762445182
冰草,34,0.7170200347900391,0.5259364866333271,0.0650018015407517
凉瓜,34,2.08385705947876,4.8053127735206544,-18.221251094082614
凤梨,33,0.1179946899414061,0.0141029100697869,0.0
前肘,360,1.8772758315591247,6.306702702381512,-0.2432589734425627
