数据集名称,所使用数据量条数,平均绝对误差,均方根误差,决定系数
三文鱼肉,193,19.70630084029101,19.75951966427364,0.0082006548042068
东北大米,26,0.0,0.0,1.0
东北盘锦大米,26,0.0,0.0,1.0
东北长粒香米,26,0.0571492439184746,0.072522865876568,0.2502969601124583
乌鸡蛋,353,0.2284630785806786,0.3068246783636847,0.3549357869756434
乐初非转基因大豆油,26,0.4836449704142013,0.99729100522988,0.1109521983471089
乔府大院稻花香,26,0.0261222879684418,0.030033949670454,0.6014524328249835
五得利富强粉,59,0.1382763573685722,0.1448185174470862,0.0104433886148197
五得利标准粉,26,0.0318117028270874,0.0366606055596467,0.4622727272727273
五得利特精粉,26,0.0292791584483892,0.0398325225008873,0.1482873201161136
五得利雪花粉,26,0.030769230769231,0.0367060932013543,0.0232707774798911
五花头,353,0.6539237140555317,0.807490222334885,0.0200174337002442
五花肉,713,0.8380396401892278,1.0221885264650992,0.0006895856281375
五香花生米,26,0.203353057199211,0.2418193423732376,0.4716099879327949
京丽圆长粒香米,16,0.0314338235294117,0.0340576932658134,0.505098039215688
亮珠河珍珠米,26,4.440892098500626e-16,4.440892098500626e-16,0.0
亮珠河稻花香米,26,0.0177041420118342,0.0189431482741167,0.3658097312999242
亮珠河长粒香米,26,0.0261222879684417,0.030033949670454,0.6014524328249817
亿田粮田稻花香,21,8.881784197001252e-16,8.881784197001252e-16,0.0
仔鸡,353,0.2638563546959789,0.3175896180908767,0.7717415479134464
仙人掌,27,5.292423762794133,6.924613317730053,0.0134413372527224
元宝富强粉,26,0.0371389875082182,0.0442826080466238,0.1687974807011669
元宝牌大豆油,26,1.8120644312951992,2.611835877982653,0.0415878048393274
元宝特精粉,26,0.028698224852071,0.0480138047210068,0.0
八爪鱼,271,7.143252089423434,8.389384857068121,0.2811144080831262
公梭子蟹,303,16.848723670280194,19.583767384464007,0.5798218237981937
公河蟹,409,5.518303817122912,6.554031088306686,0.0267641574179757
兰花,27,6.362139917695473,7.706397101052594,0.333729493267582
兰花蟹,171,9.401127656943656,11.51348977917984,0.4887089078688279
兴安盟魏佳大米,26,4.440892098500626e-16,4.440892098500626e-16,0.0
兴安盟魏佳稻花香,26,0.0261222879684417,0.0300339496704538,0.601452432824982
兴安盟魏佳长粒香,26,0.0177041420118342,0.0189431482741167,0.3658097312999242
农禾香长粒香米,16,0.0,0.0,1.0
冬春笋,25,2.474153846153846,3.631627098783049,0.7703210700943293
冰草,27,0.6463437796771129,0.7980389068623763,0.118185404339251
凉瓜,27,1.1865569272976682,1.3622584171683958,0.0144137776439026
凤梨,26,1.1251268902038132,1.4978694928969876,0.454269820594564
前肘,353,0.9947293480694828,1.371611566755602,0.0460509736980822
前臀尖,713,0.7040502752957999,0.8799128235259945,0.0056730445742918
北大荒精洁米,26,0.0,0.0,1.0
北方江米,26,0.0409598948060486,0.0492214200524421,0.798365308983961
南姜,27,0.8286241878834473,0.959165017928564,0.4216421683307527
南方江米,26,0.0177777777777777,0.0182574185835055,0.4666666666666649
去骨羊前腿,353,1.416725806303628,1.7164539436869606,0.46662792747042
去骨羊后腿,353,1.3436741715141975,1.5954668543099733,0.4519160160570069
变蛋,314,0.0125140979350075,0.017997998455258,0.0
古币香油,26,0.0372649572649572,0.0916299908699351,0.0918826666666724
古船东北粳米,26,0.0220970414201183,0.0263180366527299,0.4499248120300755
古船大米,26,0.0,0.0,1.0
古船大豆油,26,0.3492859960552273,0.549287028170373,0.5108868638422583
古船富强粉,59,0.0913358230393564,0.1015988246589348,0.0
古船标准粉,26,0.028213543721236,0.0315947381998932,0.0811522633744853
古船非转基因大豆油,26,1.7344720578566746,2.373285796124325,0.7864041188276798
古船龙粳长粒大米,26,0.0675755424063116,0.0809331832108542,0.6492790785272486
后肘,47,0.0687090361564355,0.0838433613521123,0.9109699133276496
后肘（去骨）,299,0.8085388069394596,1.092788193750649,0.0006313757374263
后肘（带骨）,299,0.4571053789843204,0.6095064437150239,0.0070698519091262
后臀尖,713,0.7057793779806879,0.877183056496381,0.0062355086738948
啤梨,26,0.7342011834319526,0.8790087657449214,0.6825913732639549
嘎嘎纯长粒香米,13,0.0,0.0,1.0
嘎鱼,613,1.1834015500636006,1.407530406224181,0.1461208102451721
国产杏仁,26,0.7034503616042079,0.8739680305040884,0.7956091439881247
基围虾,303,50.50900505964652,60.30017534111926,0.2593444825506538
墨鱼,303,0.3675005637148374,0.4349746360198417,0.8875304253199371
夏威夷果,26,0.585278106508876,0.7444426585002177,0.6439669913677041
多力葵花籽油,26,1.1887810650887567,1.4753576105119277,0.780652818047429
多宝鱼,303,1.891865885993988,2.2325774882308167,0.8532210159537943
多春鱼,241,0.4522635871448271,0.6009772318095988,0.214273511604237
大榛,26,0.7512531229454305,0.8915965335835624,0.1419043512974055
大豆油,26,4.903784352399739,5.992983537148137,0.0034942289077916
大雁蛋,258,0.713652358586521,0.8880723490079006,0.3619456701735852
大麦,26,0.0,0.0,1.0
夹豆,27,0.8097318319540541,1.1332754739554085,0.6605893073756042
奶白菜,252,0.7378428995665021,0.8665986171782079,0.064724737507183
奶花豆,26,0.2396449704142011,0.2847977009045187,0.5932856539432338
好面缘面粉,26,0.0218698224852074,0.0311514718943332,0.2545454545454536
姬娜果,26,0.6621959237343854,0.8971594445991921,0.4892673143411397
孢子甘蓝,27,2.0600792897089195,2.671805916941969,0.4656260554150374
宏盛鑫源长粒香大米,6,0.0,0.0,1.0
小公鱼,249,0.534727110020598,0.7840773861902773,0.024197165416104
小河虾,459,10.124974886456496,11.322175947769257,0.0065505071398188
小海白虾,268,0.7885616848201747,0.8508273632747685,0.0277650303452914
小玉米,26,0.0,0.0,1.0
小白菜,252,0.8643643712727627,1.072966907008576,0.0267445837384717
小米,26,0.1568389217619986,0.1802306944489887,0.6545764074598431
小米面,26,0.0372649572649573,0.0916299908699355,0.0918826666666656
小红扇贝,303,0.9887410616417528,1.1437943152165682,0.2605783643051662
小里脊,353,1.0121210582758338,1.2001346951207457,0.0048419915715479
小青龙虾,271,7.4518167004005615,8.28734012914768,0.842258563240601
小黄花鱼,303,0.0,0.0,1.0
小龙虾,336,4.181624781543041,4.947647374067719,0.0160188918251309
山楂干,26,0.1433556870479946,0.1965688587729913,0.4352393993993995
山竹,26,3.7060828402366863,4.615479771098856,0.0035489301980017
山鸡蛋,318,0.0478955235517527,0.0632434664531908,0.6795178217691644
巴旦木,26,0.4552741617357002,0.5384068348280991,0.6798036310820625
帝王蟹,303,31.36613253516028,39.36747747206872,0.0036702334607963
带子,303,0.4922000587084235,0.5876275949338275,0.4989772259534232
带鱼,1853,3.84503500223682,4.384672315543101,0.0189600350314154
平鱼,1233,10.712519081417785,12.535963992310643,0.0026034586713173
开心果,26,0.1783168967784348,0.2482951733253124,0.2590980740740739
快菜,252,0.7261836671946751,0.906612012938486,0.0284736106100549
情人梅,26,0.1155108481262326,0.1352194019122899,0.6768580973129996
慈姑,27,0.7558178447067336,1.0077065905782274,0.2091030924203999
扇贝,923,3.4046024211271093,3.9153697324506647,0.14224600403279
护心肉,353,0.6859257464591151,1.0429200858971346,0.2438371661846298
散生菜,252,1.1961874975269635,1.3766111126841674,0.070154302019974
散鸡蛋,353,0.3538348181153792,0.4391041689538295,0.0002390894424008
整牛,353,1.975316597651816,2.448806469384582,0.0195260010827117
整羊,353,1.7457166831407966,2.084964971915244,0.3086537633092698
文蛤,303,0.2812408705161034,0.3157529739695571,0.0001254198647623
新奇士,26,0.7649940828402367,0.9551292032347216,0.7622478725400241
新疆干枣,26,0.2189138724523339,0.2545902071369196,0.6452167341430503
方正富硒米,3,0.0,0.0,1.0
无籽红提,16,2.8250735294117644,3.597034879796217,0.0525466415399111
无花果,26,0.9634003944773176,1.1161271916566198,0.4161066543402475
普核桃,26,0.1487021696252463,0.2367187486099447,0.2108296296296299
月牙骨,47,0.0,0.0,1.0
朝天椒,27,1.9543647025128503,2.4948262991362675,0.039192933059529
木耳菜,252,1.8011922774675078,2.043326426365506,0.1216207227006173
李子,3,0.4444444444444452,0.4870546398734161,0.733124999999999
杏核,26,0.5804418145956608,0.7114196713037592,0.8061073306650609
杏肉,26,0.1960552268244575,0.2663587966390606,0.3049249597423519
松子,26,0.356457593688363,0.4235664611469466,0.7618455026455015
松花江大米,26,0.0198027613412227,0.0241597793355215,0.3289493575207879
松花江秋天小町米,26,4.440892098500626e-16,4.440892098500626e-16,0.0
松花蛋,353,0.1358443854132275,0.1876285648989331,0.1430928343792659
松花鱼,303,0.2081354321532117,0.3821311718593632,0.0167701677888247
柑橘,11,0.4566942148760331,0.6903451645959373,0.2105448696009308
柠檬,26,1.0895253122945432,1.3075088860805066,0.7110810666666667
柴鸡蛋,353,0.3356382826807368,0.4336435594348858,0.0855379801806811
树莓,12,11.41687062937063,18.5938290653742,0.4957670417029607
核桃仁,26,0.2114714003944773,0.2554731594008017,0.7326049831649835
桂圆,26,0.2071558185404338,0.2492861603530965,0.7639940074906366
桂鱼,303,13.87802982901053,16.124827715827504,0.0789539681201956
梅花肉,353,0.703655632352668,0.8561902375287035,0.0720197061137624
梅花骨,353,0.7094415141038826,0.8992919978846442,0.0095818625318773
棒骨,353,0.4511538405692328,0.5705572654459671,0.0218163469494155
椰青,26,0.3207100591715978,0.4282857286342172,0.8006658878922005
榴莲,42,4.349349117601285,5.505057761128258,0.1832838619265141
樱桃萝卜,252,0.9435698185610544,1.1940794734900702,0.0042817297485945
武昌鱼,303,0.9392878437735586,1.0416901954753703,8.013518141802844e-05
母梭子蟹,303,13.5419968782007,16.657599785500366,0.5692487522505723
母河蟹,500,5.846329617990472,7.17828541866024,0.0757689447049233
毛榛子,26,0.2114714003944773,0.2554731594008017,0.7326049831649835
毛豆仁,27,1.2481451333303186,1.6110488201319884,0.4973157063446648
毛钳,303,0.1882649029857139,0.271174560973164,0.0939157423130058
水萝卜,235,0.5072835067478092,0.6457172147294231,0.0938256340722411
汇福大豆油,26,1.239728862590402,1.5977297659481449,0.0561914283843441
江米面,59,0.0749784544671071,0.074989226459759,0.0
沙葁,27,0.7395220006331117,0.8492418674905202,0.596691252941133
油菜,252,0.602127917692368,0.720826782063534,0.0369992545062527
油麦菜,252,1.214016075611928,1.5146960913250842,0.0771522256853832
法香,27,1.3991769547325104,1.665247060816212,0.3469121424954725
波士顿龙虾,303,8.702549069272852,11.430105987940705,0.183125996190068
泥鳅,303,2.541267087636261,2.9109438133971657,0.0723446547246635
活珠子,318,0.0556788642446477,0.0631344750153792,0.5416252561383049
海虹,303,0.0973139687031384,0.1403527835793707,0.2090371028458446
海蜇丝,303,0.2860400714432745,0.3567391507834699,0.7476757931624574
海蜇头,303,0.5265811110166919,0.6341354098084439,0.6475767808752041
海蜇皮,303,0.540021139747745,0.6913488430212765,0.7306671401914595
海螺,923,6.965459112498903,8.210810454448902,0.0602663328441817
海鲈鱼,303,0.4868017540894578,0.6124567115096116,0.4351348389058246
淘汰鸡,713,0.5314515859211812,0.6401481952687158,0.0017996119365113
淡水鲈鱼,303,2.737558657977479,3.04661944673571,0.1126515989330629
清江鱼,303,0.615114163088848,0.7266380842933546,0.7593407619474821
澳柑,9,0.569753086419753,0.8223085540262192,0.1165887096774194
澳洲龙虾,137,18.57537758498498,22.92156434302984,0.0287979472457777
火参果,26,0.3334819197896123,0.5943846369540039,0.0924075991778848
火龙果,26,0.2779566074950689,0.4415307185359971,0.1518621609397596
熟腰果,26,0.209062458908608,0.3951633954944769,0.0225909465020585
熟鸭蛋,353,0.2467134097614504,0.3339426318478634,0.0005188144075801
燕鲅,303,1.091021237048421,1.4944877526723832,0.0715872164122976
燕麦,26,0.0,0.0,1.0
爆花玉米,26,0.0,0.0,1.0
牛上脑,353,1.7435062400612844,2.1092536925954337,0.0635365269487359
牛前腱,353,1.0671104247986003,1.6456038876828545,0.3559860780773842
牛前腿,353,1.7747104135881884,2.136052716440877,0.0471383211016118
牛后腱,353,1.129334324485017,1.7116321270866528,0.3299714404792995
牛后腿,353,1.7545465042078434,2.1297671449636986,0.0481513749390263
牛宝,353,0.6496130333278802,0.7934735682631093,0.1908969904001194
牛尾,353,0.8532613760063358,1.012563367530822,0.0223321034143231
牛尾巴鱼,303,0.2097863965242432,0.2712807678143093,0.3290443746770166
牛心,353,0.528490020327498,0.6252407497324572,0.691185278911026
牛心管,353,2.915368460062336,3.3652147200577973,0.7492990443329486
牛排骨,353,0.6582696158947283,0.9325574208682657,0.0577525473014405
牛板筋,353,0.4582814649771481,0.5560584184940216,0.5583359829884186
牛林,353,1.7590643172057916,2.1437068917319406,0.0694739207578706
牛柳,353,0.8714928929432411,1.1013548571712992,0.3442238250538925
牛油,353,0.0,0.0,1.0
牛油果,26,3.0498422090729784,3.8619909838028312,0.0027109320572283
牛百叶,353,0.4161834282350136,0.5030171749416782,0.8662579602711442
牛筋头巴脑,353,1.560913821793584,2.014496851806548,0.1022831514855121
牛肚,353,0.5066779428424996,0.555165552399898,0.5096668494382797
牛腩,353,1.7181430327624123,2.123420321413823,0.0557129828389334
牛腰子,353,0.9647342298110648,1.2755708904658811,0.4650162386113358
牛腰窝,353,1.3078827793677614,1.5210386080119012,0.0006496880649021
牛舌,353,1.0331841423702155,1.301441084188322,0.9385808020417524
牛蛙,303,1.2904680810560756,1.553072767267864,0.2799324202452183
牛蹄筋,353,0.61030173739389,0.7302855875225343,0.7584661630884836
牛金钱腱,353,1.502903998962991,2.6264213613436374,0.0126048714174725
牛鞭,353,1.242421293807029,1.9854527533779271,0.293598967694466
牛骨,353,0.056063781993898,0.1016980707203146,0.1450956670167398
猕猴桃,22,1.313608130999436,1.751994251150638,0.7904936911994749
猕猴桃干,26,0.0,0.0,1.0
猪口条,353,0.7738670859830135,0.9292835054345788,0.6366504731072608
猪头,353,0.3429625951640832,0.4139509740044353,0.1555549609945991
猪尾巴,353,0.8677563622400695,1.2022507763388557,0.8016709827641275
猪心,353,0.7168668565998634,0.9673105092449164,0.1745286765734436
猪板油,353,0.2708885427515574,0.307519235513288,0.5586731429758854
猪皮,353,0.5034703201846501,0.7003544588617776,0.3704799202181468
猪耳,353,0.5175171837353157,0.6638014262168306,0.7371398471933468
猪肚,353,1.1750121034991907,1.5049699515000237,0.4323581782488215
猪肝,353,0.3824013376708291,0.5230392650081876,0.1681404309069033
猪肠,353,0.650167706712946,0.7954316567679687,0.4157266784816211
猪肠头,353,0.510652102519362,0.6215464949158672,0.3455335223535442
猪肺,353,0.2191158288272094,0.385391022452734,0.0176115999107043
猪脑,353,1.0195981254325008,1.3117075744186466,0.1696030830711673
猪腰子,353,1.9923646509888475,2.8081278929177547,0.0096219059124349
猪蹄,353,0.4679933324505307,0.621039536348262,0.7325651003448557
猫眼螺,303,0.6044914950860985,0.6878315269498678,0.2410281523871894
猫眼豆,26,0.0,0.0,1.0
玉米渣,26,0.0,0.0,1.0
玉米面,26,0.0,0.0,1.0
玫瑰香黑提,2,0.0,0.0,1.0
玫瑰龙虾,130,8.848328436506344,11.152857183907631,0.0871132354656254
珍宝蟹,273,13.0445045868446,14.55408296914866,0.0064949825619095
球茎茴香,27,1.791882602993714,2.348172141148932,0.0733881643943887
琵琶虾,146,9.96565862384581,13.811044493937786,0.1240288374977408
甜豆,27,1.1715340900526088,1.3266423600433666,0.0673145772900427
生腰果,26,2.0409283366206448,2.418824161065966,0.2602141355571141
生蚝,613,0.8547692333855029,1.1399184378358171,0.126367148300503
生鸭蛋,353,0.3114515989528343,0.3644920645513484,0.1198412434372588
田满村稻花香米,26,0.0261222879684418,0.030033949670454,0.6014524328249817
