数据集名称,所使用数据量条数,平均绝对误差,均方根误差,决定系数
三文鱼肉,200,19.665446636165903,19.720072648994783,0.0081141009873882
东北大米,33,0.0,0.0,1.0
东北盘锦大米,33,0.0,0.0,1.0
东北长粒香米,33,0.0578934397450438,0.0743354145892178,0.1801708506972273
乌鸡蛋,360,0.226909019478793,0.3054918386292818,0.3508705842981061
乐初非转基因大豆油,33,1.382055852644088,1.578553155696531,0.5514705882352942
乔府大院稻花香,33,0.0208448117539027,0.0249885189431374,0.75
五得利富强粉,66,0.1313349337229934,0.1420404972635767,5.927349025758311e-05
五得利标准粉,33,0.0571986576999946,0.0646211389809693,0.0185293831997337
五得利特精粉,33,0.0455110597958191,0.0571262503865604,0.0457408736815169
五得利雪花粉,33,0.0675849403122131,0.0839306195823267,0.1595310870694447
五梁红大米,5,0.0,0.0,1.0
五花头,360,0.6780912036215413,0.8384472555762428,0.0054906449042143
五花肉,720,0.8496947371034203,1.0363154651527833,3.957097560625122e-06
五香花生米,33,0.6156974153297683,0.657500623341354,0.2076037889382556
京丽圆长粒香米,23,0.0299020450249184,0.0363868556647292,0.8406376047161026
亮珠河珍珠米,33,0.0,0.0,1.0
亮珠河稻花香米,33,0.0104224058769512,0.0124942594715686,0.7499999999999999
亮珠河长粒香米,33,0.0208448117539026,0.0249885189431373,0.75
亿田粮田稻花香,28,1.7763568394002505e-15,1.7763568394002505e-15,0.0
仔鸡,360,0.2641507459524481,0.3201326162945846,0.7670204571647968
仙人掌,34,5.378645575877409,7.1569855328862895,0.088200938434227
元宝富强粉,33,0.1178398962890941,0.1463906670787708,0.2376100863395898
元宝牌大豆油,33,4.388409496029812,5.267067147251628,0.3496394937360455
元宝特精粉,33,0.0400313968562631,0.0542602870686132,0.1286050275140776
八爪鱼,278,7.06502268152209,8.33522868659081,0.3143608049406123
公梭子蟹,310,16.64562366079751,19.45960567759339,0.5831645057686405
公河蟹,416,5.486972512912534,6.516825876274811,0.0255042067981577
兰花,34,6.179849907877589,7.736351219062783,0.1794992351702183
兰花蟹,178,10.299804440165635,12.162460931255868,0.4099240327122095
兴安盟魏佳大米,33,0.0364669421487603,0.0430346846015567,0.4466911764705886
兴安盟魏佳稻花香,33,0.0208448117539025,0.0249885189431372,0.7499999999999999
兴安盟魏佳长粒香,33,0.0363106330686545,0.0417072602453823,0.6764627392374528
农禾香长粒香米,23,0.0299432892249527,0.0341674857426304,0.5795454545454539
冬春笋,32,4.537332752932551,5.959489590128786,0.3925625333959704
冰草,34,0.6746955466678651,0.8280596773671841,0.2571233827091371
凉瓜,34,1.6071271289264368,1.8776150146320485,0.4131461597657868
凤梨,33,0.9562050991195378,1.337719715775063,0.5892896493349756
前肘,360,1.075477002327884,1.4294992071047614,0.078207894542123
前臀尖,720,0.7113930076247158,0.8882812888694548,0.0024814134012767
北大荒精洁米,33,0.0,0.0,1.0
北方江米,33,0.0861985496678009,0.1025134570295231,0.1465838432688506
南姜,34,0.8134318968229005,0.9424248071563884,0.4606156123886618
