数据集名称,所使用数据量条数,平均绝对误差,均方根误差,决定系数
三文鱼肉,200,85.05665443057104,7234.8095678821055,-42539.68025914677
东北大米,33,2.7500384875706265,7.562711683123,0.0
东北盘锦大米,33,2.451269354139056,6.008721527337116,0.0
东北长粒香米,33,2.10172895022801,4.552442186240106,-32.04735809270596
乌鸡蛋,360,8.24768643152146,68.02792917604314,-26999.285089971283
乐初非转基因大豆油,33,123.79673222133091,15325.669776304016,0.0
乔府大院稻花香,33,4.816695758274624,23.200641614703404,0.0
五得利富强粉,66,1.3410513000328002,1.825629503799508,-66.09188426463169
五得利标准粉,33,0.8850647766397602,0.8326576041113815,-16.184170188034393
五得利特精粉,33,1.1203335721152168,1.3235657766097653,-18.85024579269056
五得利雪花粉,33,1.9140020779200964,3.9087399303166097,-14.960688048792823
五花头,360,8.716534069606237,76.01403143778523,-1758.2620117261588
五花肉,720,11.891752565061893,141.4446545209808,-3872.5582293528655
五香花生米,33,10.236878994532992,104.8041912849781,-9874.779563392183
京丽圆长粒香米,23,2.467728805541992,6.130370105582709,-138.0685810988672
亮珠河珍珠米,33,2.1501305103302,4.623061220606319,0.0
亮珠河稻花香米,33,3.734932082039969,13.949740754089635,0.0
亮珠河长粒香米,33,2.8589774199894498,8.173863279732968,0.0
亿田粮田稻花香,28,5.955289500100272,35.46547320474211,0.0
仔鸡,360,8.39865417538443,70.5378618587921,-318127.69606073224
仙人掌,34,25.63516462123888,657.2957305037568,-66134.4672087423
元宝富强粉,33,1.139692501664441,1.4382567903164427,-9.383936102067263
元宝牌大豆油,33,89.5797598702567,8024.5506254472,-183908.79849989613
元宝特精粉,33,1.0165660199273394,1.0524852847061794,-54.60495653520141
八爪鱼,278,68.35903985886348,4673.389369363744,-3.791503897071473e+35
公梭子蟹,310,94.98228672572544,9021.67177554102,0.0
公河蟹,416,39.587608228411,1567.1907846271683,-127396.44442775696
兰花,34,19.349710373651416,375.553218509609,-34182.48180861457
兰花蟹,178,120.01781334815088,14404.281854389204,-1581535.798419882
兴安盟魏佳大米,33,2.509021214076451,6.41799144666462,-51.413596814427706
兴安盟魏佳稻花香,33,4.220469542912075,17.812430516280042,0.0
兴安盟魏佳长粒香,33,2.8151063237871443,7.991300246849862,-115.02184062093131
农禾香长粒香米,23,2.811733211789812,8.02933744379398,-64.5729224576508
冬春笋,32,3.7772064002192742,19.51829808825529,-290.5299142140027
冰草,34,7.749558312552316,60.10105479480392,-1289.9377249075692
凉瓜,34,10.043235733395532,101.06182461739348,-4629.469055196937
凤梨,33,2.5647846690476177,6.734569861473159,-5139.957961621403
前肘,360,11.5185427160307,132.70211641888886,-65090.77041717759
前臀尖,720,8.38306018284389,70.30562430480313,-2248.7799777537
北大荒精洁米,33,2.4515235083443776,6.0099677079415255,0.0
北方江米,33,2.0730793476104736,4.435306302673447,-35.221668138499815
南姜,34,6.103276829143147,37.57345265299428,-858.5186779542702
南方江米,33,2.169004712785993,4.772491117082187,-68.28950066282285
去骨羊前腿,360,32.02612146936861,1025.683713168299,-533626.0353598262
去骨羊后腿,360,34.918729862245186,1219.32051116987,-507845.9929022504
变蛋,321,0.8985382063048226,0.807370909677345,0.0
古币香油,33,20.12678609575544,405.0876824304697,0.0
古船东北粳米,33,2.140437296458653,4.581474610612913,0.0
古船大米,33,2.429842267717634,5.904133472691699,0.0
古船大豆油,33,45.73045489662572,2091.294832320572,-37746.87172338631
古船富强粉,66,1.2577683833575162,1.6334635553285466,-30.55943800547061
古船标准粉,33,1.0043816225869304,1.0418325250749498,-30.90612108042057
古船非转基因大豆油,33,127.16352977449932,16172.202682461446,-5348955.0372241605
古船龙粳长粒大米,33,2.3892439092908586,5.711527722612824,-954.272050032737
