数据集名称,所使用数据量条数,平均绝对误差,均方根误差,决定系数
三文鱼肉,200,18.34202684674944,344.41916934799104,-9.121766231467988e-05
东北大米,33,0.0,0.0,1.0
东北盘锦大米,33,4.7683715642676816e-08,2.2737367374916613e-15,-1.152921496016912e+16
东北长粒香米,33,0.0711538246699741,0.0057729338692917,-0.0476805910936948
乌鸡蛋,360,0.1070181982857843,0.0160091837486367,-2.486444460814204
乐初非转基因大豆油,33,0.52838134765625,0.2791868485510349,0.0
乔府大院稻花香,33,0.0558284759521487,0.0031168187271396,-3.951037130261172e+27
五得利富强粉,66,0.0730992725917273,0.0121416146700484,-0.7155107232767388
五得利标准粉,33,0.1023597131456647,0.0130000823611344,-4.071688182289724
五得利特精粉,33,0.0873077140535626,0.0105585636166737,-1.533641612228272
五得利雪花粉,33,0.156977996826172,0.0384782055465737,-1.0040732055507142
五花头,360,0.7947142464773995,1.0938257943551954,-0.5822129571484749
五花肉,720,1.027090617588588,1.6031246819012657,-0.4513276565942175
五香花生米,33,1.6304947989327567,2.724839819959016,-40.082200362459005
亮珠河珍珠米,33,9.536743172944284e-08,9.09494703466994e-15,0.0
亮珠河稻花香米,33,0.0326921939849853,0.0010687795475519,0.0
亮珠河长粒香米,33,0.0558286666870118,0.0031168400240494,-1.580425650920668e+28
仔鸡,360,0.0191648483276364,0.0012800657269326,-0.0453870103283449
仙人掌,34,2.9313855852399557,11.283113757115125,-0.1813516540569253
元宝富强粉,33,0.3027472945622036,0.1431946998749377,-1.7783876985316978
元宝牌大豆油,33,5.352898733956473,53.7861779172173,-1.140091528983879
元宝特精粉,33,0.0856043754305157,0.0089199458275425,-4.603555712174187
八爪鱼,278,0.0030899047851562,9.547511581331491e-06,0.0
公梭子蟹,310,0.2490081787109375,0.0620050730649381,0.0
公河蟹,416,2.8597570146833147,11.07146577777998,-3.3605736755593085e-06
兰花,34,2.3432538168770924,10.940009889990636,-0.1064199888741819
兰花蟹,178,6.897070748465402,47.91856764439893,-0.7392665293152205
兴安盟魏佳大米,33,0.1285715239388602,0.0192857388087772,-6.0000089009636
兴安盟魏佳稻花香,33,0.05582857131958,0.0031168293755854,0.0
兴安盟魏佳长粒香,33,0.1612636702401298,0.0287610733801336,-9.43920441204848
冬春笋,32,5.6758109501429965,52.49006458117375,-5.11838161498801e-06
冰草,34,1.218254225594657,2.031142792508425,-1.726739639257885
凉瓜,34,2.755587577819824,9.361120041892068,-4.295179013595513
凤梨,33,0.4990450859069825,0.2981260220191415,-3.155953080778927
前肘,360,0.2160741261073521,0.1240773737641315,-0.0132985524070747
前臀尖,720,0.8213300704956055,1.062155299558981,-1.1243105991179618
北大荒精洁米,33,4.7683715642676816e-08,2.2737367374916613e-15,-1.152921496016912e+16
北方江米,33,0.1168660504477363,0.0147116180156675,-0.3349431162364995
南姜,34,0.580948897770473,0.4617372392712826,-5.512675926855337e-06
南方江米,33,0.153571333203997,0.0263392564228694,-8.560174553485899
去骨羊前腿,360,0.4288163866315569,0.2304312324719961,-0.3283682813091539
去骨羊后腿,360,0.4291482652936663,0.2308014714378389,-0.3305026000534248
变蛋,321,0.04095538854599,0.001677343850953,-1.3608230012478165e+29
古币香油,33,0.4807701110839844,0.2311398997117066,0.0
古船东北粳米,33,0.0215385913848877,0.0004639109188451,0.0
古船大米,33,6.675720198856538e-08,4.456524017342118e-15,0.0
古船大豆油,33,2.52773666381836,11.38945264161157,-1.277890528322314
古船富强粉,66,0.0810971845899309,0.0102097898822298,-0.4408977656372754
古船标准粉,33,0.0882417072568621,0.0090927213485853,-5.961614782510675
古船非转基因大豆油,33,1.698641095842634,4.415993817383424,-1.885115960690503
古船龙粳长粒大米,33,0.0606040055411203,0.0042850903855873,-5.998980963125899
后肘,54,0.0411110877990721,0.0020412893627599,-0.000231787752364
后肘（去骨）,306,0.1579088483537946,0.0345691556576639,-0.0423930013695588
后肘（带骨）,306,0.1829808098929269,0.0433908560203885,-0.0005420917642529
后臀尖,720,0.8223972320556641,1.064536026391579,-1.129072052783158
啤梨,33,0.5215345110212054,0.488345005649275,-0.1672636720397304
嘎鱼,620,1.4957049233572823,2.2380187065568213,-0.0153973761230024
国产杏仁,33,0.0720672607421875,0.0051936900708824,0.0
基围虾,310,5.04998779296875,25.502376709133387,0.0
墨鱼,310,0.004770278930664,2.275556107633747e-05,0.0
夏威夷果,33,0.8313843863351005,1.1503836713111792,-1.505279995299902
多力葵花籽油,33,0.5411148071289062,0.2928052344941534,0.0
多宝鱼,310,0.0912380218505859,0.0083243766312079,0.0
多春鱼,248,0.0263795852661132,0.0006958825188121,0.0
大榛,33,0.5029626573835101,0.2533927469833413,-0.0346870501819769
大豆油,33,5.537732805524554,49.12566829885223,-1.6613131527294192
大雁蛋,265,0.1255245208740234,0.0157564053406531,0.0
大麦,33,0.2142857142857142,0.0535714285714285,-6.000000000000004
夹豆,34,2.2935184751238142,7.614624748463679,-0.0070623823879087
奶白菜,259,0.6503090858459473,0.4586161928480773,-11.841253399746163
奶花豆,33,0.0263838768005371,0.0006961089550259,0.0
好面缘面粉,33,0.0846153259277344,0.0071597533818567,0.0
姬娜果,33,1.8960974557059151,5.231876862426621,-1.4415425357990896
孢子甘蓝,34,3.307812282017299,12.122588900840908,-1.1542325259794596e-05
小公鱼,256,0.6809146063668388,0.7085426603473804,-1.8932158630851368
小河虾,466,2.212645394461496,4.962777236268656,-0.0007246278895642
小海白虾,275,1.6994991302490234,2.888297293717187,0.0
小玉米,33,0.0,0.0,1.0
小白菜,259,0.4800019264221191,0.2964660692083986,-0.3835083229725267
小米,33,0.1004476547241211,0.0100897313395762,0.0
小米面,33,0.4807691574096679,0.2311389827164021,0.0
小红扇贝,310,0.0285687446594238,0.0008161731714153,0.0
小里脊,360,0.5077495574951172,0.2578096131364873,0.0
小青龙虾,278,1.4299447195870536,7.146782717401428,-0.4007694126106795
小黄花鱼,310,0.0,0.0,1.0
小龙虾,343,0.1942964281354631,0.0887715101494645,-0.7399215989295043
山楂干,33,0.2316946302141462,0.0697665566939187,-0.1395204260006721
山竹,33,5.66639028276716,46.38348904071973,-2.2491650650396946
山鸡蛋,325,0.0571198906217301,0.0056959383429777,-1.3258414900492497
巴旦木,33,0.0295181274414062,0.0008713198476471,0.0
帝王蟹,310,0.0042572021484375,1.8123770132660862e-05,0.0
带子,310,0.0090560913085937,8.201278978958726e-05,0.0
带鱼,1860,3.36975165775844,15.984684625696511,-0.001597885753362
平鱼,1240,9.729521342686244,127.2256598085509,-8.940893863718102e-05
开心果,33,0.508026123046875,0.2580905416980386,0.0
快菜,259,0.3249137742178781,0.132781155319565,-0.0009656324090288
情人梅,33,0.0295257568359375,0.0008717703167349,0.0
慈姑,34,2.179497446332659,5.060226973532735,-0.0058869034608681
扇贝,930,6.98832757132394,50.41026600282099,-0.0793546139996628
护心肉,360,0.2055807113647461,0.042263428885235,0.0
散生菜,259,0.2862305845533098,0.1069493992673151,-0.0058580737233098
散鸡蛋,360,0.1284905842372348,0.0177343200335442,-13.483028027394605
整牛,360,0.0011367797851562,1.29226827993989e-06,0.0
整羊,360,0.3567611149379185,0.188502982927665,-2.078882054485196
文蛤,310,0.0078907012939453,6.226316691027023e-05,0.0
新奇士,33,0.2455363954816545,0.0612444622403407,-0.0003262165922328
新疆干枣,33,0.1254758834838867,0.0157441973360619,0.0
无花果,33,1.1431773049490792,2.8374665954486,-0.853811509026418
普核桃,33,0.0208377838134765,0.0004342132342571,0.0
月牙骨,54,0.6428571428571429,0.6071428571428571,-2.131578947368421
朝天椒,34,2.179417746407645,5.739657631723925,-4.798829359886027
木耳菜,259,1.798769542149135,3.834582004159269,-0.0001038893083389
杏核,33,0.1457580838884626,0.0365515414678156,-1.3880340425639588
杏肉,33,2.9530250004359653,8.995866857281467,-31.651664889391988
松子,33,0.0334625244140625,0.0011197405401617,0.0
松花江大米,33,0.0161539077758789,0.0002609487364316,0.0
松花江秋天小町米,33,2.8610229296788248e-08,8.185452204148003e-16,0.0
松花蛋,360,0.0503032139369421,0.0030406174140184,-4.959610131475963
松花鱼,310,0.0843343734741211,0.0071122865492725,0.0
柠檬,33,2.621693883623396,8.403891064326283,-4.490542162026503
柴鸡蛋,360,0.4619473866053991,0.2467627349303335,-6.39533578690295
核桃仁,33,0.0334796905517578,0.0011208896794414,0.0
桂圆,33,0.5002727508544922,0.2502728252475208,0.0
桂鱼,310,0.8619346618652344,0.7429313613247359,0.0
梅花肉,360,0.8041625704084124,1.033942622219781,-0.0032314552231538
梅花骨,360,0.5011978149414062,0.6083421068448972,-0.7033578991657123
棒骨,360,0.4621684210641043,0.4584976086125607,-0.8721985685012896
椰青,33,0.5039051600864956,0.3190935670448068,-0.0006774262525142
榴莲,49,6.095672879900251,39.47355438936366,-16.041446388359645
樱桃萝卜,259,0.4313023430960519,0.2164850633779289,-0.6319643239259256
武昌鱼,310,1.430511474609375e-05,2.0463630789890883e-10,0.0
母梭子蟹,310,4.996528625488281,24.965298305323813,0.0
母河蟹,507,3.671866280691965,17.34706470317074,-7.259359254607744e-06
毛榛子,33,0.0334796905517578,0.0011208896794414,0.0
毛豆仁,34,2.9137488773890903,11.103398194876975,-0.0001222638767863
毛钳,310,0.0240144729614257,0.000576694911615,0.0
水萝卜,242,0.2570606504167829,0.0870774229013425,-0.0381493241279284
汇福大豆油,33,1.3810228620256697,2.4582445536008373,-3.46125863431263
江米面,66,0.075181586401803,0.0056538536677151,-0.0260697396964513
沙葁,34,0.6576995849609375,0.5316664499031114,-0.0019867709712486
油菜,259,0.4446221487862723,0.2612864484368557,-2.030304372403771
油麦菜,259,0.6081497328622001,0.4218299407722107,-1.0669667097838325
法香,34,9.359609876360212,113.77576642541472,-3.34698834685795
波士顿龙虾,310,6.9486083984375,87.24963555804321,-5.430230271730174e-05
泥鳅,310,0.0220861434936523,0.0004877977344222,0.0
活珠子,325,2.1457672119140625e-06,4.604316927725449e-12,0.0
海虹,310,0.0238800048828125,0.0005702546332031,0.0
海蜇丝,310,4.76837158203125e-06,2.273736754432321e-11,0.0
海蜇头,310,5.7220458984375e-06,3.2741809263825417e-11,0.0
海蜇皮,310,0.0062198638916015,3.868670683004893e-05,0.0
海螺,930,5.150448662894113,29.2885382133614,-9.642679770638374e-05
海鲈鱼,310,0.0123329162597656,0.0001521008234703,0.0
淘汰鸡,720,0.6152982984270368,0.4378225558946099,-0.0542164736528694
淡水鲈鱼,310,0.0502290725708007,0.0025229597313227,0.0
清江鱼,310,0.0001344680786132,1.8081664165947583e-08,0.0
澳洲龙虾,144,4.289742606026786,42.891687544328825,-0.7514105747267603
火参果,33,0.5154447555541992,0.2656832960283282,0.0
火龙果,33,0.7282836914062499,0.901490175702742,-0.000294805467264
熟腰果,33,4.873900277273996,23.958985545464596,-116.3990291727765
熟鸭蛋,360,0.0741462707519531,0.0054976694664219,0.0
