一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-12-31,0
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-12-20,1
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-12-10,2
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-11-30,3
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-11-20,4
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-11-10,5
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-10-31,6
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-10-20,7
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-10-10,8
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-09-30,9
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-09-20,10
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-09-10,11
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-08-31,12
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-08-20,13
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-08-10,14
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-07-31,15
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-07-20,16
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-07-10,17
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-06-30,18
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-06-20,19
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-06-10,20
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-05-31,21
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-05-20,22
,,,,2.5627199413489734,,,,23
,,,,2.553922287390029,,,,24
,,,,2.545124633431085,,,,25
,,,,2.5363269794721406,,,,26
,,,,2.5275293255131963,,,,27
,,,,2.518731671554252,,,,28
,,,,2.5099340175953078,,,,29
