一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-12-31,0
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-12-20,1
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-12-10,2
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-11-30,3
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-11-20,4
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-11-10,5
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-10-31,6
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-10-20,7
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-10-10,8
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-09-30,9
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-09-20,10
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-09-10,11
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-08-31,12
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-08-20,13
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-08-10,14
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-07-31,15
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-07-20,16
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-07-10,17
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-06-30,18
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-06-20,19
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-06-10,20
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-05-31,21
水果,干果,杏肉,20.0,22.5,25.0,斤,2023-05-20,22
水果,干果,杏肉,18.0,21.5,25.0,斤,2023-05-10,23
水果,干果,杏肉,18.0,21.5,25.0,斤,2023-04-30,24
水果,干果,杏肉,18.0,21.5,25.0,斤,2023-04-10,25
水果,干果,杏肉,15.0,20.0,25.0,斤,2023-03-31,26
水果,干果,杏肉,12.0,18.5,25.0,斤,2023-03-20,27
水果,干果,杏肉,12.0,18.5,25.0,斤,2023-03-10,28
水果,干果,杏肉,12.0,18.5,25.0,斤,2023-02-28,29
水果,干果,杏肉,12.0,18.5,25.0,斤,2023-02-20,30
水果,干果,杏肉,12.0,18.5,25.0,斤,2023-01-31,31
水果,干果,杏肉,12.0,18.5,25.0,斤,2023-01-10,32
,,,,22.066371448844972,,,,33
,,,,22.04279782397309,,,,34
,,,,22.019224199101206,,,,35
,,,,21.995650574229323,,,,36
,,,,21.97207694935744,,,,37
,,,,21.948503324485557,,,,38
,,,,21.924929699613678,,,,39
