一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
蔬菜,特菜,法香,12.0,12.5,13.0,斤,2023-12-31,0
蔬菜,特菜,法香,12.0,12.5,13.0,斤,2023-12-20,1
蔬菜,特菜,法香,10.0,10.5,11.0,斤,2023-12-10,2
蔬菜,特菜,法香,10.0,10.5,11.0,斤,2023-11-30,3
蔬菜,特菜,法香,10.0,10.5,11.0,斤,2023-11-20,4
蔬菜,特菜,法香,10.0,10.5,11.0,斤,2023-11-10,5
蔬菜,特菜,法香,12.0,12.5,13.0,斤,2023-10-31,6
蔬菜,特菜,法香,13.0,13.5,14.0,斤,2023-10-20,7
蔬菜,特菜,法香,14.0,14.5,15.0,斤,2023-10-10,8
蔬菜,特菜,法香,14.0,14.5,15.0,斤,2023-10-10,9
蔬菜,特菜,法香,14.0,14.5,15.0,斤,2023-09-30,10
蔬菜,特菜,法香,8.0,9.0,10.0,斤,2023-09-20,11
蔬菜,特菜,法香,8.0,9.0,10.0,斤,2023-09-10,12
蔬菜,特菜,法香,8.0,9.0,10.0,斤,2023-08-31,13
蔬菜,特菜,法香,8.0,8.5,9.0,斤,2023-08-20,14
蔬菜,特菜,法香,8.0,8.5,9.0,斤,2023-08-10,15
蔬菜,特菜,法香,8.0,8.5,9.0,斤,2023-07-31,16
蔬菜,特菜,法香,8.0,8.5,9.0,斤,2023-07-20,17
蔬菜,特菜,法香,8.0,8.5,9.0,斤,2023-07-10,18
蔬菜,特菜,法香,8.0,8.5,9.0,斤,2023-06-30,19
蔬菜,特菜,法香,8.0,8.5,9.0,斤,2023-06-20,20
蔬菜,特菜,法香,9.0,9.5,10.0,斤,2023-06-10,21
蔬菜,特菜,法香,9.0,9.5,10.0,斤,2023-05-31,22
蔬菜,特菜,法香,9.0,9.5,10.0,斤,2023-05-20,23
蔬菜,特菜,法香,9.0,9.5,10.0,斤,2023-05-10,24
蔬菜,特菜,法香,10.0,10.5,11.0,斤,2023-04-30,25
蔬菜,特菜,法香,7.5,7.75,8.0,斤,2023-04-10,26
蔬菜,特菜,法香,13.0,13.5,14.0,斤,2023-03-31,27
蔬菜,特菜,法香,18.0,18.5,19.0,斤,2023-03-20,28
蔬菜,特菜,法香,21.0,21.5,22.0,斤,2023-03-10,29
蔬菜,特菜,法香,25.0,25.5,26.0,斤,2023-02-28,30
蔬菜,特菜,法香,24.0,24.5,25.0,斤,2023-02-20,31
蔬菜,特菜,法香,22.0,22.5,23.0,斤,2023-01-31,32
蔬菜,特菜,法香,10.0,11.0,12.0,斤,2023-01-10,33
,,,,8.162299731091679,,,,34
,,,,8.006564526698757,,,,35
,,,,7.850829322305833,,,,36
,,,,7.695094117912911,,,,37
,,,,7.539358913519988,,,,38
,,,,7.383623709127066,,,,39
,,,,7.2278885047341435,,,,40
