一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
肉禽蛋,禽蛋类,淘汰鸡,10.5,10.75,11.0,斤,2024-01-01,0
肉禽蛋,禽蛋类,淘汰鸡,9.0,9.5,10.0,斤,2024-01-01,1
肉禽蛋,禽蛋类,淘汰鸡,10.5,10.75,11.0,斤,2023-12-31,2
肉禽蛋,禽蛋类,淘汰鸡,9.0,9.5,10.0,斤,2023-12-31,3
肉禽蛋,禽蛋类,淘汰鸡,10.5,10.75,11.0,斤,2023-12-30,4
肉禽蛋,禽蛋类,淘汰鸡,9.0,9.5,10.0,斤,2023-12-30,5
肉禽蛋,禽蛋类,淘汰鸡,10.5,10.75,11.0,斤,2023-12-29,6
肉禽蛋,禽蛋类,淘汰鸡,9.0,9.5,10.0,斤,2023-12-29,7
肉禽蛋,禽蛋类,淘汰鸡,10.5,10.75,11.0,斤,2023-12-28,8
肉禽蛋,禽蛋类,淘汰鸡,9.0,9.5,10.0,斤,2023-12-28,9
肉禽蛋,禽蛋类,淘汰鸡,10.5,10.75,11.0,斤,2023-12-27,10
肉禽蛋,禽蛋类,淘汰鸡,9.0,9.5,10.0,斤,2023-12-27,11
肉禽蛋,禽蛋类,淘汰鸡,10.5,10.75,11.0,斤,2023-12-26,12
肉禽蛋,禽蛋类,淘汰鸡,9.0,9.5,10.0,斤,2023-12-26,13
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-25,14
肉禽蛋,禽蛋类,淘汰鸡,9.3,9.65,10.0,斤,2023-12-25,15
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-24,16
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-24,17
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-23,18
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-23,19
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-22,20
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-22,21
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-21,22
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-21,23
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-20,24
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-20,25
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-19,26
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-19,27
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-18,28
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-18,29
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-17,30
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-17,31
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-16,32
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-16,33
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-15,34
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-15,35
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-14,36
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-14,37
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-13,38
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-13,39
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-12,40
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-12,41
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-11,42
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-11,43
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-10,44
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-10,45
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-09,46
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-09,47
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-08,48
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-08,49
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-07,50
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-07,51
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-06,52
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-06,53
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-05,54
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-05,55
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-04,56
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-04,57
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-03,58
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-03,59
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-02,60
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-02,61
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-12-01,62
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-12-01,63
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-11-30,64
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-11-30,65
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-11-29,66
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-11-29,67
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-11-28,68
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-11-28,69
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-11-27,70
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-11-27,71
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-11-26,72
肉禽蛋,禽蛋类,淘汰鸡,9.5,9.75,10.0,斤,2023-11-26,73
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-11-25,74
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-25,75
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-11-24,76
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-24,77
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-11-23,78
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-23,79
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-11-22,80
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-22,81
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-11-21,82
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-21,83
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-20,84
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-20,85
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-19,86
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-19,87
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-18,88
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-18,89
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-17,90
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-17,91
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-16,92
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-16,93
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-15,94
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-15,95
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-14,96
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-14,97
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-13,98
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-13,99
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-12,100
肉禽蛋,禽蛋类,淘汰鸡,9.8,9.9,10.0,斤,2023-11-12,101
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-11,102
肉禽蛋,禽蛋类,淘汰鸡,10.0,10.0,10.0,斤,2023-11-11,103
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-10,104
肉禽蛋,禽蛋类,淘汰鸡,10.0,10.0,10.0,斤,2023-11-10,105
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-09,106
肉禽蛋,禽蛋类,淘汰鸡,10.0,10.25,10.5,斤,2023-11-09,107
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-08,108
肉禽蛋,禽蛋类,淘汰鸡,10.0,10.25,10.5,斤,2023-11-08,109
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-11-07,110
肉禽蛋,禽蛋类,淘汰鸡,10.3,10.4,10.5,斤,2023-11-07,111
肉禽蛋,禽蛋类,淘汰鸡,11.5,11.5,11.5,斤,2023-11-06,112
肉禽蛋,禽蛋类,淘汰鸡,10.3,10.4,10.5,斤,2023-11-06,113
肉禽蛋,禽蛋类,淘汰鸡,11.5,11.75,12.0,斤,2023-11-05,114
肉禽蛋,禽蛋类,淘汰鸡,10.3,10.4,10.5,斤,2023-11-05,115
肉禽蛋,禽蛋类,淘汰鸡,11.5,11.75,12.0,斤,2023-11-04,116
肉禽蛋,禽蛋类,淘汰鸡,10.3,10.4,10.5,斤,2023-11-04,117
肉禽蛋,禽蛋类,淘汰鸡,11.5,11.75,12.0,斤,2023-11-03,118
肉禽蛋,禽蛋类,淘汰鸡,10.3,10.4,10.5,斤,2023-11-03,119
肉禽蛋,禽蛋类,淘汰鸡,11.5,11.75,12.0,斤,2023-11-02,120
肉禽蛋,禽蛋类,淘汰鸡,10.3,10.4,10.5,斤,2023-11-02,121
肉禽蛋,禽蛋类,淘汰鸡,11.5,11.75,12.0,斤,2023-11-01,122
肉禽蛋,禽蛋类,淘汰鸡,10.3,10.4,10.5,斤,2023-11-01,123
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-31,124
肉禽蛋,禽蛋类,淘汰鸡,10.3,10.4,10.5,斤,2023-10-31,125
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-30,126
肉禽蛋,禽蛋类,淘汰鸡,10.8,10.9,11.0,斤,2023-10-30,127
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-29,128
肉禽蛋,禽蛋类,淘汰鸡,10.8,10.9,11.0,斤,2023-10-29,129
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-28,130
肉禽蛋,禽蛋类,淘汰鸡,10.8,10.9,11.0,斤,2023-10-28,131
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-27,132
肉禽蛋,禽蛋类,淘汰鸡,10.8,10.9,11.0,斤,2023-10-27,133
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-26,134
肉禽蛋,禽蛋类,淘汰鸡,10.8,10.9,11.0,斤,2023-10-26,135
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-25,136
肉禽蛋,禽蛋类,淘汰鸡,10.8,10.9,11.0,斤,2023-10-25,137
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-24,138
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-10-24,139
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-23,140
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-10-23,141
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-22,142
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-10-22,143
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-21,144
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-10-21,145
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-20,146
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-10-20,147
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-19,148
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-10-19,149
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-18,150
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-10-18,151
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-17,152
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-10-17,153
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-16,154
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-10-16,155
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-15,156
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-10-15,157
肉禽蛋,禽蛋类,淘汰鸡,11.5,11.75,12.0,斤,2023-10-14,158
肉禽蛋,禽蛋类,淘汰鸡,10.5,10.75,11.0,斤,2023-10-14,159
肉禽蛋,禽蛋类,淘汰鸡,11.5,11.75,12.0,斤,2023-10-13,160
肉禽蛋,禽蛋类,淘汰鸡,10.5,10.75,11.0,斤,2023-10-13,161
肉禽蛋,禽蛋类,淘汰鸡,11.5,11.75,12.0,斤,2023-10-12,162
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.0,11.0,斤,2023-10-12,163
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-11,164
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-10-11,165
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-10,166
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-10-10,167
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-09,168
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-10-09,169
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-08,170
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-10-08,171
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-07,172
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-10-07,173
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-06,174
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-10-06,175
肉禽蛋,禽蛋类,淘汰鸡,12.0,12.0,12.0,斤,2023-10-05,176
肉禽蛋,禽蛋类,淘汰鸡,11.0,11.25,11.5,斤,2023-10-05,177
肉禽蛋,禽蛋类,淘汰鸡,11.5,11.75,12.0,斤,2023-10-04,178
肉禽蛋,禽蛋类,淘汰鸡,10.5,10.75,11.0,斤,2023-10-04,179
肉禽蛋,禽蛋类,淘汰鸡,11.5,11.75,12.0,斤,2023-10-03,180
