一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,火龙果,3.8,4.3,4.8,斤,2023-12-31,0
水果,进口果,火龙果,3.8,4.4,5.0,斤,2023-12-20,1
水果,进口果,火龙果,3.8,4.4,5.0,斤,2023-12-10,2
水果,进口果,火龙果,3.8,4.4,5.0,斤,2023-11-30,3
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-11-20,4
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-11-10,5
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-10-31,6
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-10-20,7
水果,进口果,火龙果,3.5,3.75,4.0,斤,2023-10-10,8
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-09-30,9
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-09-20,10
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-09-10,11
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-08-31,12
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-08-20,13
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-08-10,14
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-07-31,15
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-07-20,16
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-07-10,17
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-06-30,18
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-06-20,19
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-06-10,20
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-05-31,21
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-05-20,22
水果,进口果,火龙果,3.5,4.25,5.0,斤,2023-05-10,23
水果,进口果,火龙果,4.5,5.25,6.0,斤,2023-04-30,24
水果,进口果,火龙果,6.0,6.5,7.0,斤,2023-04-10,25
水果,进口果,火龙果,6.0,7.0,8.0,斤,2023-03-31,26
水果,进口果,火龙果,4.5,4.75,5.0,斤,2023-03-20,27
水果,进口果,火龙果,4.5,4.75,5.0,斤,2023-03-10,28
水果,进口果,火龙果,5.2,5.35,5.5,斤,2023-02-28,29
水果,进口果,火龙果,5.0,5.25,5.5,斤,2023-02-20,30
水果,进口果,火龙果,3.5,4.0,4.5,斤,2023-01-31,31
水果,进口果,火龙果,3.5,4.0,4.5,斤,2023-01-10,32
,,,,4.71192347113085,,,,33
,,,,4.736880765288692,,,,34
,,,,4.761838059446532,,,,35
,,,,4.786795353604373,,,,36
,,,,4.811752647762214,,,,37
,,,,4.836709941920055,,,,38
,,,,4.861667236077896,,,,39
