一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
蔬菜,特菜,球茎茴香,10.0,10.5,11.0,斤,2023-12-31,0
蔬菜,特菜,球茎茴香,10.0,10.5,11.0,斤,2023-12-20,1
蔬菜,特菜,球茎茴香,9.0,9.5,10.0,斤,2023-12-10,2
蔬菜,特菜,球茎茴香,9.0,9.5,10.0,斤,2023-11-30,3
蔬菜,特菜,球茎茴香,9.0,9.5,10.0,斤,2023-11-20,4
蔬菜,特菜,球茎茴香,10.0,10.5,11.0,斤,2023-11-10,5
蔬菜,特菜,球茎茴香,10.0,10.5,11.0,斤,2023-10-31,6
蔬菜,特菜,球茎茴香,10.0,10.5,11.0,斤,2023-10-20,7
蔬菜,特菜,球茎茴香,11.0,11.5,12.0,斤,2023-10-10,8
蔬菜,特菜,球茎茴香,11.0,11.5,12.0,斤,2023-10-10,9
蔬菜,特菜,球茎茴香,11.0,11.5,12.0,斤,2023-09-30,10
蔬菜,特菜,球茎茴香,9.0,9.5,10.0,斤,2023-09-20,11
蔬菜,特菜,球茎茴香,9.0,9.5,10.0,斤,2023-09-10,12
蔬菜,特菜,球茎茴香,10.0,10.5,11.0,斤,2023-08-31,13
蔬菜,特菜,球茎茴香,9.0,9.5,10.0,斤,2023-08-20,14
蔬菜,特菜,球茎茴香,7.0,7.5,8.0,斤,2023-08-10,15
蔬菜,特菜,球茎茴香,8.0,8.5,9.0,斤,2023-07-31,16
蔬菜,特菜,球茎茴香,8.0,8.5,9.0,斤,2023-07-20,17
蔬菜,特菜,球茎茴香,8.0,8.5,9.0,斤,2023-07-10,18
蔬菜,特菜,球茎茴香,8.0,8.5,9.0,斤,2023-06-30,19
蔬菜,特菜,球茎茴香,8.0,8.5,9.0,斤,2023-06-20,20
蔬菜,特菜,球茎茴香,8.0,8.5,9.0,斤,2023-06-10,21
蔬菜,特菜,球茎茴香,8.0,8.5,9.0,斤,2023-05-31,22
蔬菜,特菜,球茎茴香,9.0,9.5,10.0,斤,2023-05-20,23
蔬菜,特菜,球茎茴香,14.0,14.5,15.0,斤,2023-05-10,24
蔬菜,特菜,球茎茴香,17.0,17.5,18.0,斤,2023-04-30,25
蔬菜,特菜,球茎茴香,17.0,17.5,18.0,斤,2023-04-10,26
蔬菜,特菜,球茎茴香,23.0,23.5,24.0,斤,2023-03-31,27
蔬菜,特菜,球茎茴香,24.0,24.5,25.0,斤,2023-03-20,28
蔬菜,特菜,球茎茴香,22.0,22.5,23.0,斤,2023-03-10,29
蔬菜,特菜,球茎茴香,22.0,22.5,23.0,斤,2023-02-28,30
蔬菜,特菜,球茎茴香,20.0,21.0,22.0,斤,2023-02-20,31
蔬菜,特菜,球茎茴香,14.0,14.5,15.0,斤,2023-01-31,32
蔬菜,特菜,球茎茴香,9.0,10.0,11.0,斤,2023-01-10,33
,,,,11.57619822384923,,,,34
,,,,11.661006033489254,,,,35
,,,,11.74581384312928,,,,36
,,,,11.830621652769304,,,,37
,,,,11.915429462409328,,,,38
,,,,12.000237272049352,,,,39
,,,,12.085045081689376,,,,40
