一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
蔬菜,特菜,紫豇豆,36.0,36.5,37.0,斤,2023-12-31,0
蔬菜,特菜,紫豇豆,36.0,36.5,37.0,斤,2023-12-20,1
蔬菜,特菜,紫豇豆,36.0,36.5,37.0,斤,2023-12-10,2
蔬菜,特菜,紫豇豆,34.0,34.5,35.0,斤,2023-11-30,3
蔬菜,特菜,紫豇豆,29.0,29.5,30.0,斤,2023-11-20,4
蔬菜,特菜,紫豇豆,29.0,29.5,30.0,斤,2023-11-10,5
蔬菜,特菜,紫豇豆,25.0,25.5,26.0,斤,2023-10-31,6
蔬菜,特菜,紫豇豆,20.0,20.5,21.0,斤,2023-10-20,7
蔬菜,特菜,紫豇豆,17.0,17.5,18.0,斤,2023-10-10,8
蔬菜,特菜,紫豇豆,17.0,17.5,18.0,斤,2023-10-10,9
蔬菜,特菜,紫豇豆,17.0,17.5,18.0,斤,2023-09-30,10
蔬菜,特菜,紫豇豆,17.0,17.5,18.0,斤,2023-09-20,11
蔬菜,特菜,紫豇豆,15.0,15.5,16.0,斤,2023-09-10,12
蔬菜,特菜,紫豇豆,15.0,15.5,16.0,斤,2023-08-31,13
蔬菜,特菜,紫豇豆,13.0,13.5,14.0,斤,2023-08-20,14
蔬菜,特菜,紫豇豆,10.0,10.5,11.0,斤,2023-08-10,15
蔬菜,特菜,紫豇豆,10.0,10.5,11.0,斤,2023-07-31,16
蔬菜,特菜,紫豇豆,8.0,8.5,9.0,斤,2023-07-20,17
蔬菜,特菜,紫豇豆,8.0,8.5,9.0,斤,2023-07-10,18
蔬菜,特菜,紫豇豆,6.0,6.5,7.0,斤,2023-06-30,19
蔬菜,特菜,紫豇豆,29.0,29.5,30.0,斤,2023-06-20,20
蔬菜,特菜,紫豇豆,29.0,29.5,30.0,斤,2023-06-10,21
蔬菜,特菜,紫豇豆,28.0,28.5,29.0,斤,2023-05-31,22
蔬菜,特菜,紫豇豆,28.0,28.5,29.0,斤,2023-05-20,23
蔬菜,特菜,紫豇豆,28.0,28.5,29.0,斤,2023-05-10,24
蔬菜,特菜,紫豇豆,28.0,28.5,29.0,斤,2023-04-30,25
蔬菜,特菜,紫豇豆,25.0,25.5,26.0,斤,2023-04-10,26
蔬菜,特菜,紫豇豆,25.0,25.5,26.0,斤,2023-03-31,27
蔬菜,特菜,紫豇豆,27.0,27.5,28.0,斤,2023-03-20,28
蔬菜,特菜,紫豇豆,27.0,27.5,28.0,斤,2023-03-10,29
蔬菜,特菜,紫豇豆,30.0,30.5,31.0,斤,2023-02-28,30
蔬菜,特菜,紫豇豆,29.0,29.5,30.0,斤,2023-02-20,31
蔬菜,特菜,紫豇豆,29.0,29.5,30.0,斤,2023-01-31,32
蔬菜,特菜,紫豇豆,24.0,25.0,26.0,斤,2023-01-10,33
,,,,17.594140510247893,,,,34
,,,,17.2463674779111,,,,35
,,,,16.89859444557431,,,,36
,,,,16.55082141323752,,,,37
,,,,16.203048380900732,,,,38
,,,,15.85527534856394,,,,39
,,,,15.507502316227148,,,,40
