一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,食用油,绿宝大豆油,47.0,47.5,48.0,斤,2023-12-31,0
粮油,食用油,绿宝大豆油,47.0,47.5,48.0,斤,2023-12-20,1
粮油,食用油,绿宝大豆油,47.0,47.5,48.0,斤,2023-12-10,2
粮油,食用油,绿宝大豆油,47.0,47.5,48.0,斤,2023-11-30,3
粮油,食用油,绿宝大豆油,47.0,47.5,48.0,斤,2023-11-20,4
粮油,食用油,绿宝大豆油,47.0,47.5,48.0,斤,2023-11-10,5
粮油,食用油,绿宝大豆油,47.0,47.5,48.0,斤,2023-10-31,6
粮油,食用油,绿宝大豆油,47.0,47.5,48.0,斤,2023-10-20,7
粮油,食用油,绿宝大豆油,47.0,47.5,48.0,斤,2023-10-10,8
粮油,食用油,绿宝大豆油,47.0,47.5,48.0,斤,2023-09-30,9
粮油,食用油,绿宝大豆油,47.0,47.5,48.0,斤,2023-09-20,10
粮油,食用油,绿宝大豆油,47.0,47.5,48.0,斤,2023-09-10,11
粮油,食用油,绿宝大豆油,47.0,47.5,48.0,斤,2023-08-31,12
粮油,食用油,绿宝大豆油,46.0,46.5,47.0,斤,2023-08-20,13
粮油,食用油,绿宝大豆油,46.0,46.5,47.0,斤,2023-08-10,14
粮油,食用油,绿宝大豆油,45.0,46.0,47.0,斤,2023-07-31,15
粮油,食用油,绿宝大豆油,46.25,46.88,47.5,斤,2023-07-20,16
粮油,食用油,绿宝大豆油,46.25,46.88,47.5,斤,2023-07-10,17
粮油,食用油,绿宝大豆油,46.25,46.88,47.5,斤,2023-06-30,18
粮油,食用油,绿宝大豆油,46.25,46.88,47.5,斤,2023-06-20,19
粮油,食用油,绿宝大豆油,46.25,46.88,47.5,斤,2023-06-10,20
粮油,食用油,绿宝大豆油,47.0,48.0,49.0,斤,2023-05-31,21
粮油,食用油,绿宝大豆油,52.0,52.25,52.5,斤,2023-05-20,22
粮油,食用油,绿宝大豆油,52.0,52.5,53.0,斤,2023-05-10,23
粮油,食用油,绿宝大豆油,52.0,52.5,53.0,斤,2023-04-30,24
粮油,食用油,绿宝大豆油,53.0,53.5,54.0,斤,2023-04-10,25
粮油,食用油,绿宝大豆油,53.0,53.5,54.0,斤,2023-03-31,26
粮油,食用油,绿宝大豆油,53.5,53.75,54.0,斤,2023-03-20,27
粮油,食用油,绿宝大豆油,53.5,53.75,54.0,斤,2023-03-10,28
粮油,食用油,绿宝大豆油,54.0,54.5,55.0,斤,2023-02-28,29
粮油,食用油,绿宝大豆油,55.0,55.38,55.75,斤,2023-02-20,30
粮油,食用油,绿宝大豆油,56.5,56.75,57.0,斤,2023-01-31,31
粮油,食用油,绿宝大豆油,56.5,56.75,57.0,斤,2023-01-10,32
,,,,50.01512706630575,,,,33
,,,,50.1596948831831,,,,34
,,,,50.30426270006045,,,,35
,,,,50.4488305169378,,,,36
,,,,50.593398333815145,,,,37
,,,,50.73796615069249,,,,38
,,,,50.88253396756984,,,,39
