一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,西柚,4.5,5.25,6.0,斤,2023-12-31,0
水果,进口果,西柚,4.5,5.5,6.5,斤,2023-12-20,1
水果,进口果,西柚,10.0,10.5,11.0,斤,2023-12-10,2
水果,进口果,西柚,6.0,7.0,8.0,斤,2023-11-30,3
水果,进口果,西柚,7.0,7.5,8.0,斤,2023-11-20,4
水果,进口果,西柚,7.0,7.5,8.0,斤,2023-11-10,5
水果,进口果,西柚,7.0,7.5,8.0,斤,2023-10-31,6
水果,进口果,西柚,6.0,6.5,7.0,斤,2023-10-20,7
水果,进口果,西柚,6.0,6.5,7.0,斤,2023-10-10,8
水果,进口果,西柚,2.0,3.65,5.3,斤,2023-09-30,9
水果,进口果,西柚,4.5,4.9,5.3,斤,2023-09-20,10
水果,进口果,西柚,4.5,5.0,5.5,斤,2023-09-10,11
水果,进口果,西柚,4.5,5.0,5.5,斤,2023-08-31,12
水果,进口果,西柚,4.3,4.9,5.5,斤,2023-08-20,13
水果,进口果,西柚,4.3,4.9,5.5,斤,2023-08-10,14
水果,进口果,西柚,4.3,4.9,5.5,斤,2023-07-31,15
水果,进口果,西柚,4.3,4.9,5.5,斤,2023-07-20,16
水果,进口果,西柚,4.3,4.9,5.5,斤,2023-07-10,17
水果,进口果,西柚,4.3,4.9,5.5,斤,2023-06-30,18
水果,进口果,西柚,4.3,4.9,5.5,斤,2023-06-20,19
水果,进口果,西柚,4.5,5.0,5.5,斤,2023-06-10,20
水果,进口果,西柚,7.5,8.0,8.5,斤,2023-05-31,21
水果,进口果,西柚,7.5,8.0,8.5,斤,2023-05-20,22
水果,进口果,西柚,7.5,8.0,8.5,斤,2023-05-10,23
水果,进口果,西柚,7.5,8.75,10.0,斤,2023-04-30,24
水果,进口果,西柚,7.5,8.75,10.0,斤,2023-04-10,25
水果,进口果,西柚,7.5,8.75,10.0,斤,2023-03-31,26
水果,进口果,西柚,7.5,8.75,10.0,斤,2023-03-20,27
水果,进口果,西柚,7.5,8.75,10.0,斤,2023-03-10,28
水果,进口果,西柚,7.5,8.75,10.0,斤,2023-02-28,29
水果,进口果,西柚,7.5,8.75,10.0,斤,2023-02-20,30
水果,进口果,西柚,9.0,10.0,11.0,斤,2023-01-31,31
水果,进口果,西柚,9.0,10.0,11.0,斤,2023-01-10,32
,,,,6.4681742923970456,,,,33
,,,,6.4826259493837215,,,,34
,,,,6.497077606370397,,,,35
,,,,6.511529263357073,,,,36
,,,,6.525980920343749,,,,37
,,,,6.540432577330424,,,,38
,,,,6.5548842343171,,,,39
