一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水产,淡水鱼,黄鳝,37.0,38.5,40.0,斤,2024-01-01,0
水产,淡水鱼,黄鳝,37.0,38.5,40.0,斤,2023-12-31,1
水产,淡水鱼,黄鳝,37.0,38.5,40.0,斤,2023-12-29,2
水产,淡水鱼,黄鳝,37.0,38.5,40.0,斤,2023-12-28,3
水产,淡水鱼,黄鳝,38.0,39.0,40.0,斤,2023-12-27,4
水产,淡水鱼,黄鳝,38.0,39.0,40.0,斤,2023-12-26,5
水产,淡水鱼,黄鳝,38.0,39.0,40.0,斤,2023-12-25,6
水产,淡水鱼,黄鳝,38.0,39.0,40.0,斤,2023-12-24,7
水产,淡水鱼,黄鳝,25.0,26.5,28.0,斤,2023-12-22,8
水产,淡水鱼,黄鳝,38.0,39.0,40.0,斤,2023-12-22,9
水产,淡水鱼,黄鳝,25.0,26.5,28.0,斤,2023-12-21,10
水产,淡水鱼,黄鳝,38.0,39.0,40.0,斤,2023-12-21,11
水产,淡水鱼,黄鳝,25.0,26.5,28.0,斤,2023-12-20,12
水产,淡水鱼,黄鳝,38.0,39.0,40.0,斤,2023-12-20,13
水产,淡水鱼,黄鳝,20.0,24.0,28.0,斤,2023-12-19,14
水产,淡水鱼,黄鳝,35.0,37.5,40.0,斤,2023-12-19,15
水产,淡水鱼,黄鳝,20.0,24.0,28.0,斤,2023-12-18,16
水产,淡水鱼,黄鳝,33.0,35.5,38.0,斤,2023-12-18,17
水产,淡水鱼,黄鳝,20.0,24.0,28.0,斤,2023-12-17,18
水产,淡水鱼,黄鳝,33.0,35.5,38.0,斤,2023-12-17,19
水产,淡水鱼,黄鳝,20.0,24.0,28.0,斤,2023-12-15,20
水产,淡水鱼,黄鳝,33.0,35.5,38.0,斤,2023-12-15,21
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-12-14,22
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-12-14,23
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-12-13,24
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-12-13,25
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-12-12,26
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-12-12,27
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-12-11,28
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-12-11,29
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-12-10,30
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-12-10,31
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-12-08,32
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-12-08,33
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-12-07,34
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-12-07,35
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-12-06,36
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-12-06,37
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-12-05,38
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-12-05,39
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-12-04,40
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-12-04,41
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-12-03,42
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-12-03,43
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-12-01,44
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-12-01,45
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-30,46
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-30,47
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-29,48
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-29,49
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-28,50
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-28,51
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-27,52
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-27,53
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-26,54
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-26,55
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-24,56
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-24,57
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-23,58
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-23,59
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-22,60
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-22,61
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-21,62
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-21,63
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-20,64
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-20,65
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-19,66
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-19,67
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-17,68
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-17,69
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-16,70
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-16,71
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-15,72
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-15,73
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-14,74
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-14,75
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-13,76
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-13,77
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-12,78
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-12,79
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-10,80
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-10,81
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-09,82
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-09,83
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-08,84
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-08,85
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-07,86
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-07,87
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-06,88
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-06,89
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-05,90
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-05,91
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-03,92
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-03,93
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-02,94
水产,淡水鱼,黄鳝,33.0,34.0,35.0,斤,2023-11-02,95
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-11-01,96
水产,淡水鱼,黄鳝,35.0,36.5,38.0,斤,2023-11-01,97
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-10-31,98
水产,淡水鱼,黄鳝,35.0,36.5,38.0,斤,2023-10-31,99
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-10-30,100
水产,淡水鱼,黄鳝,35.0,36.5,38.0,斤,2023-10-30,101
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-10-28,102
水产,淡水鱼,黄鳝,35.0,36.5,38.0,斤,2023-10-28,103
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-10-27,104
水产,淡水鱼,黄鳝,35.0,36.5,38.0,斤,2023-10-27,105
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-10-26,106
水产,淡水鱼,黄鳝,35.0,36.5,38.0,斤,2023-10-26,107
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-10-25,108
水产,淡水鱼,黄鳝,38.0,39.0,40.0,斤,2023-10-25,109
水产,淡水鱼,黄鳝,20.0,22.5,25.0,斤,2023-10-24,110
