一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,黑莓,63.0,64.5,66.0,斤,2023-06-20,0
水果,进口果,黑莓,50.0,52.5,55.0,斤,2023-06-10,1
水果,进口果,黑莓,50.0,52.5,55.0,斤,2023-05-31,2
水果,进口果,黑莓,50.0,52.5,55.0,斤,2023-05-20,3
水果,进口果,黑莓,50.0,52.5,55.0,斤,2023-05-10,4
水果,进口果,黑莓,63.0,64.0,65.0,斤,2023-04-30,5
水果,进口果,黑莓,68.0,72.0,76.0,斤,2023-04-10,6
水果,进口果,黑莓,68.0,72.0,76.0,斤,2023-03-31,7
水果,进口果,黑莓,68.0,74.0,80.0,斤,2023-03-20,8
水果,进口果,黑莓,68.0,74.0,80.0,斤,2023-03-10,9
水果,进口果,黑莓,68.0,74.0,80.0,斤,2023-02-28,10
水果,进口果,黑莓,53.0,54.5,56.0,斤,2023-02-20,11
水果,进口果,黑莓,53.0,54.5,56.0,斤,2023-01-31,12
水果,进口果,黑莓,53.0,54.5,56.0,斤,2023-01-10,13
,,,,64.91871921182266,,,,14
,,,,66.48768472906404,,,,15
,,,,68.05665024630542,,,,16
,,,,69.6256157635468,,,,17
,,,,71.19458128078819,,,,18
,,,,72.76354679802957,,,,19
,,,,74.33251231527095,,,,20
