ID,平均价
0,2.16
1,1.95
2,2.16
3,1.9
4,2.16
5,1.9
6,2.16
7,1.92
8,2.15
9,1.92
10,2.15
11,1.92
12,2.15
13,1.92
14,2.15
15,1.92
16,2.15
17,1.89
18,2.15
19,1.89
20,2.15
21,1.89
22,2.15
23,1.89
24,2.15
25,1.85
26,2.15
27,1.83
28,2.15
29,1.82
30,2.15
31,1.82
32,2.15
33,1.82
34,2.15
35,1.82
36,2.15
37,1.82
38,2.15
39,1.82
40,2.25
41,1.91
42,2.25
43,1.97
44,2.05
45,1.74
46,2.1
47,1.79
48,2.1
49,1.84
50,2.1
51,1.84
52,2.1
53,1.84
54,2.13
55,1.91
56,2.13
57,1.91
58,2.18
59,2.01
60,2.18
61,2.01
62,2.18
63,2.01
64,2.18
65,2.01
66,2.01169490814209
67,2.01169490814209
68,2.01169490814209
69,2.01169490814209
70,2.01169490814209
71,2.01169490814209
72,2.01169490814209
