ID,平均价
0,33.0
1,33.0
2,33.0
3,33.0
4,33.0
5,33.5
6,33.5
7,33.5
8,33.5
9,33.5
10,33.5
11,33.5
12,33.5
13,33.5
14,33.5
15,33.5
16,33.5
17,33.5
18,33.5
19,33.5
20,33.5
21,33.5
22,33.5
23,33.5
24,33.5
25,33.5
26,33.5
27,33.5
28,33.5
29,33.5
30,33.5
31,33.5
32,33.5
33,33.5
34,33.5
35,33.5
36,33.5
37,33.5
38,33.5
39,33.5
40,34.0
41,34.0
42,34.0
43,34.0
44,33.5
45,33.5
46,32.5
47,32.5
48,32.5
49,31.5
50,31.0
51,31.0
52,31.0
53,31.0
54,31.0
55,31.0
56,31.0
57,31.0
58,31.0
59,31.0
60,31.0
61,31.0
62,31.0
63,30.5
64,30.5
65,29.5
66,29.5
67,29.5
68,29.5
69,29.5
70,29.5
71,29.5
72,29.5
73,29.5
74,30.0
75,30.0
76,30.0
77,30.0
78,30.0
79,30.0
80,30.0
81,30.0
82,30.0
83,30.0
84,30.0
85,30.0
86,30.0
87,30.0
88,30.0
89,31.0
90,31.0
91,31.0
92,31.0
93,31.0
94,31.0
95,31.0
96,31.0
97,31.5
98,31.5
99,31.5
100,31.5
101,31.5
102,31.5
103,31.5
104,31.5
105,30.5
106,30.5
107,30.5
108,30.5
109,30.5
110,30.5
111,30.5
112,30.5
113,30.5
114,31.5
115,31.5
116,31.5
117,31.5
118,31.5
119,31.5
120,31.5
121,31.5
122,31.5
123,31.5
124,31.5
125,31.5
126,31.5
127,31.5
128,31.5
129,31.5
130,31.5
131,31.5
132,31.5
133,31.5
134,31.5
135,31.5
136,31.5
137,31.5
138,31.5
139,31.5
140,31.5
141,31.5
142,31.5
143,31.5
144,31.5
145,31.5
146,31.5
147,31.5
148,31.5
149,31.5
150,31.5
151,31.5
152,31.5
153,30.5
154,30.5
155,30.5
156,30.5
157,30.5
158,30.5
159,30.5
160,30.5
161,30.5
162,30.5
163,30.5
164,30.5
165,30.5
166,30.5
167,30.5
168,30.5
169,30.5
170,30.5
171,30.5
172,30.5
173,31.0
174,31.0
175,31.5
176,31.5
177,31.5
178,31.5
179,31.5
180,31.5
181,31.5
182,33.0
183,33.0
184,33.0
185,33.0
186,33.0
187,33.0
188,33.0
189,33.0
190,33.0
191,33.0
192,33.0
193,33.5
194,33.5
195,33.5
196,33.5
197,33.5
198,33.5
199,33.5
200,33.5
201,33.5
202,33.5
203,33.5
204,33.5
205,33.5
206,33.5
207,33.5
208,33.5
209,33.5
210,33.5
211,33.5
212,33.5
213,33.5
214,33.5
215,33.5
216,34.0
217,34.0
218,34.5
219,34.5
220,34.5
221,34.5
222,34.5
223,34.5
224,34.5
225,34.5
226,34.5
227,34.5
228,34.5
229,34.5
230,34.5
231,34.5
232,34.5
233,34.5
234,34.5
235,34.5
236,34.5
237,34.5
238,35.0
239,35.0
240,35.0
241,35.0
242,35.0
243,35.0
244,35.0
245,35.5
246,35.5
247,35.5
248,35.5
249,35.5
250,35.5
251,35.5
252,35.5
253,35.5
254,35.5
255,35.5
256,35.5
257,35.5
258,35.5
259,35.5
260,35.5
261,35.5
262,35.5
263,35.5
264,35.5
265,35.5
266,35.5
267,35.5
268,35.5
269,35.5
270,35.5
271,35.5
272,35.5
273,35.5
274,35.5
275,35.5
276,35.5
277,35.5
278,35.5
279,35.5
280,36.0
281,36.0
282,36.0
283,36.0
284,36.0
285,36.0
286,36.0
287,36.0
288,36.0
289,36.0
290,36.5
291,36.5
292,36.5
293,36.5
294,36.5
295,36.5
296,36.5
297,36.5
298,36.5
299,36.5
300,37.0
301,37.0
302,37.0
303,37.0
304,37.5
305,37.5
306,37.5
307,37.5
308,37.5
309,37.5
310,37.5
311,38.0
312,38.0
313,37.5
314,37.5
315,36.5
316,35.5
317,35.0
318,35.0
319,35.0
320,35.0
321,35.0
322,35.0
323,35.0
324,35.0
325,35.0
326,35.0
327,35.0
328,35.0
329,35.0
330,35.0
331,35.0
332,35.5
333,35.5
334,35.5
335,35.5
336,36.0
337,36.5
338,36.5
339,36.0
340,36.0
341,35.0
342,35.5
343,34.5
344,34.5
345,34.5
346,34.5
347,33.5
348,32.5
349,32.5
350,31.5
351,31.5
352,31.5
353,31.5
354,31.5
355,31.0
356,31.0
357,31.0
358,32.0
359,32.0
360,31.668012619018555
361,31.668012619018555
362,31.668012619018555
363,31.668012619018555
364,31.668012619018555
365,31.668012619018555
366,31.668012619018555
