ID,平均价
0,26.5
1,26.5
2,26.5
3,26.5
4,26.5
5,26.5
6,26.5
7,26.5
8,26.5
9,26.5
10,26.5
11,26.5
12,26.5
13,26.5
14,26.5
15,26.5
16,26.5
17,26.5
18,26.5
19,26.5
20,26.5
21,26.5
22,26.5
23,26.5
24,26.5
25,26.5
26,26.5
27,26.5
28,26.5
29,26.5
30,26.5
31,26.5
32,26.5
33,26.5
34,26.5
35,26.5
36,26.5
37,26.5
38,26.5
39,26.5
40,26.5
41,26.5
42,26.5
43,26.5
44,26.5
45,26.5
46,26.5
47,26.5
48,26.5
49,26.5
50,26.5
51,26.5
52,26.5
53,26.5
54,26.5
55,26.5
56,26.5
57,26.5
58,26.5
59,26.5
60,26.5
61,26.5
62,26.5
63,26.5
64,26.5
65,26.5
66,26.5
67,26.5
68,26.5
69,26.5
70,26.5
71,26.5
72,26.5
73,26.5
74,26.5
75,26.5
76,26.5
77,26.5
78,26.5
79,26.5
80,26.5
81,26.5
82,26.5
83,26.5
84,26.5
85,26.5
86,26.5
87,26.5
88,26.5
89,26.5
90,26.5
91,26.5
92,26.5
93,26.5
94,26.5
95,26.5
96,26.5
97,26.5
98,26.5
99,26.5
100,26.5
101,26.5
102,26.0
103,26.0
104,26.0
105,26.0
106,26.0
107,26.0
108,26.0
109,26.0
110,26.0
111,26.0
112,26.0
113,26.0
114,26.0
115,26.0
116,26.0
117,26.0
118,26.0
119,26.0
120,26.0
121,26.0
122,26.0
123,26.0
124,26.0
125,26.0
126,26.0
127,26.0
128,26.0
129,26.0
130,26.0
131,26.0
132,26.0
133,26.0
134,26.0
135,26.0
136,26.0
137,26.0
138,26.0
139,26.0
140,26.0
141,25.0
142,25.0
143,25.0
144,25.0
145,25.0
146,25.0
147,25.0
148,25.0
149,25.0
150,25.0
151,25.0
152,25.0
153,25.0
154,25.0
155,25.0
156,25.0
157,25.0
158,25.0
159,25.0
160,25.0
161,25.0
162,25.0
163,25.0
164,25.0
165,25.0
166,25.0
167,25.0
168,25.0
169,25.0
170,25.0
171,25.0
172,25.0
173,25.0
174,25.0
175,25.0
176,25.0
177,25.0
178,25.0
179,25.0
180,25.0
181,25.0
182,25.0
183,25.0
184,25.0
185,25.0
186,25.0
187,25.0
188,25.0
189,25.0
190,25.0
191,25.0
192,25.0
193,25.0
194,23.5
195,24.0
196,23.5
197,23.5
198,23.5
199,23.5
200,23.5
201,23.5
202,23.5
203,23.5
204,23.5
205,23.5
206,23.5
207,23.5
208,23.5
209,23.5
210,23.5
211,23.5
212,23.5
213,23.5
214,23.5
215,23.5
216,23.5
217,23.5
218,23.5
219,23.5
220,23.5
221,23.5
222,23.5
223,23.5
224,23.5
225,23.5
226,23.5
227,23.5
228,23.5
229,23.5
230,23.5
231,23.5
232,23.5
233,23.5
234,23.5
235,23.5
236,23.5
237,23.5
238,23.5
239,23.5
240,23.5
241,23.5
242,23.5
243,23.5
244,23.5
245,23.5
246,23.5
247,23.5
248,23.5
249,23.5
250,23.5
251,23.5
252,23.5
253,23.5
254,23.5
255,23.5
256,23.5
257,23.5
258,23.5
259,23.5
260,23.5
261,23.5
262,23.5
263,23.5
264,23.5
265,23.5
266,23.5
267,23.5
268,23.5
269,23.5
270,23.5
271,23.5
272,23.5
273,23.5
274,23.5
275,23.5
276,23.5
277,23.5
278,23.5
279,23.5
280,23.5
281,23.5
282,23.5
283,23.5
284,23.5
285,23.5
286,23.5
287,23.5
288,23.5
289,23.5
290,23.5
291,23.5
292,23.5
293,23.5
294,23.5
295,23.5
296,23.5
297,23.5
298,23.5
299,23.5
300,23.5
301,23.5
302,23.5
303,23.5
304,23.5
305,23.5
306,23.5
307,23.5
308,23.5
309,23.5
310,23.504770278930664
311,23.504770278930664
312,23.504770278930664
313,23.504770278930664
314,23.504770278930664
315,23.504770278930664
316,23.504770278930664
