ID,平均价
0,4.5
1,4.5
2,5.0
3,5.0
4,5.0
5,5.0
6,5.0
7,5.0
8,5.0
9,5.0
10,5.0
11,5.0
12,5.0
13,5.0
14,5.0
15,5.0
16,5.0
17,5.0
18,5.0
19,5.0
20,5.0
21,5.0
22,5.0
23,5.0
24,5.0
25,6.0
26,6.0
27,6.0
28,6.0
29,6.0
30,6.0
31,6.0
32,6.0
33,6.0
34,6.0
35,6.0
36,6.0
37,6.0
38,6.0
39,6.0
40,6.0
41,6.0
42,6.0
43,6.0
44,6.0
45,6.0
46,6.0
47,6.0
48,6.0
49,6.0
50,6.0
51,6.0
52,6.0
53,6.0
54,6.0
55,6.0
56,6.0
57,6.0
58,6.0
59,6.0
60,6.0
61,6.0
62,6.0
63,6.0
64,6.0
65,7.0
66,7.0
67,7.0
68,7.0
69,7.0
70,7.0
71,7.0
72,7.0
73,7.0
74,7.0
75,7.0
76,7.0
77,7.0
78,7.0
79,7.0
80,7.0
81,7.0
82,7.0
83,7.0
84,7.0
85,7.0
86,7.0
87,7.0
88,7.0
89,7.0
90,7.0
91,7.0
92,7.0
93,7.0
94,7.0
95,7.0
96,7.0
97,7.0
98,7.0
99,7.0
100,7.0
101,8.0
102,8.0
103,8.0
104,8.0
105,8.0
106,8.0
107,8.0
108,8.0
109,8.0
110,8.0
111,8.0
112,8.0
113,8.0
114,8.0
115,8.0
116,8.0
117,8.0
118,8.0
119,8.0
120,8.0
121,8.0
122,8.0
123,8.0
124,8.0
125,8.0
126,8.0
127,8.0
128,8.0
129,8.0
130,8.0
131,8.0
132,8.0
133,8.0
134,8.0
135,8.0
136,8.0
137,8.0
138,8.0
139,8.0
140,8.0
141,8.0
142,8.0
143,8.0
144,8.0
145,8.0
146,8.0
147,8.0
148,8.0
149,8.0
150,8.0
151,6.5
152,6.5
153,6.5
154,6.5
155,6.5
156,6.5
157,6.5
158,6.5
159,6.5
160,6.5
161,6.5
162,6.5
163,6.5
164,6.5
165,6.5
166,6.5
167,6.5
168,6.5
169,6.5
170,6.5
171,6.5
172,6.5
173,6.5
174,6.5
175,6.5
176,6.5
177,6.5
178,6.5
179,6.5
180,6.5
181,6.5
182,6.5
183,6.5
184,6.5
185,6.5
186,6.5
187,6.5
188,6.0
189,6.0
190,6.0
191,6.0
192,6.0
193,6.0
194,4.5
195,6.0
196,5.5
197,5.5
198,5.5
199,4.5
200,4.5
201,4.5
202,4.5
203,4.5
204,4.5
205,4.5
206,4.5
207,4.5
208,4.5
209,4.5
210,4.5
211,4.5
212,4.5
213,4.5
214,4.5
215,4.5
216,4.5
217,4.5
218,4.5
219,4.5
220,4.5
221,4.5
222,4.5
223,4.5
224,4.5
225,4.5
226,4.5
227,4.5
228,4.5
229,4.5
230,4.5
231,4.5
232,4.5
233,4.5
234,4.5
235,4.5
236,4.5
237,4.5
238,4.5
239,4.5
240,4.5
241,4.5
242,4.5
243,4.5
244,4.5
245,4.5
246,4.5
247,4.5
248,4.5
249,4.5
250,4.5
251,4.5
252,4.5
253,4.5
254,4.5
255,4.5
256,4.5
257,4.5
258,4.5
259,4.5
260,4.5
261,4.5
262,4.5
263,4.5
264,4.5
265,4.5
266,4.5
267,4.5
268,4.5
269,4.5
270,4.5
271,4.5
272,4.5
273,4.5
274,4.5
275,4.5
276,4.5
277,4.5
278,4.5
279,4.5
280,4.5
281,4.5
282,4.5
283,4.5
284,4.5
285,4.0
286,4.0
287,4.0
288,4.0
289,4.0
290,4.0
291,4.0
292,4.0
293,4.0
294,4.0
295,4.0
296,4.0
297,4.0
298,4.0
299,4.0
300,4.0
301,4.0
302,4.0
303,4.0
304,4.0
305,4.0
306,4.0
307,4.0
308,4.0
309,4.0
310,4.028568744659424
311,4.028568744659424
312,4.028568744659424
313,4.028568744659424
314,4.028568744659424
315,4.028568744659424
316,4.028568744659424
