ID,平均价
0,11.5
1,11.5
2,11.5
3,11.5
4,11.5
5,11.5
6,11.5
7,11.5
8,11.5
9,11.5
10,11.5
11,11.5
12,11.25
13,10.75
14,10.75
15,10.75
16,11.0
17,11.0
18,11.0
19,10.75
20,10.75
21,10.75
22,10.75
23,10.75
24,10.75
25,10.75
26,10.75
27,10.75
28,10.75
29,10.75
30,11.0
31,11.0
32,11.0
33,11.0
34,11.0
35,11.0
36,11.0
37,11.0
38,11.0
39,11.5
40,11.75
41,11.75
42,11.75
43,11.75
44,11.75
45,11.75
46,11.75
47,11.5
48,11.75
49,11.75
50,11.75
51,11.75
52,11.75
53,12.0
54,12.0
55,12.5
56,12.5
57,12.5
58,12.0
59,12.0
60,11.5
61,11.5
62,11.75
63,11.75
64,12.0
65,12.5
66,12.5
67,12.5
68,12.5
69,12.5
70,12.5
71,12.5
72,12.5
73,12.5
74,12.5
75,13.5
76,13.5
77,12.5
78,12.5
79,12.5
80,12.5
81,12.5
82,13.5
83,13.5
84,13.5
85,13.5
86,13.5
87,13.5
88,13.5
89,14.0
90,14.0
91,14.0
92,14.0
93,14.0
94,14.0
95,14.0
96,14.5
97,14.5
98,14.5
99,14.0
100,14.0
101,14.0
102,14.0
103,13.5
104,13.5
105,14.0
106,14.0
107,14.0
108,14.0
109,14.0
110,13.5
111,13.5
112,13.75
113,14.25
114,14.25
115,14.25
116,14.25
117,13.5
118,13.5
119,13.5
120,13.5
121,13.5
122,13.5
123,13.5
124,13.5
125,13.5
126,14.25
127,14.0
128,13.5
129,13.5
130,13.5
131,13.5
132,13.5
133,13.5
134,13.5
135,13.5
136,13.5
137,13.75
138,13.75
139,13.75
140,13.5
141,13.5
142,13.5
143,13.5
144,13.5
145,13.5
146,15.25
147,14.25
148,13.75
149,13.75
150,13.75
151,13.75
152,13.75
153,13.5
154,13.5
155,13.5
156,12.25
157,12.25
158,12.25
159,12.25
160,11.5
161,11.5
162,11.25
163,11.25
164,11.25
165,11.5
166,11.5
167,11.5
168,11.5
169,11.5
170,11.25
171,11.25
172,11.25
173,11.25
174,11.25
175,11.25
176,11.0
177,11.0
178,11.0
179,11.0
180,11.5
181,11.5
182,11.5
183,11.0
184,11.0
185,11.0
186,11.0
187,11.0
188,11.0
189,11.0
190,11.0
191,11.0
192,11.0
193,11.0
194,11.5
195,10.75
196,10.75
197,10.75
198,10.75
199,10.75
200,11.0
201,11.0
202,11.0
203,11.0
204,10.5
205,10.75
206,10.75
207,10.75
208,10.75
209,10.75
210,10.75
211,11.0
212,11.25
213,11.25
214,11.5
215,11.0
216,11.0
217,11.5
218,11.5
219,11.5
220,11.5
221,11.5
222,11.0
223,10.5
224,10.5
225,10.5
226,10.5
227,10.5
228,10.5
229,10.75
230,10.75
231,10.75
232,10.75
233,10.75
234,10.75
235,10.75
236,11.0
237,11.25
238,10.75
239,10.75
240,10.75
241,11.5
242,11.5
243,11.5
244,11.75
245,11.75
246,11.75
247,12.25
248,12.25
249,12.25
250,12.5
251,12.5
252,12.25
253,11.75
254,11.75
255,11.5
256,11.5
257,10.5
258,10.5
259,10.5
260,10.5
261,10.5
262,10.5
263,10.5
264,10.75
265,10.75
266,10.75
267,11.25
268,11.25
269,11.25
270,11.25
271,11.5
272,11.5
273,11.5
274,11.5
275,11.5
276,11.5
277,11.5
278,11.5
279,11.75
280,11.75
281,11.75
282,11.75
283,11.75
284,11.75
285,11.75
286,11.75
287,12.0
288,12.5
289,12.5
290,11.75
291,11.75
292,11.75
293,12.5
294,12.5
295,12.5
296,12.5
297,12.5
298,12.5
299,12.5
300,12.5
301,12.5
302,12.5
303,12.5
304,12.5
305,12.5
306,12.5
307,12.5
308,12.5
309,12.5
310,12.5
311,12.5
312,12.5
313,12.5
314,12.5
315,12.5
316,13.0
317,13.0
318,12.5
319,12.5
320,12.5
321,12.5
322,12.5
323,12.5
324,12.25
325,12.25
326,12.5
327,12.5
328,12.5
329,12.5
330,12.5
331,12.5
332,12.5
333,12.5
334,12.5
335,12.5
336,13.5
337,14.25
338,14.25
339,14.5
340,15.0
341,15.0
342,14.0
343,15.5
344,13.5
345,14.0
346,13.5
347,13.5
348,14.5
349,15.0
350,15.0
351,15.0
352,15.5
353,15.5
354,15.5
355,15.5
356,15.5
357,15.5
358,15.5
359,15.5
360,14.992250442504883
361,14.992250442504883
362,14.992250442504883
363,14.992250442504883
364,14.992250442504883
365,14.992250442504883
366,14.992250442504883
