ID,平均价
0,6.48
1,6.48
2,6.53
3,6.53
4,6.53
5,6.53
6,6.53
7,6.53
8,6.53
9,6.53
10,6.53
11,6.53
12,6.53
13,6.53
14,6.63
15,6.63
16,6.69
17,6.69
18,6.73
19,6.73
20,6.73
21,6.73
22,6.75
23,6.75
24,6.75
25,6.8
26,6.8
27,7.05
28,7.05
29,7.05
30,7.05
31,7.05
32,7.05
33,7.05
34,7.05
35,7.05
36,7.05
37,7.05
38,7.05
39,7.2
40,7.2
41,7.2
42,7.2
43,7.2
44,7.14
45,7.14
46,7.14
47,7.1
48,7.25
49,7.25
50,7.25
51,7.25
52,7.25
53,7.25
54,7.25
55,7.25
56,7.25
57,7.25
58,7.25
59,7.25
60,7.25
61,7.25
62,7.25
63,7.25
64,7.25
65,7.25
66,7.25
67,7.3
68,7.3
69,7.3
70,7.35
71,7.3
72,7.3
73,7.3
74,7.3
75,7.3
76,7.4
77,7.4
78,7.5
79,7.5
80,7.5
81,7.5
82,7.5
83,7.55
84,7.55
85,7.55
86,7.8
87,7.8
88,7.8
89,7.8
90,7.8
91,7.8
92,7.8
93,7.8
94,7.9
95,7.9
96,7.9
97,7.9
98,8.05
99,8.05
100,8.15
101,8.15
102,8.15
103,8.15
104,8.15
105,8.15
106,8.2
107,8.2
108,8.2
109,8.2
110,8.2
111,8.2
112,8.2
113,8.2
114,8.2
115,8.2
116,8.2
117,8.2
118,8.15
119,7.95
120,7.95
121,7.95
122,7.95
123,7.95
124,7.95
125,7.95
126,7.95
127,7.95
128,8.0
129,8.0
130,8.0
131,7.8
132,7.8
133,7.8
134,7.8
135,7.8
136,7.8
137,7.8
138,7.8
139,7.8
140,7.95
141,7.95
142,7.95
143,7.95
144,7.8
145,7.8
146,7.8
147,7.8
148,7.73
149,7.73
150,7.73
151,7.6
152,7.45
153,7.45
154,7.45
155,7.45
156,7.45
157,7.45
158,7.45
159,7.45
160,7.35
161,7.35
162,7.35
163,7.35
164,7.35
165,7.35
166,7.25
167,7.25
168,7.15
169,7.15
170,7.15
171,7.15
172,7.15
173,7.15
174,7.15
175,7.15
176,7.15
177,7.15
178,7.15
179,6.9
180,6.9
181,6.9
182,6.9
183,6.9
184,6.9
185,6.9
186,7.0
187,7.0
188,7.0
189,7.0
190,7.0
191,7.15
192,7.15
193,7.15
194,7.15
195,7.15
196,7.15
197,7.15
198,7.15
199,7.15
200,7.25
201,7.25
202,7.25
203,7.25
204,7.25
205,7.25
206,7.25
207,7.25
208,7.25
209,7.25
210,7.25
211,7.25
212,7.25
213,7.25
214,7.25
215,7.35
216,7.35
217,7.35
218,7.35
219,7.35
220,7.35
221,7.35
222,7.35
223,7.25
224,7.1
225,7.1
226,7.1
227,7.25
228,7.25
229,7.3
230,7.5
231,7.5
232,7.5
233,7.5
234,7.45
235,7.45
236,7.45
237,7.45
238,7.5
239,7.5
240,7.5
241,7.45
242,7.45
243,7.45
244,7.45
245,7.2
246,7.2
247,7.25
248,7.25
249,7.25
250,7.25
251,7.25
252,7.25
253,7.31
254,7.37
255,7.37
256,7.37
257,7.37
258,7.18
259,6.95
260,7.0
261,7.0
262,7.0
263,7.0
264,7.0
265,7.0
266,7.0
267,7.0
268,7.0
269,7.0
270,7.0
271,7.15
272,7.15
273,7.15
274,7.3
275,7.3
276,7.3
277,7.3
278,7.3
279,7.3
280,7.3
281,7.3
282,7.3
283,7.3
284,7.3
285,7.22
286,7.22
287,7.22
288,7.22
289,7.22
290,7.18
291,7.18
292,7.18
293,7.15
294,7.1
295,7.1
296,6.95
297,6.95
298,6.91
299,6.91
300,6.91
301,6.91
302,6.91
303,6.88
304,6.55
305,6.55
306,6.55
307,6.55
308,6.55
309,6.31
310,6.31
311,6.31
312,6.31
313,6.31
314,6.31
315,6.31
316,6.31
317,6.31
318,6.31
319,6.31
320,6.31
321,6.88
322,6.88
323,6.88
324,6.81
325,6.83
326,6.83
327,6.83
328,6.83
329,6.83
330,6.55
331,6.55
332,6.55
333,6.55
334,6.55
335,6.55
336,6.55
337,6.55
338,6.55
339,6.55
340,6.95
341,6.95
342,6.95
343,6.95
344,6.95
345,6.95
346,6.95
347,6.95
348,6.85
349,6.85
350,6.75
351,6.75
352,6.75
353,6.75
354,6.65
355,6.3
356,6.3
357,6.3
358,6.3
359,6.3
360,6.876233100891113
361,6.876233100891113
362,6.876233100891113
363,6.876233100891113
364,6.876233100891113
365,6.876233100891113
366,6.876233100891113
