ID,平均价
0,10.0
1,10.5
2,10.5
3,10.5
4,10.5
5,10.5
6,10.5
7,10.5
8,10.5
9,10.5
10,10.5
11,10.5
12,10.5
13,10.0
14,9.75
15,9.75
16,9.75
17,9.75
18,9.75
19,9.75
20,9.75
21,10.25
22,10.25
23,10.25
24,10.25
25,10.25
26,10.0
27,10.0
28,10.0
29,10.0
30,10.0
31,10.0
32,10.0
33,10.0
34,10.0
35,10.0
36,10.5
37,10.5
38,10.5
39,10.5
40,10.5
41,10.5
42,10.5
43,10.5
44,10.5
45,10.5
46,10.5
47,10.5
48,10.5
49,10.5
50,10.5
51,10.5
52,10.5
53,10.5
54,10.5
55,10.5
56,10.5
57,10.5
58,10.75
59,10.75
60,10.5
61,10.5
62,10.5
63,10.5
64,10.5
65,11.0
66,11.0
67,11.0
68,11.0
69,11.0
70,10.5
71,10.5
72,11.0
73,11.0
74,11.0
75,11.0
76,11.0
77,10.5
78,10.5
79,10.5
80,10.5
81,10.5
82,11.0
83,11.0
84,11.0
85,11.0
86,11.0
87,11.25
88,11.25
89,11.25
90,11.25
91,11.25
92,11.25
93,11.25
94,11.25
95,11.25
96,11.5
97,11.5
98,11.5
99,11.5
100,11.5
101,11.5
102,11.5
103,11.0
104,11.0
105,11.25
106,11.25
107,11.25
108,11.25
109,11.25
110,11.25
111,11.25
112,11.25
113,11.5
114,11.5
115,11.5
116,11.5
117,11.5
118,11.5
119,11.5
120,11.5
121,11.5
122,11.5
123,11.5
124,11.5
125,11.5
126,12.0
127,12.0
128,12.0
129,12.0
130,12.0
131,12.0
132,12.5
133,12.5
134,12.25
135,12.0
136,12.0
137,12.0
138,12.0
139,12.0
140,11.5
141,11.5
142,11.5
143,11.5
144,11.5
145,11.75
146,12.25
147,12.25
148,11.75
149,11.75
150,11.75
151,11.75
152,11.75
153,11.0
154,11.5
155,11.5
156,10.5
157,10.5
158,11.0
159,11.0
160,10.5
161,10.0
162,10.0
163,10.0
164,10.0
165,10.0
166,10.0
167,10.0
168,10.0
169,9.75
170,9.75
171,9.75
172,9.75
173,9.75
174,9.75
175,9.75
176,9.75
177,9.75
178,9.75
179,9.75
180,10.0
181,10.0
182,10.25
183,10.25
184,10.25
185,10.25
186,10.25
187,10.25
188,10.0
189,10.0
190,10.0
191,10.0
192,10.0
193,10.0
194,10.0
195,10.0
196,10.0
197,10.0
198,10.0
199,10.0
200,10.0
201,10.0
202,10.0
203,10.0
204,10.0
205,10.0
206,10.0
207,10.0
208,10.25
209,10.25
210,10.25
211,10.25
212,10.25
213,10.25
214,10.25
215,10.25
216,10.25
217,10.25
218,10.25
219,10.25
220,10.25
221,10.25
222,10.25
223,10.5
224,10.25
225,10.25
226,10.25
227,10.0
228,10.0
229,10.25
230,10.0
231,10.0
232,10.0
233,10.0
234,10.0
235,10.0
236,10.0
237,10.0
238,10.0
239,10.0
240,10.0
241,10.0
242,10.0
243,10.0
244,10.0
245,10.0
246,10.0
247,10.5
248,10.5
249,10.5
250,10.5
251,10.5
252,10.25
253,10.25
254,10.25
255,10.25
256,10.25
257,10.25
258,10.25
259,10.25
260,9.75
261,10.25
262,9.75
263,9.75
264,9.75
265,10.0
266,10.0
267,10.0
268,10.0
269,10.0
270,10.0
271,10.0
272,10.0
273,10.0
274,10.0
275,10.0
276,9.75
277,10.0
278,9.75
279,9.75
280,9.75
281,10.0
282,10.5
283,10.5
284,10.5
285,10.5
286,10.5
287,10.5
288,10.5
289,10.5
290,10.5
291,10.5
292,10.5
293,10.5
294,10.75
295,11.0
296,11.0
297,11.0
298,11.0
299,11.25
300,11.5
301,11.5
302,11.5
303,11.5
304,11.5
305,11.5
306,11.5
307,11.5
308,11.5
309,11.5
310,11.5
311,11.5
312,11.0
313,11.0
314,11.0
315,11.5
316,12.0
317,11.5
318,10.5
319,10.5
320,11.0
321,11.0
322,11.0
323,11.5
324,11.5
325,11.5
326,11.5
327,11.5
328,12.5
329,12.5
330,12.5
331,12.5
332,12.5
333,12.5
334,12.5
335,12.5
336,12.5
337,13.5
338,13.5
339,14.5
340,12.5
341,12.5
342,12.5
343,13.5
344,13.5
345,12.5
346,12.5
347,12.5
348,13.5
349,13.5
350,13.5
351,13.5
352,13.5
353,13.5
354,12.5
355,12.5
356,12.5
357,13.5
358,14.0
359,15.5
360,13.370862007141113
361,13.370862007141113
362,13.370862007141113
363,13.370862007141113
364,13.370862007141113
365,13.370862007141113
366,13.370862007141113
