ID,平均价
0,9.5
1,9.5
2,9.5
3,9.5
4,9.5
5,9.5
6,9.5
7,9.5
8,9.5
9,9.5
10,9.5
11,9.5
12,9.5
13,9.5
14,9.5
15,9.5
16,9.5
17,9.5
18,9.5
19,9.5
20,9.5
21,9.5
22,9.5
23,9.5
24,9.5
25,9.5
26,9.5
27,9.5
28,9.5
29,9.5
30,9.5
31,9.5
32,9.5
33,9.5
34,9.5
35,9.5
36,9.5
37,9.5
38,9.5
39,9.5
40,9.5
41,9.5
42,9.5
43,9.5
44,9.5
45,9.5
46,9.5
47,9.5
48,9.5
49,9.5
50,9.5
51,9.5
52,9.5
53,9.5
54,9.5
55,9.5
56,9.5
57,9.5
58,9.5
59,9.5
60,9.5
61,9.5
62,9.5
63,9.5
64,9.5
65,9.5
66,9.5
67,9.5
68,9.5
69,9.5
70,10.0
71,10.0
72,10.0
73,10.0
74,10.0
75,10.0
76,10.0
77,10.0
78,10.0
79,10.0
80,10.0
81,10.0
82,10.5
83,10.5
84,10.5
85,10.5
86,10.5
87,10.5
88,10.5
89,11.5
90,11.5
91,11.5
92,11.5
93,11.5
94,11.5
95,11.5
96,11.5
97,11.5
98,11.5
99,10.5
100,10.5
101,10.5
102,10.5
103,10.5
104,10.5
105,10.5
106,10.5
107,10.5
108,10.5
109,10.25
110,10.0
111,10.0
112,10.0
113,10.5
114,10.5
115,10.5
116,10.5
117,10.5
118,10.5
119,10.5
120,10.5
121,10.5
122,10.5
123,10.5
124,10.5
125,10.5
126,11.5
127,11.5
128,10.5
129,10.5
130,10.5
131,10.5
132,10.5
133,10.5
134,10.5
135,10.5
136,10.5
137,10.5
138,10.5
139,10.5
140,10.5
141,10.5
142,10.5
143,10.5
144,10.5
145,11.0
146,11.5
147,11.5
148,11.5
149,11.0
150,11.0
151,11.25
152,10.75
153,10.0
154,11.0
155,11.0
156,9.0
157,9.0
158,9.5
159,9.5
160,9.0
161,9.0
162,9.0
163,9.0
164,9.0
165,9.0
166,9.0
167,9.0
168,9.0
169,8.5
170,8.5
171,8.5
172,8.5
173,8.5
174,8.5
175,8.5
176,8.5
177,8.5
178,8.5
179,8.5
180,8.5
181,8.5
182,8.5
183,8.5
184,8.5
185,8.5
186,8.5
187,8.5
188,8.5
189,8.5
190,8.5
191,9.0
192,9.0
193,9.0
194,9.0
195,9.0
196,9.0
197,8.75
198,8.75
199,8.75
200,8.75
201,8.75
202,8.75
203,8.75
204,8.75
205,9.0
206,9.0
207,9.0
208,9.0
209,9.0
210,9.0
211,9.0
212,9.25
213,9.25
214,9.25
215,9.0
216,9.0
217,9.0
218,9.0
219,8.75
220,8.75
221,8.5
222,8.5
223,8.5
224,8.5
225,8.5
226,8.5
227,8.5
228,8.5
229,8.5
230,8.5
231,8.5
232,8.5
233,8.5
234,8.5
235,8.5
236,9.0
237,9.0
238,9.0
239,9.0
240,9.25
241,9.25
242,9.25
243,9.5
244,9.5
245,9.5
246,9.5
247,9.5
248,9.5
249,9.5
250,9.5
251,9.5
252,9.5
253,9.0
254,9.0
255,9.0
256,9.0
257,9.0
258,9.0
259,9.0
260,8.75
261,8.75
262,8.75
263,8.75
264,8.75
265,8.75
266,9.0
267,9.0
268,9.0
269,9.0
270,9.0
271,9.0
272,9.0
273,9.0
274,9.0
275,9.0
276,9.0
277,9.0
278,9.0
279,9.0
280,9.0
281,9.0
282,9.0
283,9.0
284,9.0
285,9.0
286,9.0
287,9.0
288,9.0
289,8.5
290,8.5
291,8.5
292,8.5
293,8.5
294,8.5
295,8.5
296,8.5
297,8.5
298,8.5
299,8.75
300,9.0
301,9.0
302,9.0
303,9.0
304,9.5
305,9.5
306,9.5
307,9.5
308,9.5
309,9.5
310,9.5
311,9.75
312,9.75
313,9.75
314,9.75
315,9.75
316,9.75
317,9.5
318,9.5
319,9.5
320,9.5
321,9.5
322,9.5
323,9.5
324,9.5
325,9.5
326,9.5
327,9.5
328,9.5
329,9.5
330,10.5
331,10.5
332,10.5
333,10.5
334,10.5
335,10.5
336,10.5
337,11.5
338,11.5
339,12.5
340,12.5
341,12.5
342,12.0
343,12.5
344,11.5
345,11.5
346,11.5
347,11.5
348,11.5
349,11.5
350,11.5
351,11.5
352,11.5
353,11.5
354,11.5
355,11.5
356,11.5
357,12.5
358,12.5
359,13.0
360,11.498802185058594
361,11.498802185058594
362,11.498802185058594
363,11.498802185058594
364,11.498802185058594
365,11.498802185058594
366,11.498802185058594
