ID,平均价
0,15.0
1,15.0
2,15.0
3,15.0
4,15.0
5,15.0
6,15.0
7,15.0
8,15.0
9,15.0
10,15.0
11,15.0
12,15.0
13,15.0
14,15.0
15,15.0
16,15.0
17,16.0
18,16.0
19,16.0
20,16.0
21,16.0
22,16.0
23,16.0
24,16.0
25,16.0
26,16.0
27,16.0
28,16.0
29,16.0
30,16.0
31,16.0
32,16.0
33,16.0
34,16.0
35,16.0
36,16.0
37,16.0
38,17.0
39,17.0
40,17.0
41,17.0
42,17.0
43,17.0
44,17.0
45,17.0
46,17.0
47,17.0
48,17.0
49,17.0
50,17.0
51,17.0
52,17.0
53,17.0
54,17.0
55,17.0
56,17.0
57,17.0
58,17.0
59,17.0
60,17.0
61,17.0
62,17.0
63,17.0
64,17.0
65,17.0
66,17.0
67,17.0
68,17.0
69,17.0
70,17.0
71,17.0
72,17.0
73,17.0
74,17.0
75,17.0
76,17.0
77,17.0
78,17.0
79,17.0
80,17.0
81,17.0
82,17.0
83,17.0
84,17.0
85,17.0
86,17.0
87,17.0
88,17.0
89,17.0
90,17.0
91,17.0
92,17.0
93,17.0
94,17.0
95,17.0
96,17.0
97,17.0
98,17.0
99,17.0
100,17.0
101,17.0
102,16.0
103,16.0
104,16.0
105,16.0
106,16.0
107,16.0
108,16.0
109,16.0
110,16.0
111,16.0
112,16.0
113,15.5
114,15.5
115,15.5
116,15.5
117,15.5
118,15.5
119,15.5
120,15.5
121,15.5
122,15.5
123,15.5
124,15.5
125,15.5
126,15.5
127,15.5
128,15.5
129,15.5
130,15.5
131,15.5
132,15.5
133,15.5
134,15.5
135,15.5
136,15.5
137,15.5
138,15.5
139,15.5
140,15.5
141,15.5
142,15.5
143,15.5
144,15.5
145,15.5
146,15.5
147,15.5
148,15.5
149,15.5
150,15.5
151,15.5
152,15.5
153,15.5
154,15.5
155,15.5
156,15.5
157,15.5
158,15.5
159,15.5
160,15.5
161,15.5
162,15.5
163,15.5
164,15.5
165,15.5
166,15.5
167,15.5
168,15.5
169,15.5
170,15.5
171,15.5
172,15.5
173,15.5
174,15.5
175,15.5
176,15.5
177,15.5
178,15.5
179,15.5
180,15.5
181,15.5
182,15.5
183,15.5
184,15.5
185,15.5
186,15.5
187,15.5
188,14.5
189,14.5
190,14.5
191,14.5
192,14.5
193,14.5
194,15.0
195,14.5
196,15.0
197,15.0
198,15.0
199,15.0
200,15.0
201,15.0
202,15.0
203,15.0
204,15.0
205,15.0
206,15.0
207,15.0
208,15.0
209,15.0
210,15.0
211,15.5
212,15.0
213,15.5
214,15.5
215,15.5
216,15.5
217,15.5
218,15.5
219,15.5
220,15.5
221,15.5
222,15.5
223,15.5
224,15.5
225,15.5
226,15.5
227,15.5
228,15.5
229,15.5
230,15.5
231,15.5
232,15.5
233,15.5
234,15.5
235,15.5
236,15.5
237,15.5
238,15.5
239,15.5
240,15.5
241,15.5
242,15.5
243,15.5
244,15.5
245,15.5
246,15.5
247,15.5
248,15.5
249,15.5
250,15.5
251,15.5
252,15.5
253,15.5
254,15.5
255,15.5
256,15.5
257,15.5
258,15.5
259,15.5
260,15.5
261,15.5
262,14.5
263,14.5
264,14.5
265,14.5
266,14.5
267,14.5
268,14.5
269,14.5
270,14.5
271,14.5
272,14.5
273,14.5
274,14.5
275,14.5
276,14.5
277,14.5
278,14.5
279,14.5
280,14.5
281,14.5
282,14.5
283,14.5
284,14.5
285,14.5
286,14.5
287,14.5
288,14.5
289,14.5
290,14.5
291,14.5
292,14.5
293,14.5
294,14.5
295,14.5
296,14.5
297,14.5
298,14.5
299,14.5
300,14.5
301,14.5
302,14.5
303,14.5
304,14.5
305,14.5
306,14.5
307,14.5
308,14.5
309,14.5
310,14.512332916259766
311,14.512332916259766
312,14.512332916259766
313,14.512332916259766
314,14.512332916259766
315,14.512332916259766
316,14.512332916259766
