ID,平均价
0,9.0
1,9.0
2,9.0
3,9.0
4,9.0
5,9.0
6,9.0
7,9.0
8,9.0
9,9.0
10,9.0
11,9.0
12,9.0
13,9.0
14,9.0
15,9.0
16,9.0
17,9.0
18,9.0
19,9.0
20,9.0
21,9.0
22,9.0
23,9.0
24,9.0
25,9.0
26,9.0
27,9.0
28,9.0
29,9.0
30,9.0
31,9.0
32,9.5
33,9.5
34,9.75
35,9.75
36,9.75
37,9.75
38,9.75
39,9.75
40,9.75
41,9.75
42,9.75
43,9.75
44,9.75
45,9.75
46,9.75
47,9.75
48,9.75
49,9.75
50,9.75
51,9.75
52,9.75
53,9.75
54,9.75
55,9.75
56,9.75
57,9.75
58,10.0
59,10.0
60,10.0
61,10.0
62,10.0
63,10.0
64,10.0
65,10.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,10.0
73,10.0
74,10.0
75,11.0
76,11.0
77,11.0
78,11.0
79,11.0
80,11.0
81,11.0
82,11.0
83,11.0
84,11.0
85,11.0
86,11.0
87,11.0
88,11.0
89,11.0
90,11.0
91,11.0
92,11.0
93,11.0
94,11.0
95,11.0
96,11.0
97,11.0
98,11.0
99,11.0
100,11.0
101,11.0
102,11.0
103,11.0
104,11.0
105,11.0
106,11.0
107,11.0
108,11.0
109,11.0
110,11.0
111,11.0
112,11.0
113,11.0
114,11.0
115,11.0
116,11.0
117,11.0
118,11.0
119,11.25
120,11.25
121,11.25
122,11.25
123,11.25
124,11.25
125,11.25
126,11.25
127,11.25
128,11.0
129,11.0
130,11.0
131,11.0
132,11.0
133,11.0
134,11.0
135,11.0
136,11.0
137,11.0
138,11.0
139,11.0
140,11.0
141,11.0
142,11.0
143,11.0
144,11.0
145,11.0
146,11.0
147,11.0
148,11.0
149,11.25
150,11.25
151,12.0
152,12.0
153,12.0
154,12.0
155,12.0
156,12.0
157,12.0
158,12.0
159,12.0
160,12.0
161,12.0
162,12.0
163,12.5
164,12.5
165,12.5
166,12.5
167,12.5
168,12.5
169,12.5
170,12.5
171,12.5
172,12.5
173,12.5
174,13.0
175,13.5
176,13.5
177,13.5
178,13.5
179,13.5
180,13.5
181,13.5
182,13.5
183,13.5
184,13.5
185,13.5
186,13.5
187,13.5
188,13.5
189,13.5
190,13.5
191,13.5
192,13.5
193,13.5
194,13.5
195,13.5
196,13.5
197,13.5
198,13.5
199,13.5
200,13.5
201,13.5
202,13.5
203,13.5
204,13.5
205,13.5
206,13.5
207,13.5
208,13.5
209,13.5
210,13.5
211,13.25
212,13.25
213,13.25
214,13.25
215,13.25
216,13.25
217,13.25
218,13.5
219,13.5
220,13.5
221,13.5
222,13.5
223,13.5
224,13.5
225,13.5
226,13.5
227,13.5
228,13.5
229,13.5
230,13.5
231,13.5
232,13.5
233,13.5
234,13.5
235,13.5
236,13.5
237,13.5
238,13.5
239,12.5
240,12.5
241,12.5
242,12.5
243,12.5
244,12.5
245,12.5
246,12.5
247,12.5
248,12.5
249,12.5
250,12.5
251,12.5
252,12.5
253,12.5
254,12.5
255,12.5
256,12.5
257,12.5
258,12.5
259,12.5
260,12.5
261,12.5
262,12.5
263,12.5
264,12.5
265,12.5
266,12.5
267,12.5
268,12.5
269,12.5
270,12.5
271,12.5
272,12.5
273,12.5
274,12.5
275,12.5
276,12.5
277,12.5
278,12.5
279,12.5
280,12.5
281,12.5
282,12.5
283,12.5
284,12.5
285,12.5
286,12.5
287,12.5
288,12.5
289,12.5
290,12.5
291,12.5
292,12.5
293,12.5
294,12.5
295,12.5
296,12.5
297,12.5
298,12.5
299,12.5
300,12.5
301,12.5
302,12.5
303,12.5
304,12.5
305,12.5
306,12.5
307,12.5
308,12.5
309,12.5
310,12.499865531921387
311,12.499865531921387
312,12.499865531921387
313,12.499865531921387
314,12.499865531921387
315,12.499865531921387
316,12.499865531921387
