ID,平均价
0,24.0
1,24.0
2,24.0
3,24.0
4,24.0
5,24.0
6,24.0
7,24.0
8,24.0
9,24.0
10,24.0
11,24.0
12,24.0
13,24.0
14,24.0
15,24.0
16,24.0
17,24.0
18,24.0
19,24.0
20,24.0
21,24.0
22,24.0
23,24.0
24,24.0
25,24.0
26,24.0
27,24.0
28,24.0
29,24.0
30,24.0
31,24.0
32,24.0
33,24.0
34,25.0
35,25.0
36,25.0
37,25.0
38,25.0
39,23.0
40,23.0
41,23.0
42,23.0
43,23.0
44,23.0
45,23.0
46,23.0
47,23.0
48,23.0
49,23.0
50,23.0
51,23.0
52,23.0
53,23.0
54,23.0
55,23.0
56,23.0
57,23.0
58,23.0
59,23.0
60,23.0
61,23.0
62,23.0
63,23.0
64,23.0
65,23.0
66,23.0
67,23.0
68,23.0
69,23.0
70,23.0
71,23.0
72,23.0
73,23.0
74,23.0
75,23.0
76,23.0
77,23.0
78,23.0
79,23.0
80,23.0
81,23.0
82,23.0
83,23.0
84,23.0
85,23.0
86,23.0
87,23.0
88,23.0
89,23.0
90,23.0
91,23.0
92,23.0
93,23.0
94,23.0
95,23.0
96,23.0
97,23.0
98,23.0
99,23.0
100,23.0
101,23.0
102,23.0
103,23.0
104,23.0
105,23.0
106,23.0
107,23.0
108,23.0
109,23.0
110,23.0
111,23.0
112,23.0
113,23.0
114,23.0
115,23.0
116,23.0
117,23.0
118,23.0
119,23.0
120,23.0
121,23.0
122,23.0
123,23.0
124,23.0
125,23.0
126,23.0
127,23.0
128,23.0
129,23.0
130,23.0
131,23.0
132,23.0
133,23.0
134,23.0
135,23.0
136,23.0
137,23.0
138,23.0
139,23.0
140,23.0
141,23.0
142,23.0
143,23.0
144,23.0
145,23.0
146,23.0
147,23.0
148,23.0
149,23.0
150,23.0
151,23.0
152,23.0
153,23.0
154,23.0
155,23.0
156,23.0
157,23.0
158,23.0
159,23.0
160,23.0
161,23.0
162,23.0
163,23.0
164,23.0
165,23.0
166,23.0
167,23.0
168,23.0
169,23.0
170,23.0
171,23.0
172,23.0
173,23.0
174,23.0
175,23.0
176,23.0
177,23.0
178,23.0
179,23.0
180,23.0
181,23.0
182,23.0
183,23.0
184,25.0
185,25.0
186,25.0
187,25.0
188,25.0
189,25.0
190,25.0
191,25.0
192,25.0
193,25.0
194,25.0
195,25.0
196,25.0
197,25.0
198,25.0
199,25.0
200,25.0
201,25.0
202,25.0
203,25.0
204,25.0
205,25.0
206,25.0
207,25.0
208,25.0
209,25.0
210,25.0
211,25.0
212,25.0
213,25.0
214,25.0
215,25.0
216,25.0
217,25.0
218,25.0
219,25.0
220,25.0
221,25.0
222,24.0
223,24.0
224,24.0
225,24.0
226,24.0
227,24.0
228,24.0
229,24.0
230,24.0
231,24.0
232,24.0
233,24.0
234,24.0
235,24.0
236,24.0
237,24.0
238,24.0
239,24.0
240,24.0
241,24.0
242,24.0
243,24.0
244,24.0
245,24.0
246,24.0
247,24.0
248,24.0
249,24.0
250,24.0
251,24.0
252,24.0
253,24.0
254,24.0
255,24.0
256,24.0
257,24.0
258,24.0
259,24.0
260,24.0
261,24.0
262,24.0
263,24.0
264,24.0
265,24.0
266,24.0
267,24.0
268,24.0
269,24.0
270,24.0
271,24.0
272,24.0
273,24.0
274,24.0
275,24.0
276,24.0
277,24.0
278,24.0
279,24.0
280,24.0
281,25.0
282,25.0
283,25.0
284,25.0
285,25.0
286,25.0
287,25.0
288,25.0
289,25.0
290,25.0
291,25.0
292,25.0
293,25.0
294,25.0
295,25.0
296,25.0
297,25.0
298,25.0
299,25.0
300,25.0
301,25.0
302,25.0
303,25.0
304,25.0
305,25.0
306,25.0
307,25.0
308,25.0
309,25.0
310,24.975988388061523
311,24.975988388061523
312,24.975988388061523
313,24.975988388061523
314,24.975988388061523
315,24.975988388061523
316,24.975988388061523
