ID,平均价
0,37.0
1,37.0
2,37.0
3,37.0
4,37.0
5,37.0
6,37.0
7,37.0
8,37.0
9,37.0
10,37.0
11,37.0
12,37.0
13,37.0
14,36.5
15,36.5
16,36.5
17,36.5
18,37.5
19,37.5
20,37.5
21,37.5
22,37.5
23,37.5
24,37.5
25,37.5
26,37.5
27,37.5
28,37.5
29,37.5
30,37.5
31,37.5
32,37.5
33,37.5
34,37.5
35,37.5
36,37.5
37,37.5
38,37.5
39,37.5
40,37.5
41,37.5
42,37.5
43,37.5
44,37.5
45,37.5
46,37.5
47,37.5
48,37.5
49,37.5
50,37.5
51,37.5
52,37.5
53,37.5
54,37.5
55,37.5
56,37.5
57,37.5
58,37.5
59,37.5
60,37.5
61,37.5
62,37.5
63,37.5
64,37.5
65,37.5
66,37.5
67,37.5
68,37.5
69,37.5
70,37.5
71,37.5
72,37.5
73,37.5
74,37.5
75,37.5
76,37.5
77,37.5
78,37.5
79,37.5
80,37.5
81,37.5
82,37.5
83,37.5
84,37.0
85,37.0
86,37.0
87,37.0
88,37.0
89,37.5
90,38.0
91,38.0
92,38.0
93,38.0
94,38.0
95,38.0
96,38.0
97,38.0
98,38.0
99,38.0
100,37.5
101,37.5
102,37.5
103,37.5
104,37.0
105,37.0
106,37.0
107,36.0
108,36.0
109,36.0
110,36.0
111,36.0
112,36.0
113,36.0
114,36.0
115,36.0
116,36.0
117,36.0
118,36.0
119,36.0
120,36.0
121,36.0
122,36.0
123,36.5
124,36.5
125,36.5
126,36.5
127,36.5
128,36.5
129,36.5
130,36.5
131,36.5
132,36.5
133,36.5
134,36.5
135,36.5
136,36.5
137,35.5
138,36.0
139,35.5
140,35.5
141,35.5
142,35.5
143,35.5
144,35.5
145,35.5
146,35.5
147,35.5
148,35.5
149,35.0
150,35.0
151,35.0
152,35.0
153,35.0
154,35.0
155,35.0
156,35.0
157,35.0
158,35.0
159,34.5
160,34.5
161,34.5
162,34.5
163,34.5
164,34.5
165,34.5
166,34.5
167,34.5
168,34.5
169,34.5
170,34.5
171,34.5
172,34.5
173,34.5
174,34.5
175,34.5
176,33.5
177,33.5
178,33.5
179,34.0
180,35.5
181,35.5
182,35.5
183,35.5
184,35.5
185,35.5
186,35.5
187,35.5
188,36.0
189,36.0
190,36.0
191,36.0
192,36.0
193,36.0
194,36.0
195,36.0
196,36.5
197,36.5
198,36.5
199,36.5
200,36.5
201,36.5
202,36.5
203,36.5
204,36.5
205,36.5
206,36.5
207,36.5
208,36.5
209,36.5
210,36.5
211,37.5
212,37.5
213,37.5
214,37.5
215,37.5
216,37.5
217,37.5
218,37.5
219,37.5
220,37.5
221,37.5
222,37.5
223,37.5
224,37.5
225,37.5
226,37.5
227,37.5
228,37.5
229,37.5
230,37.5
231,37.5
232,38.0
233,36.0
234,38.0
235,38.0
236,38.0
237,38.0
238,38.0
239,38.5
240,38.5
241,38.5
242,38.5
243,38.5
244,38.5
245,38.5
246,38.5
247,38.5
248,38.5
249,38.5
250,38.5
251,38.5
252,38.5
253,38.5
254,38.5
255,38.5
256,38.5
257,38.5
258,38.5
259,38.5
260,38.5
261,38.5
262,38.5
263,38.5
264,38.5
265,38.5
266,38.5
267,40.0
268,40.0
269,40.0
270,40.0
271,40.0
272,40.0
273,40.0
274,40.0
275,40.0
276,40.0
277,40.0
278,40.0
279,40.0
280,40.0
281,40.0
282,40.0
283,40.0
284,40.0
285,40.0
286,40.0
287,40.0
288,40.0
289,40.0
290,40.0
291,40.0
292,40.0
293,40.0
294,40.0
295,40.0
296,40.0
297,40.0
298,40.0
299,40.0
300,40.0
301,40.0
302,40.0
303,40.0
304,40.0
305,40.0
306,40.0
307,40.0
308,40.0
309,40.0
310,40.0
311,40.0
312,40.0
313,40.0
314,40.0
315,40.0
316,40.0
317,41.0
318,41.0
319,41.0
320,41.0
321,41.0
322,41.0
323,41.0
324,41.0
325,40.5
326,39.0
327,38.5
328,37.5
329,37.5
330,37.5
331,37.5
332,37.5
333,37.5
334,37.5
335,37.5
336,37.5
337,37.5
338,37.5
339,37.5
340,37.5
341,37.5
342,37.5
343,37.5
344,37.5
345,37.5
346,37.5
347,37.5
348,37.5
349,37.5
350,37.5
351,37.5
352,37.5
353,37.5
354,37.5
355,37.5
356,38.0
357,38.0
358,38.5
359,38.5
360,37.49943542480469
361,37.49943542480469
362,37.49943542480469
363,37.49943542480469
364,37.49943542480469
365,37.49943542480469
366,37.49943542480469
