ID,平均价
0,31.5
1,31.5
2,31.5
3,31.5
4,31.5
5,31.5
6,31.5
7,31.5
8,31.5
9,31.5
10,31.5
11,31.5
12,31.5
13,31.5
14,31.5
15,31.5
16,31.5
17,31.5
18,31.5
19,31.5
20,31.5
21,31.5
22,31.5
23,31.5
24,31.5
25,31.5
26,31.5
27,31.5
28,31.5
29,31.5
30,31.5
31,31.5
32,31.5
33,31.5
34,31.5
35,31.5
36,31.5
37,31.5
38,31.5
39,31.5
40,31.5
41,31.5
42,31.5
43,31.5
44,31.5
45,31.5
46,31.5
47,31.5
48,31.5
49,31.5
50,31.5
51,31.5
52,31.5
53,31.5
54,31.5
55,31.5
56,31.5
57,31.5
58,31.5
59,31.5
60,31.5
61,31.5
62,31.5
63,31.5
64,31.5
65,31.5
66,31.5
67,31.5
68,31.5
69,31.5
70,31.5
71,31.5
72,31.5
73,31.5
74,31.5
75,31.5
76,31.5
77,31.5
78,31.5
79,31.5
80,31.5
81,31.5
82,31.5
83,31.5
84,31.5
85,31.5
86,31.5
87,31.5
88,31.5
89,31.5
90,31.5
91,31.5
92,31.5
93,31.5
94,31.5
95,31.5
96,31.5
97,31.5
98,31.0
99,31.0
100,31.0
101,31.0
102,30.0
103,30.0
104,30.0
105,30.0
106,30.0
107,30.0
108,30.0
109,30.0
110,30.0
111,30.0
112,30.0
113,30.0
114,30.0
115,30.0
116,30.0
117,30.0
118,30.0
119,30.0
120,30.0
121,30.0
122,30.0
123,30.0
124,30.0
125,30.0
126,30.0
127,30.0
128,30.0
129,30.0
130,30.0
131,30.0
132,30.0
133,30.0
134,30.0
135,30.0
136,30.0
137,30.0
138,30.0
139,30.0
140,30.0
141,30.0
142,30.0
143,30.0
144,30.0
145,30.0
146,30.0
147,30.0
148,30.0
149,30.0
150,30.0
151,30.0
152,30.0
153,30.0
154,30.0
155,30.0
156,30.0
157,30.0
158,30.0
159,30.0
160,30.0
161,30.0
162,27.5
163,27.5
164,27.5
165,27.5
166,27.5
167,27.5
168,27.5
169,27.5
170,28.0
171,28.0
172,28.0
173,28.0
174,28.0
175,28.0
176,28.0
177,28.0
178,28.0
179,28.0
180,28.0
181,28.0
182,28.0
183,28.0
184,28.0
185,28.0
186,28.0
187,28.0
188,28.0
189,28.0
190,28.0
191,28.0
192,28.0
193,28.0
194,28.0
195,28.0
196,28.0
197,28.0
198,28.0
199,28.0
200,28.0
201,28.0
202,28.0
203,28.0
204,28.0
205,28.0
206,28.0
207,28.0
208,28.0
209,28.0
210,28.0
211,28.5
212,28.5
213,28.5
214,28.5
215,28.5
216,28.5
217,28.5
218,28.5
219,28.5
220,28.5
221,28.5
222,28.5
223,28.5
224,28.5
225,29.0
226,29.0
227,29.0
228,29.0
229,29.0
230,29.0
231,29.0
232,29.0
233,29.0
234,29.0
235,29.0
236,29.0
237,29.0
238,30.0
239,30.0
240,30.0
241,30.0
242,30.0
243,30.0
244,30.0
245,31.5
246,31.5
247,31.5
248,31.5
249,31.5
250,31.5
251,31.5
252,31.5
253,31.5
254,31.5
255,31.5
256,31.5
257,31.5
258,31.5
259,31.5
260,31.5
261,31.5
262,31.5
263,31.5
264,31.5
265,31.5
266,31.5
267,31.5
268,31.5
269,31.5
270,31.5
271,31.5
272,31.5
273,31.5
274,32.5
275,32.5
276,32.5
277,32.5
278,32.5
279,32.5
280,32.5
281,32.5
282,32.5
283,32.5
284,32.5
285,32.5
286,32.5
287,32.5
288,32.5
289,32.5
290,32.5
291,32.5
292,32.5
293,32.5
294,32.5
295,32.5
296,32.5
297,32.5
298,32.5
299,32.5
300,32.5
301,32.5
302,32.5
303,32.5
304,32.5
305,32.5
306,32.5
307,32.5
308,32.5
309,32.5
310,32.5
311,32.5
312,32.5
313,32.5
314,32.5
315,32.5
316,32.5
317,32.5
318,32.5
319,32.5
320,32.5
321,32.5
322,32.5
323,32.5
324,32.5
325,32.5
326,32.5
327,32.5
328,32.5
329,32.5
330,32.5
331,32.5
332,32.5
333,32.5
334,32.5
335,32.5
336,32.5
337,32.5
338,32.5
339,32.5
340,32.5
341,32.5
342,32.5
343,32.5
344,32.5
345,32.5
346,32.5
347,32.5
348,32.5
349,32.5
350,32.5
351,32.5
352,32.5
353,32.5
354,32.5
355,32.5
356,32.5
357,32.5
358,32.5
359,32.5
360,32.49348449707031
361,32.49348449707031
362,32.49348449707031
363,32.49348449707031
364,32.49348449707031
365,32.49348449707031
366,32.49348449707031
