ID,平均价
0,13.0
1,12.5
2,12.0
3,12.0
4,12.0
5,12.0
6,12.0
7,12.0
8,12.25
9,12.25
10,12.25
11,12.25
12,12.25
13,12.25
14,12.5
15,12.25
16,12.25
17,12.25
18,12.25
19,12.25
20,12.25
21,12.25
22,12.0
23,12.0
24,12.0
25,12.0
26,12.0
27,12.0
28,12.0
29,12.0
30,12.0
31,12.0
32,12.0
33,12.0
34,12.0
35,12.0
36,12.0
37,12.0
38,12.0
39,12.25
40,12.25
41,12.25
42,12.25
43,12.0
44,12.25
45,12.25
46,12.25
47,12.25
48,12.5
49,12.25
50,12.5
51,12.5
52,12.5
53,12.5
54,12.5
55,12.5
56,12.5
57,12.5
58,13.0
59,13.0
60,12.0
61,12.0
62,12.0
63,12.0
64,12.0
65,12.5
66,12.5
67,12.5
68,12.5
69,12.5
70,12.5
71,12.5
72,13.0
73,13.0
74,13.0
75,13.0
76,13.0
77,12.5
78,12.5
79,13.0
80,13.0
81,13.0
82,13.5
83,13.5
84,14.0
85,14.5
86,14.5
87,14.5
88,15.0
89,16.5
90,17.0
91,17.0
92,17.0
93,17.0
94,17.0
95,17.0
96,17.0
97,16.5
98,16.5
99,15.5
100,14.5
101,14.5
102,14.5
103,14.5
104,14.5
105,14.5
106,14.25
107,14.25
108,14.25
109,14.25
110,14.0
111,13.5
112,13.5
113,13.5
114,14.0
115,14.0
116,14.0
117,14.0
118,14.0
119,14.0
120,14.0
121,14.0
122,14.0
123,14.0
124,14.0
125,14.0
126,14.5
127,14.5
128,14.0
129,14.0
130,14.0
131,14.25
132,14.25
133,14.25
134,14.5
135,14.0
136,14.0
137,14.0
138,14.5
139,14.5
140,14.25
141,14.0
142,14.0
143,14.0
144,14.5
145,14.5
146,15.5
147,15.25
148,14.5
149,14.5
150,14.5
151,15.0
152,14.5
153,13.5
154,14.0
155,13.75
156,12.75
157,12.75
158,13.0
159,13.25
160,12.75
161,12.5
162,12.25
163,12.25
164,12.25
165,12.25
166,12.5
167,12.75
168,12.75
169,12.5
170,12.25
171,12.25
172,12.5
173,12.5
174,12.75
175,12.5
176,12.5
177,12.25
178,12.25
179,12.25
180,12.25
181,12.25
182,12.25
183,12.25
184,12.25
185,12.25
186,12.25
187,12.5
188,12.5
189,12.5
190,12.5
191,13.5
192,13.5
193,13.5
194,13.0
195,12.5
196,12.5
197,12.0
198,12.0
199,12.0
200,12.5
201,12.5
202,12.0
203,12.0
204,12.0
205,12.0
206,12.0
207,12.0
208,12.25
209,12.25
210,12.25
211,12.25
212,12.25
213,12.25
214,12.25
215,12.25
216,12.25
217,12.25
218,12.25
219,12.25
220,12.25
221,12.25
222,12.25
223,12.25
224,12.5
225,12.25
226,12.25
227,12.25
228,12.25
229,12.5
230,12.25
231,12.25
232,12.25
233,12.25
234,12.5
235,12.5
236,12.25
237,12.25
238,12.25
239,12.5
240,12.5
241,12.5
242,12.5
243,12.5
244,12.5
245,13.5
246,13.5
247,13.5
248,12.75
249,12.75
250,12.75
251,12.75
252,12.75
253,12.5
254,12.5
255,12.25
256,12.25
257,12.5
258,12.5
259,12.25
260,12.25
261,12.25
262,12.25
263,12.0
264,12.0
265,12.0
266,12.0
267,12.25
268,12.0
269,12.0
270,12.0
271,12.0
272,12.0
273,12.0
274,12.25
275,12.5
276,12.25
277,12.25
278,12.25
279,12.5
280,12.5
281,12.5
282,12.5
283,12.5
284,12.5
285,12.5
286,12.5
287,12.5
288,12.5
289,12.5
290,12.5
291,12.5
292,12.5
293,12.0
294,12.0
295,12.5
296,12.25
297,12.0
298,12.0
299,12.25
300,12.25
301,12.25
302,12.25
303,12.5
304,12.5
305,12.5
306,12.5
307,12.5
308,12.0
309,12.0
310,12.0
311,12.5
312,12.5
313,12.5
314,12.5
315,12.5
316,12.5
317,12.5
318,12.5
319,12.5
320,12.5
321,12.5
322,12.5
323,12.5
324,12.5
325,12.0
326,12.5
327,12.5
328,12.5
329,13.0
330,13.0
331,13.0
332,13.5
333,13.5
334,14.0
335,14.0
336,14.0
337,14.5
338,15.5
339,19.0
340,20.0
341,17.5
342,17.0
343,17.5
344,16.5
345,15.5
346,15.5
347,15.5
348,16.0
349,16.0
350,16.0
351,16.0
352,15.5
353,15.5
354,15.5
355,15.5
356,15.5
357,16.0
358,16.75
359,16.75
360,15.77892017364502
361,15.77892017364502
362,15.77892017364502
363,15.77892017364502
364,15.77892017364502
365,15.77892017364502
366,15.77892017364502
