ID,平均价
0,7.0
1,7.0
2,7.0
3,7.0
4,7.0
5,7.0
6,6.75
7,6.75
8,6.75
9,6.75
10,6.75
11,6.75
12,6.75
13,6.75
14,6.75
15,6.75
16,6.5
17,6.5
18,6.5
19,6.5
20,7.5
21,7.5
22,7.5
23,8.25
24,7.5
25,8.5
26,7.25
27,7.5
28,6.5
29,6.0
30,6.0
31,5.5
32,5.5
33,4.75
34,6.0
35,5.5
36,5.5
37,5.5
38,5.5
39,4.5
40,4.5
41,1.75
42,1.75
43,2.25
44,2.25
45,2.5
46,2.25
47,2.25
48,2.25
49,2.25
50,2.25
51,2.25
52,2.25
53,2.25
54,2.75
55,2.75
56,1.75
57,1.75
58,1.75
59,1.75
60,1.75
61,2.5
62,2.5
63,1.75
64,1.75
65,1.75
66,2.75
67,2.75
68,2.75
69,2.75
70,2.75
71,2.75
72,2.5
73,2.5
74,2.25
75,2.25
76,3.0
77,6.1
78,5.75
79,5.5
80,5.5
81,5.5
82,3.25
83,3.25
84,2.9
85,2.9
86,3.15
87,4.75
88,4.75
89,4.75
90,3.75
91,3.75
92,4.5
93,4.5
94,4.5
95,4.5
96,3.5
97,3.5
98,3.5
99,4.0
100,3.5
101,4.5
102,4.5
103,3.75
104,8.25
105,8.0
106,8.0
107,8.25
108,6.75
109,3.25
110,4.75
111,2.0
112,2.4
113,2.4
114,3.25
115,2.25
116,2.25
117,2.75
118,4.0
119,5.0
120,5.75
121,6.25
122,2.75
123,1.75
124,2.6
125,2.75
126,2.75
127,2.25
128,2.25
129,2.25
130,2.9
131,2.9
132,2.5
133,1.75
134,1.25
135,1.25
136,1.25
137,2.25
138,2.25
139,3.25
140,3.25
141,2.25
142,1.25
143,1.75
144,1.75
145,2.25
146,2.25
147,3.25
148,3.25
149,3.25
150,3.25
151,3.75
152,4.0
153,3.5
154,2.75
155,3.0
156,3.0
157,2.5
158,1.75
159,2.0
160,2.75
161,2.75
162,2.75
163,2.75
164,2.75
165,1.25
166,1.55
167,1.55
168,1.75
169,2.25
170,2.5
171,2.25
172,3.0
173,3.0
174,3.0
175,1.85
176,1.9
177,2.15
178,2.75
179,4.5
180,4.75
181,4.75
182,4.75
183,4.75
184,2.25
185,2.25
186,3.25
187,3.25
188,3.25
189,4.25
190,4.25
191,4.25
192,5.25
193,5.25
194,7.25
195,6.0
196,6.0
197,6.0
198,5.0
199,2.75
200,2.75
201,3.5
202,3.5
203,5.0
204,4.5
205,4.5
206,3.25
207,4.25
208,5.5
209,5.15
210,5.5
211,6.25
212,6.25
213,6.25
214,7.25
215,7.25
216,7.0
217,8.0
218,6.5
219,7.25
220,8.0
221,7.75
222,7.25
223,7.0
224,7.5
225,8.0
226,8.0
227,8.0
228,6.75
229,7.75
230,7.5
231,7.5
232,7.5
233,7.5
234,7.5
235,7.5
236,6.5
237,6.5
238,6.4
239,6.5
240,7.35
241,7.35
242,8.5
243,7.75
244,7.75
245,7.75
246,7.5
247,7.5
248,7.5
249,7.5
250,8.5
251,7.0
252,10.5
253,10.5
254,10.5
255,10.5
256,10.5
257,8.5
258,8.25
259,7.007320404052734
260,7.007320404052734
261,7.007320404052734
262,7.007320404052734
263,7.007320404052734
264,7.007320404052734
265,7.007320404052734
