ID,平均价
0,6.5
1,6.5
2,6.5
3,6.5
4,6.5
5,6.5
6,6.5
7,6.5
8,6.5
9,6.5
10,6.5
11,6.5
12,6.5
13,6.5
14,6.5
15,6.5
16,6.5
17,6.5
18,6.5
19,6.5
20,6.5
21,6.5
22,6.5
23,6.5
24,6.5
25,6.5
26,6.5
27,6.5
28,6.5
29,6.5
30,6.5
31,6.5
32,6.5
33,6.5
34,6.5
35,6.5
36,6.5
37,6.5
38,6.5
39,6.5
40,6.5
41,6.5
42,6.5
43,6.5
44,6.5
45,6.5
46,6.5
47,6.5
48,6.5
49,6.5
50,6.5
51,6.5
52,6.5
53,6.5
54,6.5
55,6.5
56,6.5
57,6.5
58,6.5
59,6.5
60,6.5
61,6.5
62,6.5
63,6.5
64,6.5
65,6.5
66,6.5
67,6.5
68,7.5
69,7.5
70,7.5
71,7.5
72,7.5
73,7.5
74,7.5
75,7.5
76,7.5
77,7.5
78,7.5
79,7.5
80,7.5
81,7.5
82,7.5
83,7.5
84,7.5
85,7.5
86,7.5
87,7.5
88,7.5
89,7.5
90,7.5
91,7.5
92,7.5
93,7.5
94,7.5
95,7.5
96,7.5
97,7.5
98,7.5
99,7.5
100,7.5
101,8.0
102,8.0
103,8.0
104,8.0
105,8.0
106,8.0
107,8.0
108,8.0
109,8.0
110,8.0
111,8.0
112,8.0
113,8.0
114,8.0
115,8.0
116,8.0
117,8.0
118,8.0
119,8.0
120,8.0
121,8.0
122,8.0
123,8.0
124,8.0
125,8.0
126,8.0
127,8.0
128,8.0
129,8.0
130,8.0
131,7.5
132,7.5
133,7.5
134,7.5
135,7.5
136,7.5
137,7.5
138,7.5
139,7.5
140,7.5
141,7.5
142,7.5
143,7.5
144,7.5
145,7.5
146,7.5
147,7.5
148,7.5
149,7.5
150,7.5
151,7.5
152,7.5
153,7.5
154,7.5
155,7.5
156,7.5
157,7.5
158,7.5
159,7.5
160,7.5
161,7.5
162,7.5
163,7.5
164,7.5
165,7.5
166,7.5
167,7.5
168,7.5
169,7.5
170,7.5
171,7.5
172,7.5
173,7.5
174,7.5
175,7.5
176,7.5
177,7.5
178,7.5
179,7.5
180,5.5
181,5.5
182,5.5
183,5.5
184,5.5
185,5.5
186,5.5
187,5.5
188,5.5
189,5.5
190,5.5
191,5.5
192,5.5
193,5.5
194,5.5
195,5.5
196,5.5
197,5.5
198,5.5
199,5.5
200,5.5
201,5.5
202,5.5
203,5.5
204,5.5
205,5.5
206,5.5
207,5.5
208,5.5
209,5.5
210,5.5
211,5.5
212,5.5
213,5.5
214,5.5
215,5.5
216,5.5
217,5.5
218,5.5
219,5.5
220,5.5
221,5.5
222,5.5
223,5.5
224,5.5
225,5.5
226,5.5
227,5.5
228,5.5
229,5.5
230,5.5
231,5.5
232,5.5
233,5.5
234,5.5
235,5.5
236,5.5
237,5.5
238,5.5
239,5.5
240,5.5
241,5.5
242,5.5
243,5.5
244,5.5
245,5.5
246,5.5
247,5.5
248,5.5
249,5.5
250,6.0
251,6.0
252,6.0
253,6.0
254,6.0
255,6.0
256,6.0
257,6.0
258,6.0
259,6.0
260,6.0
261,6.0
262,6.0
263,6.0
264,6.0
265,6.0
266,6.0
267,6.0
268,6.0
269,6.0
270,6.0
271,6.0
272,6.0
273,6.0
274,6.0
275,6.0
276,6.0
277,6.0
278,6.0
279,6.0
280,6.0
281,6.0
282,7.0
283,7.0
284,7.0
285,7.0
286,7.0
287,7.0
288,7.0
289,7.0
290,7.0
291,7.0
292,7.0
293,7.0
294,7.0
295,7.0
296,7.0
297,7.0
298,7.0
299,7.0
300,7.0
301,7.0
302,7.0
303,7.0
304,7.0
305,7.0
306,7.0
307,7.0
308,7.0
309,7.0
310,6.976108551025391
311,6.976108551025391
312,6.976108551025391
313,6.976108551025391
314,6.976108551025391
315,6.976108551025391
316,6.976108551025391
