ID,平均价
0,11.0
1,7.0
2,3.5
3,11.0
4,7.0
5,3.5
6,11.0
7,7.0
8,3.5
9,11.0
10,7.0
11,3.5
12,11.0
13,7.0
14,3.5
15,11.0
16,7.0
17,3.5
18,11.0
19,7.0
20,3.5
21,11.0
22,7.0
23,3.5
24,11.0
25,7.0
26,3.5
27,11.0
28,7.0
29,3.5
30,11.0
31,7.0
32,3.5
33,11.0
34,7.0
35,3.5
36,11.0
37,7.0
38,3.5
39,11.0
40,7.0
41,3.5
42,11.0
43,7.0
44,3.5
45,11.0
46,7.0
47,3.5
48,11.0
49,7.0
50,3.5
51,11.0
52,7.0
53,3.5
54,11.0
55,7.0
56,3.5
57,11.0
58,7.0
59,3.5
60,11.0
61,7.0
62,3.5
63,11.0
64,7.0
65,3.5
66,11.0
67,7.0
68,3.5
69,11.0
70,7.0
71,3.5
72,11.0
73,7.0
74,3.5
75,11.0
76,7.0
77,3.5
78,11.0
79,7.0
80,3.5
81,11.0
82,7.0
83,3.5
84,11.0
85,7.0
86,3.5
87,11.0
88,7.0
89,3.5
90,11.0
91,7.0
92,3.5
93,11.0
94,7.0
95,3.5
96,11.0
97,7.0
98,3.5
99,11.0
100,7.0
101,3.5
102,11.0
103,7.0
104,3.5
105,11.0
106,7.0
107,3.5
108,11.0
109,7.0
110,3.5
111,11.0
112,7.0
113,3.5
114,11.0
115,7.0
116,3.5
117,11.0
118,7.0
119,3.5
120,11.0
121,7.0
122,3.5
123,11.0
124,7.0
125,3.5
126,11.0
127,7.0
128,3.5
129,11.0
130,7.0
131,3.5
132,11.0
133,7.0
134,3.5
135,11.0
136,7.0
137,3.5
138,11.0
139,7.0
140,3.5
141,11.0
142,7.0
143,3.5
144,11.0
145,7.0
146,3.5
147,11.0
148,7.0
149,3.5
150,11.0
151,7.0
152,3.5
153,11.0
154,7.0
155,3.5
156,11.0
157,7.0
158,3.5
159,11.0
160,7.0
161,3.5
162,11.0
163,7.0
164,3.5
165,11.0
166,7.0
167,3.5
168,11.0
169,7.0
170,3.5
171,11.0
172,7.0
173,3.5
174,11.0
175,7.0
176,3.5
177,11.0
178,7.0
179,3.5
180,11.0
181,7.0
182,3.5
183,11.0
184,7.0
185,3.5
186,11.0
187,7.0
188,3.5
189,11.0
190,7.0
191,3.5
192,11.0
193,7.0
194,3.5
195,11.0
196,7.0
197,3.5
198,11.0
199,7.0
200,3.5
201,11.0
202,7.0
203,3.5
204,11.0
205,7.0
206,3.5
207,11.0
208,7.0
209,3.5
210,11.0
211,7.0
212,3.5
213,11.0
214,7.0
215,3.5
216,11.0
217,7.0
218,3.5
219,11.0
220,7.0
221,3.5
222,11.0
223,7.0
224,3.5
225,11.0
226,7.0
227,3.5
228,11.0
229,7.0
230,3.5
231,11.0
232,7.0
233,3.5
234,11.0
235,7.0
236,3.5
237,11.0
238,7.0
239,3.5
240,11.0
241,7.0
242,3.5
243,11.0
244,7.0
245,3.5
246,11.0
247,7.0
248,3.5
249,11.0
250,7.0
251,3.5
252,11.0
253,7.0
254,3.5
255,11.0
256,7.0
257,3.5
258,11.0
259,7.0
260,3.5
261,11.0
262,7.0
263,3.5
264,11.0
265,7.0
266,3.5
267,11.0
268,7.0
269,3.5
270,11.0
271,7.0
272,3.5
273,11.0
274,7.0
275,3.5
276,11.0
277,7.0
278,3.5
279,11.0
280,7.0
281,3.5
282,11.0
283,7.0
284,3.5
285,11.0
286,7.0
287,3.5
288,11.0
289,7.0
290,3.5
291,11.0
292,7.0
293,3.5
294,11.0
295,7.0
296,3.5
297,11.0
298,7.0
299,3.5
300,11.0
301,7.0
302,3.5
303,11.0
304,7.0
305,3.5
306,11.0
307,7.0
308,3.5
309,11.0
310,7.0
311,3.5
312,11.0
313,7.0
314,3.5
315,11.0
316,7.0
317,3.5
318,11.0
319,7.0
320,3.5
321,11.0
322,7.0
323,3.5
324,11.0
325,7.0
326,3.5
327,11.0
328,7.0
329,3.5
330,11.0
331,7.0
332,3.5
333,11.0
334,7.0
335,3.5
336,11.0
337,7.0
338,3.5
339,11.0
340,7.0
341,3.5
342,11.0
343,7.0
344,3.5
345,11.0
346,7.0
347,3.5
348,11.0
349,7.0
350,3.5
351,11.0
352,7.0
353,3.5
354,11.0
355,7.0
356,3.5
357,11.0
358,7.0
359,3.5
360,11.0
361,7.0
362,3.5
363,11.0
364,7.0
365,3.5
366,11.0
367,7.0
368,3.5
369,11.0
370,7.0
371,3.5
372,11.0
373,7.0
374,3.5
375,11.0
376,7.0
377,3.5
378,11.0
379,7.0
380,3.5
