ID,平均价
0,5.0
1,5.0
2,5.0
3,5.0
4,5.0
5,5.0
6,5.0
7,5.0
8,5.0
9,5.0
10,5.0
11,5.0
12,5.0
13,5.0
14,5.0
15,5.0
16,5.0
17,5.0
18,5.0
19,5.0
20,5.0
21,5.0
22,5.0
23,5.0
24,5.0
25,5.0
26,5.0
27,5.0
28,5.0
29,5.0
30,5.0
31,5.0
32,5.0
33,5.0
34,5.0
35,5.0
36,5.0
37,5.0
38,5.0
39,5.0
40,5.0
41,5.0
42,5.0
43,5.0
44,5.0
45,5.0
46,5.0
47,5.0
48,5.0
49,5.0
50,5.0
51,5.0
52,5.0
53,5.0
54,5.0
55,5.0
56,5.0
57,5.0
58,5.0
59,5.0
60,5.0
61,5.0
62,5.0
63,5.0
64,5.0
65,5.0
66,5.0
67,5.0
68,5.0
69,5.0
70,5.0
71,5.05
72,5.05
73,5.05
74,5.05
75,5.05
76,5.05
77,5.05
78,5.05
79,5.05
80,5.05
81,5.05
82,5.05
83,5.05
84,5.05
85,5.05
86,5.05
87,5.05
88,5.05
89,5.05
90,5.05
91,5.05
92,5.05
93,5.05
94,5.05
95,5.05
96,5.05
97,5.05
98,5.05
99,5.05
100,5.05
101,5.05
102,5.05
103,5.05
104,5.05
105,5.05
106,5.05
107,5.05
108,5.05
109,5.05
110,5.05
111,5.05
112,5.05
113,5.05
114,5.05
115,5.05
116,5.05
117,5.05
118,5.05
119,5.05
120,5.05
121,5.05
122,5.05
123,5.05
124,5.05
125,5.05
126,5.05
127,5.05
128,5.05
129,5.05
130,5.05
131,5.05
132,5.05
133,5.05
134,5.05
135,5.05
136,5.05
137,5.05
138,5.05
139,5.05
140,5.05
141,5.05
142,5.05
143,5.05
144,5.05
145,5.05
146,5.05
147,5.05
148,5.05
149,5.05
150,5.05
151,5.05
152,5.05
153,5.05
154,5.05
155,5.05
156,5.05
157,5.05
158,5.05
159,5.05
160,5.05
161,5.05
162,5.05
163,5.05
164,5.05
165,5.05
166,5.05
167,5.05
168,5.05
169,5.05
170,5.05
171,5.05
172,5.05
173,5.15
174,5.15
175,5.15
176,5.15
177,5.15
178,5.15
179,5.15
180,5.25
181,5.25
182,5.25
183,5.25
184,5.25
185,5.25
186,5.25
187,5.25
188,5.25
189,5.25
190,5.25
191,5.25
192,5.25
193,5.25
194,5.25
195,5.25
196,5.25
197,5.25
198,5.25
199,5.25
200,5.25
201,5.25
202,5.25
203,5.25
204,5.25
205,5.25
206,5.25
207,5.25
208,5.25
209,5.25
210,5.25
211,5.25
212,5.25
213,5.25
214,5.25
215,5.25
216,5.25
217,5.25
218,5.25
219,5.25
220,5.25
221,5.25
222,5.25
223,5.25
224,5.25
225,5.25
226,5.25
227,5.25
228,5.25
229,5.25
230,5.25
231,5.25
232,5.25
233,5.25
234,5.0
235,5.0
236,5.0
237,5.0
238,5.0
239,5.0
240,5.0
241,5.0
242,5.0
243,5.0
244,5.0
245,5.0
246,5.0
247,5.0
248,5.0
249,5.0
250,5.0
251,5.0
252,5.0
253,5.0
254,5.0
255,5.0
256,5.0
257,5.0
258,5.0
259,5.0
260,5.0
261,5.0
262,5.0
263,5.0
264,5.0
265,5.0
266,5.0
267,5.0
268,5.0
269,5.0
270,5.0
271,5.0
272,5.0
273,5.0
274,5.0
275,5.0
276,5.0
277,5.0
278,5.0
279,5.0
280,5.0
281,5.0
282,5.0
283,5.0
284,5.0
285,5.0
286,5.0
287,5.0
288,5.0
289,5.0
290,5.0
291,5.0
292,5.0
293,5.0
294,5.0
295,5.0
296,5.0
297,5.0
298,5.0
299,5.0
300,5.0
301,5.0
302,5.0
303,5.0
304,5.0
305,5.0
306,5.0
307,5.0
308,5.0
309,5.0
310,5.0
311,5.0
312,5.0
313,5.0
314,5.0
315,5.25
316,5.25
317,5.25
318,5.25
319,5.25
320,5.25
321,5.25
322,5.25
323,5.25
324,5.25
325,5.25
326,5.25
327,5.25
328,5.25
329,5.25
330,5.25
331,5.25
332,5.25
333,5.25
334,5.25
335,5.25
336,5.25
337,5.25
338,5.25
339,5.25
340,5.25
341,5.25
342,5.25
343,5.25
344,5.25
345,5.25
346,5.25
347,5.25
348,5.25
349,5.25
350,5.25
351,5.25
352,5.25
353,5.25
354,5.25
355,5.25
356,5.25
357,5.25
358,5.25
359,5.25
360,5.236365795135498
361,5.236365795135498
362,5.236365795135498
363,5.236365795135498
364,5.236365795135498
365,5.236365795135498
366,5.236365795135498
