ID,平均价
0,2.25
1,2.25
2,2.25
3,2.25
4,2.25
5,2.25
6,2.25
7,2.25
8,2.25
9,2.25
10,2.25
11,2.25
12,2.25
13,2.25
14,2.25
15,2.25
16,2.25
17,2.25
18,2.25
19,2.25
20,2.25
21,2.25
22,2.25
23,2.25
24,2.25
25,2.25
26,2.25
27,2.25
28,2.25
29,2.25
30,2.25
31,2.25
32,2.25
33,2.25
34,2.25
35,2.25
36,2.25
37,2.25
38,2.25
39,2.25
40,2.25
41,2.25
42,2.25
43,2.25
44,2.25
45,2.25
46,2.25
47,2.25
48,2.25
49,2.25
50,2.25
51,2.25
52,2.25
53,2.25
54,2.25
55,2.25
56,2.25
57,2.25
58,2.25
59,2.25
60,2.25
61,2.25
62,2.25
63,2.25
64,2.25
65,2.25
66,2.25
67,2.25
68,2.25
69,2.25
70,2.25
71,2.25
72,2.25
73,2.25
74,2.25
75,2.25
76,2.25
77,2.25
78,2.25
79,2.25
80,2.25
81,2.25
82,2.25
83,2.25
84,2.25
85,2.25
86,2.25
87,2.25
88,2.25
89,2.25
90,2.25
91,2.25
92,2.25
93,2.25
94,2.25
95,2.25
96,2.25
97,2.25
98,2.25
99,2.25
100,2.25
101,2.25
102,2.25
103,2.25
104,2.25
105,2.25
106,2.25
107,2.25
108,2.25
109,2.25
110,2.25
111,2.25
112,2.25
113,2.25
114,2.25
115,2.25
116,2.25
117,2.25
118,2.25
119,2.25
120,2.25
121,2.25
122,2.25
123,2.25
124,2.25
125,2.25
126,2.25
127,2.25
128,2.25
129,2.25
130,2.25
131,2.25
132,2.25
133,2.25
134,2.25
135,2.25
136,2.25
137,2.25
138,2.25
139,2.25
140,2.25
141,2.25
142,2.25
143,2.25
144,2.25
145,2.25
146,2.25
147,2.25
148,2.25
149,2.25
150,2.25
151,2.25
152,2.25
153,2.25
154,2.25
155,2.25
156,2.25
157,2.25
158,2.25
159,2.25
160,2.25
161,2.25
162,2.25
163,2.25
164,2.25
165,2.25
166,2.25
167,2.25
168,2.25
169,2.25
170,2.25
171,2.25
172,2.25
173,2.25
174,2.25
175,2.25
176,2.25
177,2.25
178,2.25
179,2.25
180,2.25
181,2.75
182,2.75
183,2.75
184,2.75
185,2.75
186,2.75
187,2.75
188,2.75
189,2.75
190,2.75
191,2.75
192,2.75
193,2.75
194,2.75
195,2.75
196,2.75
197,2.75
198,2.75
199,2.75
200,2.75
201,2.75
202,2.75
203,2.75
204,2.75
205,2.75
206,2.75
207,2.75
208,2.75
209,2.75
210,2.75
211,2.75
212,2.75
213,2.75
214,2.75
215,2.75
216,2.75
217,2.75
218,2.75
219,2.75
220,2.75
221,2.75
222,2.75
223,2.75
224,2.75
225,2.75
226,2.75
227,2.75
228,2.75
229,2.75
230,2.75
231,2.75
232,2.75
233,2.75
234,3.0
235,3.0
236,3.0
237,3.0
238,3.0
239,3.0
240,3.0
241,3.0
242,3.0
243,3.0
244,3.0
245,3.0
246,3.0
247,3.0
248,3.0
249,3.0
250,3.0
251,3.0
252,3.0
253,3.0
254,3.0
255,3.0
256,3.0
257,3.0
258,3.0
259,3.0
260,3.0
261,3.0
262,3.0
263,3.0
264,3.0
265,3.0
266,3.0
267,3.0
268,3.0
269,3.0
270,3.0
271,3.0
272,3.0
273,3.0
274,3.0
275,3.0
276,3.0
277,3.0
278,3.0
279,3.0
280,3.0
281,3.0
282,3.0
283,3.0
284,3.0
285,3.0
286,3.0
287,3.0
288,3.0
289,3.0
290,3.0
291,3.0
292,3.0
293,4.0
294,4.0
295,4.0
296,4.0
297,4.0
298,4.0
299,4.0
300,4.0
301,4.0
302,4.0
303,4.0
304,4.0
305,4.0
306,4.0
307,4.0
308,4.0
309,4.0
310,4.0
311,4.0
312,4.0
313,4.0
314,4.0
315,5.0
316,5.0
317,5.0
318,5.0
319,5.0
320,5.0
321,5.0
322,5.0
323,5.0
324,5.0
325,5.0
326,5.0
327,5.0
328,5.0
329,5.0
330,5.0
331,5.0
332,5.0
333,5.0
334,5.0
335,5.0
336,5.0
337,5.0
338,5.0
339,5.0
340,5.0
341,5.0
342,5.0
343,5.0
344,5.0
345,5.0
346,5.0
347,5.0
348,5.0
349,5.0
350,5.0
351,5.0
352,5.0
353,5.0
354,5.0
355,5.0
356,5.0
357,5.0
358,5.0
359,5.0
360,4.9861626625061035
361,4.9861626625061035
362,4.9861626625061035
363,4.9861626625061035
364,4.9861626625061035
365,4.9861626625061035
366,4.9861626625061035
