ID,平均价
0,125.0
1,125.0
2,120.0
3,120.0
4,120.0
5,120.0
6,120.0
7,120.0
8,120.0
9,120.0
10,120.0
11,120.0
12,120.0
13,120.0
14,120.0
15,120.0
16,120.0
17,120.0
18,115.0
19,115.0
20,115.0
21,115.0
22,110.0
23,110.0
24,110.0
25,105.0
26,105.0
27,95.0
28,95.0
29,95.0
30,95.0
31,95.0
32,95.0
33,85.0
34,85.0
35,85.0
36,85.0
37,85.0
38,85.0
39,90.0
40,90.0
41,90.0
42,90.0
43,90.0
44,90.0
45,90.0
46,90.0
47,90.0
48,100.0
49,100.0
50,100.0
51,100.0
52,100.0
53,100.0
54,115.0
55,115.0
56,115.0
57,115.0
58,115.0
59,115.0
60,115.0
61,115.0
62,115.0
63,115.0
64,115.0
65,115.0
66,115.0
67,115.0
68,115.0
69,115.0
70,115.0
71,120.0
72,120.0
73,120.0
74,120.0
75,120.0
76,120.0
77,120.0
78,120.0
79,120.0
80,120.0
81,120.0
82,120.0
83,120.0
84,120.0
85,120.0
86,112.5
87,112.5
88,112.5
89,112.5
90,112.5
91,112.5
92,112.5
93,112.5
94,112.5
95,112.5
96,112.5
97,112.5
98,107.5
99,107.5
100,95.0
101,95.0
102,95.0
103,95.0
104,95.0
105,95.0
106,95.0
107,95.0
108,95.0
109,95.0
110,95.0
111,95.0
112,95.0
113,95.0
114,95.0
115,95.0
116,95.0
117,95.0
118,95.0
119,95.0
120,85.0
121,85.0
122,85.0
123,85.0
124,85.0
125,85.0
126,85.0
127,85.0
128,85.0
129,85.0
130,85.0
131,85.0
132,85.0
133,85.0
134,85.0
135,85.0
136,85.0
137,85.0
138,85.0
139,85.0
140,95.0
141,95.0
142,95.0
143,95.0
144,95.0
145,95.0
146,95.0
147,95.0
148,95.0
149,95.0
150,95.0
151,92.5
152,92.5
153,92.5
154,92.5
155,92.5
156,92.5
157,92.5
158,92.5
159,92.5
160,92.5
161,92.5
162,92.5
163,92.5
164,92.5
165,92.5
166,92.5
167,92.5
168,92.5
169,92.5
170,92.5
171,92.5
172,92.5
173,92.5
174,92.5
175,92.5
176,92.5
177,92.5
178,92.5
179,92.5
180,95.0
181,95.0
182,95.0
183,95.0
184,95.0
185,95.0
186,95.0
187,95.0
188,95.0
189,95.0
190,95.0
191,95.0
192,95.0
193,95.0
194,95.0
195,95.0
196,95.0
197,95.0
198,95.0
199,95.0
200,95.0
201,95.0
202,95.0
203,95.0
204,95.0
205,95.0
206,95.0
207,95.0
208,95.0
209,95.0
210,95.0
211,95.0
212,95.0
213,95.0
214,95.0
215,95.0
216,95.0
217,95.0
218,95.0
219,95.0
220,95.0
221,95.0
222,95.0
223,95.0
224,95.0
225,95.0
226,95.0
227,95.0
228,95.0
229,95.0
230,95.0
231,95.0
232,95.0
233,95.0
234,95.0
235,95.0
236,95.0
237,95.0
238,95.0
239,95.0
240,95.0
241,95.0
242,95.0
243,95.0
244,95.0
245,95.0
246,95.0
247,90.0
248,90.0
249,90.0
250,90.0
251,90.0
252,90.0
253,90.0
254,90.0
255,90.0
256,90.0
257,90.0
258,90.0
259,90.0
260,95.0
261,95.0
262,95.0
263,95.0
264,95.0
265,105.0
266,105.0
267,105.0
268,105.0
269,105.0
270,105.0
271,105.0
272,105.0
273,105.0
274,105.0
275,105.0
276,105.0
277,105.0
278,105.0
279,105.0
280,105.0
281,105.0
282,105.0
283,105.0
284,105.0
285,105.0
286,105.0
287,105.0
288,105.0
289,105.0
290,105.0
291,105.0
292,105.0
293,105.0
294,105.0
295,105.0
296,105.0
297,105.0
298,105.0
299,105.0
300,105.0
301,105.0
302,105.0
303,105.0
304,105.0
305,105.0
306,105.0
307,105.0
308,105.0
309,105.0
310,105.0
311,105.0
312,105.0
313,105.0
314,105.0
315,105.0
316,100.0
317,100.0
318,100.0
319,100.0
320,100.0
321,100.0
322,100.0
323,100.0
324,100.0
325,100.0
326,100.0
327,100.0
328,100.0
329,100.0
330,100.0
331,100.0
332,100.0
333,100.0
334,100.0
335,100.0
336,100.0
337,100.0
338,100.0
339,100.0
340,100.0
341,100.0
342,100.0
343,100.0
344,100.0
345,100.0
346,100.0
347,100.0
348,100.0
349,100.0
350,100.0
351,100.0
352,100.0
353,100.0
354,100.0
355,95.0
356,95.0
357,95.0
358,95.0
359,95.0
360,100.01350402832031
361,100.01350402832031
362,100.01350402832031
363,100.01350402832031
364,100.01350402832031
365,100.01350402832031
366,100.01350402832031
