一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-05-20
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-05-31
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-06-10
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-06-20
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-06-30
粮油,米面类,京丽圆长粒香米,2.4,2.45,2.5,斤,2023-07-10
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-07-20
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-07-31
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-08-10
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-08-20
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-08-31
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-09-10
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-09-20
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-09-30
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-10-10
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-10-20
粮油,米面类,京丽圆长粒香米,2.5,2.6,2.7,斤,2023-10-31
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-11-10
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-11-20
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-11-30
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-12-10
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-12-20
粮油,米面类,京丽圆长粒香米,2.6,2.7,2.8,斤,2023-12-31
